round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold,control_variate_communication_cost_bytes,server_control_variate_l2_norm
1,1.1729278475417724,0.936476441637813,0.0027787687050562326,0.41520917415618896,0.9718430129371449,0.7714354066985646,0.983649563785004,0.8647126652543509,0.9808076417884093,0.7123825501597433,0.029345816209309327,0.420253723859787,0.9725575554625366,0.7839967579250721,0.9931549826022474,0.8762676463927125,0.9848447614527767,0.742375086555943,0.029676325752889064,0.28602972626686096,11808,0.907670755801623,0.15137614678899083,0.002013299981697273,0.003973749172135589,0.9808076417884093,0.7123825501597433,0.001136482310806411,0.9014315613227292,0.0547945205479452,0.0004563344931835035,0.0009051309611359394,0.9848447614527767,0.742375086555943,0.0008537279453614115,5904,0.22226594716994236
2,1.0398814508279992,0.9361140512967714,0.007469619829796722,0.33769315481185913,0.9697891435141259,0.7578447951897783,0.9842596546885486,0.8563390748162106,0.9762936564630933,0.7095686925886127,0.03166792601192999,0.3386417031288147,0.9722338495883912,0.7813984760197221,0.9944099024585021,0.8751286363294094,0.9835213276561484,0.7408135871457304,0.030171240503823218,0.2142806202173233,11808,0.905231785861788,0.10575635876840696,0.004819718138002562,0.00921927879565877,0.9762936564630933,0.7095686925886127,0.0041036226141550405,0.8995730431142738,0.10829103214890017,0.003650675945468028,0.007063238053195011,0.9835213276561484,0.7408135871457304,0.003260250921778724,5904,0.17525169755378622
3,0.940291441584427,0.9591348080108597,0.5961993003687246,0.2996852695941925,0.9697947246810363,0.7578319477713588,0.9843816728692575,0.856377050050422,0.9763897265818942,0.7096740404030184,0.03167406915955597,0.291287362575531,0.9722282684526301,0.7813886772154736,0.9943528606468541,0.8751004016064257,0.9835470237141447,0.7405318932151456,0.030171240503823218,0.1910565048456192,11808,0.9399968745465301,0.7924704418170504,0.46617045939845037,0.5870241616409941,0.9763897265818942,0.7096740404030184,0.01229243839958718,0.9384400725547649,0.818582769773596,0.4764132108835777,0.6022932141054301,0.9835470237141447,0.7405318932151456,0.011451090049738932,5904,0.16320635135668843
4,0.8755754357178865,0.9673908493448867,0.7374047713066677,0.2812251150608063,0.9703416790382533,0.7614102987681125,0.9841986455981941,0.8585874713928362,0.9778162111098068,0.7107514498444328,0.031053611249331932,0.26741889119148254,0.9722115250453467,0.7814097390368577,0.9940676515886144,0.875003138101574,0.9840779195452314,0.7415827383321237,0.030158867635049862,0.1863211840391159,11808,0.9544576780113186,0.7675355912370799,0.7203343298151424,0.7431862529111852,0.9778162111098068,0.7107514498444328,0.021967895910506626,0.9599553509139109,0.7865522966242391,0.8107352689521419,0.7984607173955788,0.9840779195452314,0.7415827383321237,0.023861077429412784,5904,0.13797399217161418
5,0.8478501167510277,0.9724583340808381,0.7904831225548176,0.27779698371887207,0.9708495652270976,0.7647951441578149,0.9839546092367762,0.8606419594973185,0.978887184065167,0.7114374300147402,0.030470012224863775,0.26468148827552795,0.9721892005023022,0.7814462587475327,0.9936683589070789,0.8748713055269568,0.9844030877610201,0.7422191498175933,0.030140308331889833,0.18694017827510834,11808,0.9598044359114604,0.7714944158837086,0.7965346836678665,0.7838146124752357,0.978887184065167,0.7114374300147402,0.02375555186966698,0.9639681875261615,0.7881563199250663,0.863955279219668,0.8243169696310003,0.9844030877610201,0.7422191498175933,0.02518497438816164,5904,0.10689191960121547
6,0.8259042596163623,0.972599462992531,0.7938376257581484,0.26678282022476196,0.9716811590967439,0.7704698628172649,0.9834055274235861,0.8640115780445969,0.9802379547014863,0.7128448236506632,0.029499394899958842,0.25507691502571106,0.9725240686479698,0.7838361098604232,0.9930408989789515,0.8761228957499811,0.9847825585153448,0.7430840983021153,0.02970107149043577,0.178165465593338,11808,0.9604685947737953,0.7688308687615527,0.8120309926179,0.7898406670029374,0.9802379547014863,0.7128448236506632,0.02458487679917436,0.9642695688572624,0.7859602240608459,0.8723974673435628,0.826926196269262,0.9847825585153448,0.7430840983021153,0.02576649922050927,5904,0.07811993232324638
7,0.7854820810870945,0.9725444466371252,0.7931817362787849,0.2511639893054962,0.9719602174422628,0.7723678535486653,0.9832835092428772,0.8651564764614311,0.9808959397442002,0.7135774786818173,0.02917995122340785,0.23977947235107422,0.9725240686479698,0.7840663302090843,0.9925275226741201,0.8760667623291292,0.9848634896116126,0.7438262612470077,0.029645393580955682,0.15623733401298523,11808,0.9603960396039604,0.7691862148856067,0.8102007199072662,0.7891609222724031,0.9808959397442002,0.7135774786818173,0.02448044328953269,0.9641635272778011,0.7858686702346644,0.8710855056756602,0.8262857452046641,0.9848634896116126,0.7438262612470077,0.025741753482962558,5904,0.05746307360891383
8,0.7512806225887919,0.9726425192706745,0.7923791889046219,0.23780155181884766,0.9720439349459185,0.7722966507177034,0.9847477274113843,0.8656780456410393,0.9813734925469143,0.714204849513092,0.029235239552041676,0.2258083075284958,0.9725240686479698,0.7837850004501665,0.9931549826022474,0.8761353629387344,0.9849101188330235,0.7443698644958627,0.029713444359209126,0.12849491834640503,11808,0.960256510431201,0.7721348050728042,0.8023305472515405,0.7869431229991324,0.9813734925469143,0.714204849513092,0.023841555936430708,0.9641077159201897,0.7881021594684385,0.8660087844389938,0.8252208180459302,0.9849101188330235,0.7443698644958627,0.025253025166415085,5904,0.04383125404609365
9,0.7199785675922721,0.972537270590768,0.7913759267335368,0.23306335508823395,0.9720104479444562,0.7725704427832087,0.9835885546946495,0.8654016479239915,0.9812209031087911,0.7138945102243291,0.029155378632903926,0.22081761062145233,0.9725352309194921,0.784085788951969,0.992641606297416,0.8761233480176212,0.9849284062379635,0.7442986702765855,0.029645393580955682,0.12455756217241287,11808,0.9600834942569793,0.7718792301806839,0.8001342199987799,0.7857528009106705,0.9812209031087911,0.7138945102243291,0.023810840198300806,0.9639626063904004,0.7878457059679768,0.8644686555244995,0.8243805586531401,0.9849284062379635,0.7442986702765855,0.025246838732028407,5904,0.02835444256954079
10,0.7098458815196022,0.9724930183048982,0.7909390879093908,0.2307380884885788,0.9719713797760836,0.772415776105813,0.9833445183332317,0.8652101562080627,0.980923759871412,0.713414836805785,0.02917380807578187,0.21828888356685638,0.972529649783731,0.7840760600189249,0.992584564485768,0.8760950558856108,0.9849248872645049,0.7441501489712956,0.029645393580955682,0.12172087281942368,11808,0.960005357920234,0.7717871663425844,0.7990970654627539,0.7852047239374138,0.980923759871412,0.713414836805785,0.023792410755422863,0.9639402818473559,0.7878913970664725,0.8640693628429639,0.8242239573414588,0.9849248872645049,0.7441501489712956,0.025228279428868378,5904,0.027877806312214405
