round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8753712625024421,0.9048421088999448,0.05230107526881721,0.6572011113166809,0.9962469733656174,0.5846153846153846,0.36538461538461536,0.44970414201183434,0.6815989064428845,0.3220354957361962,0.0010941805803209596,0.6636346578598022,0.9835754640839387,0.199203187250996,0.1953125,0.19723865877712032,0.5303447165276872,0.17748181489119724,0.008196052846191485,0.5395545363426208,4537456,0.9223970944309927,0.02802283341982356,0.5192307692307693,0.053175775480059084,0.6815989064428845,0.3220354957361962,0.07590371210893175,0.8629943502824858,0.025974025974025976,0.3359375,0.048219792542753014,0.5303447165276872,0.17748181489119724,0.131503832979938
2,0.817479981261007,0.9216936152570481,0.09067201604814443,0.6335688233375549,0.9967312348668281,0.676923076923077,0.4230769230769231,0.5207100591715976,0.7528229313440652,0.4042871846402293,0.0008510293402496353,0.6427504420280457,0.989911218724778,0.5245901639344263,0.25,0.3386243386243386,0.6601647716267738,0.27587692708281564,0.0023650301745229163,0.6085609793663025,4537456,0.9152945924132365,0.0297029702970297,0.6057692307692307,0.05662921348314607,0.7528229313440652,0.4042871846402293,0.08340087534446426,0.8667473769168684,0.036518563603164945,0.46875,0.06775832862789384,0.6601647716267738,0.27587692708281564,0.12909802642309573
3,0.7610104351201981,0.9506201630735213,0.14172046239303407,0.5885893106460571,0.9966908797417272,0.6527777777777778,0.4519230769230769,0.5340909090909091,0.7746580296021048,0.415337304611375,0.0010131301669638515,0.6002486944198608,0.9893058918482648,0.4716981132075472,0.29296875,0.3614457831325301,0.6692236590941527,0.3043113738277541,0.0034252161148262926,0.6325930953025818,4537456,0.9462066182405166,0.04649446494464945,0.6057692307692307,0.08636052090472926,0.7746580296021048,0.415337304611375,0.05235856702869185,0.9084745762711864,0.05328596802841918,0.46875,0.09569377990430622,0.6692236590941527,0.3043113738277541,0.08693524710487685
4,0.6972328781832063,0.9646817993366501,0.1910979228486647,0.5376750826835632,0.9964487489911219,0.6081081081081081,0.4326923076923077,0.5056179775280899,0.7926841480978092,0.4036129009165186,0.0011752309936780678,0.5512211918830872,0.990637610976594,0.5845070422535211,0.32421875,0.41708542713567837,0.6813954888578535,0.33367250393552694,0.002405806556842277,0.6845716238021851,4537456,0.9564568200161421,0.05722070844686648,0.6057692307692307,0.1045643153526971,0.7926841480978092,0.4036129009165186,0.04206516453233911,0.9324051654560129,0.07336139506915214,0.4765625,0.12714955706096925,0.6813954888578535,0.33367250393552694,0.06283640515413473
5,0.6312686875284288,0.9728959369817579,0.24639769452449567,0.47861677408218384,0.9962066182405166,0.5568181818181818,0.47115384615384615,0.5104166666666666,0.8089704103644775,0.4038478566661191,0.0015804830604636084,0.49305325746536255,0.9908797417271994,0.6056338028169014,0.3359375,0.4321608040201005,0.6826440266422689,0.3492625987917263,0.002283477409884195,0.7135234475135803,4537456,0.9681194511702986,0.07862407862407862,0.6153846153846154,0.1394335511982571,0.8089704103644775,0.4038478566661191,0.030393905008915544,0.9498789346246973,0.09983766233766234,0.48046875,0.16532258064516128,0.6826440266422689,0.3492625987917263,0.045221007992170936
6,0.5681280128871711,0.9791407545605307,0.29694323144104806,0.42281705141067505,0.9958837772397094,0.5104166666666666,0.47115384615384615,0.49,0.8257618738855568,0.3967144669959831,0.0019046847138920408,0.4360899329185486,0.989911218724778,0.5174418604651163,0.34765625,0.4158878504672897,0.7028525468673544,0.3546498237391008,0.003384439732506932,0.7050178050994873,4537456,0.9737691686844229,0.09375,0.6057692307692307,0.16237113402061856,0.8257618738855568,0.3967144669959831,0.024679850867239422,0.963317191283293,0.13600891861761427,0.4765625,0.21162185602775369,0.7028525468673544,0.3546498237391008,0.031601696297504485
7,0.5061402824756346,0.9827770867882808,0.3436471362738644,0.37173500657081604,0.9957627118644068,0.49523809523809526,0.5,0.49760765550239233,0.8238723861241692,0.4376528882577874,0.002147835953963365,0.38149556517601013,0.9911218724778047,0.6216216216216216,0.359375,0.45544554455445546,0.6914552294436063,0.37394403994441605,0.002283477409884195,0.7337031960487366,4537456,0.9774818401937047,0.10862068965517241,0.6057692307692307,0.18421052631578946,0.8238723861241692,0.4376528882577874,0.020951531852812448,0.9697740112994351,0.17001338688085676,0.49609375,0.25324027916251246,0.6914552294436063,0.37394403994441605,0.025281357038003587
8,0.4507528351771346,0.984210889994472,0.35814606741573035,0.3336283564567566,0.9944309927360775,0.36923076923076925,0.46153846153846156,0.41025641025641024,0.8406461198673267,0.35076559993020834,0.003323066947641433,0.33855798840522766,0.9901937046004843,0.5359116022099447,0.37890625,0.4439359267734554,0.7031907837730387,0.3629363965788658,0.0034252161148262926,0.7060510516166687,4537456,0.9735673930589185,0.08941877794336811,0.5769230769230769,0.15483870967741936,0.8406461198673267,0.35076559993020834,0.02476090128059653,0.973042776432607,0.18404907975460122,0.46875,0.2643171806167401,0.7031907837730387,0.3629363965788658,0.021693035393899853
9,0.4059977240450502,0.9849623410724156,0.38108780661215785,0.2963356375694275,0.9948345439870864,0.4090909090909091,0.5192307692307693,0.4576271186440678,0.8540915261792835,0.35918050612535635,0.003160966120927217,0.3023236393928528,0.9897094430992736,0.5024390243902439,0.40234375,0.44685466377440347,0.7082012613919018,0.3865463364085083,0.004159190996574784,0.6898778080940247,4537456,0.972679580306699,0.09012875536480687,0.6057692307692307,0.1569115815691158,0.8540915261792835,0.35918050612535635,0.025774031447560384,0.9735270379338176,0.19325153374233128,0.4921875,0.2775330396475771,0.7082012613919018,0.3865463364085083,0.02144837709998369
10,0.3652026240477721,0.9845909342177999,0.3646723646723647,0.2676508128643036,0.9945117029862792,0.35185185185185186,0.36538461538461536,0.3584905660377358,0.8352564622118035,0.2877333128053698,0.0028367644674987843,0.2721783518791199,0.9905569007263922,0.5679012345679012,0.359375,0.44019138755980863,0.7207305216318709,0.3667643705934367,0.002854346762355244,0.7709065675735474,4537456,0.9637610976594028,0.056919642857142856,0.49038461538461536,0.102,0.8352564622118035,0.2877333128053698,0.03424379964337818,0.9727199354317998,0.18562874251497005,0.484375,0.2683982683982684,0.7207305216318709,0.3667643705934367,0.02218235198173218
11,0.32904420979321003,0.9840726920950802,0.3636991028295376,0.24092383682727814,0.9952784503631962,0.4329896907216495,0.40384615384615385,0.417910447761194,0.851148188211529,0.3514203608111587,0.0022288863673204733,0.2469847947359085,0.9910815173527038,0.6143790849673203,0.3671875,0.45965770171149145,0.7075962258909638,0.37557657784642473,0.002405806556842277,0.7956506609916687,4537456,0.9674737691686844,0.07195121951219512,0.5673076923076923,0.1277056277056277,0.851148188211529,0.3514203608111587,0.03083968228237964,0.970863599677159,0.17548746518105848,0.4921875,0.2587268993839836,0.7075962258909638,0.37557657784642473,0.02413961833306149
12,0.31150471774691885,0.9842022526257601,0.3768313458262351,0.23193030059337616,0.9944309927360775,0.36507936507936506,0.4423076923076923,0.4,0.848360911256032,0.25045833368593917,0.003242016534284325,0.23640888929367065,0.9905165456012913,0.5573770491803278,0.3984375,0.4646924829157175,0.7192711731365193,0.3831211022494031,0.0033028869678682106,0.782608687877655,4537456,0.9567796610169491,0.054377880184331796,0.5673076923076923,0.0992430613961312,0.848360911256032,0.25045833368593917,0.041578862052196464,0.9681194511702986,0.16287878787878787,0.50390625,0.24618320610687022,0.7192711731365193,0.3831211022494031,0.027034741477736095
13,0.29177112073490497,0.9836235489220564,0.37218543046357616,0.21590755879878998,0.9954398708635996,0.45544554455445546,0.4423076923076923,0.44878048780487806,0.8616601930246768,0.290506195882902,0.0022288863673204733,0.22165799140930176,0.991727199354318,0.6783216783216783,0.37890625,0.48621553884711777,0.7234228778441527,0.3954235460063195,0.001875713586690589,0.8406240344047546,4537456,0.9547215496368039,0.05350877192982456,0.5865384615384616,0.09807073954983923,0.8616601930246768,0.290506195882902,0.04372669800615983,0.9675948345439871,0.1619283065512979,0.51171875,0.2460093896713615,0.7234228778441527,0.3954235460063195,0.027646387212526505
14,0.2672800330275839,0.9827684494195689,0.34910277324632955,0.20375564694404602,0.9960855528652138,0.5443037974683544,0.41346153846153844,0.46994535519125685,0.840281977505393,0.36016696307418494,0.0014589074404279462,0.21373699605464935,0.9919289749798225,0.7222222222222222,0.35546875,0.47643979057591623,0.7013606250509705,0.38315938569795416,0.001427173381177622,0.8987895846366882,4537456,0.9573042776432606,0.055865921787709494,0.5769230769230769,0.10186757215619695,0.840281977505393,0.36016696307418494,0.041092559572053815,0.9617836965294593,0.13593256059009484,0.50390625,0.21410788381742737,0.7013606250509705,0.38315938569795416,0.033436633501875715
15,0.2522952922544126,0.9846341210613598,0.38250607427976396,0.1855456382036209,0.9969733656174334,0.7636363636363637,0.40384615384615385,0.5283018867924528,0.8678792535880394,0.39586469867622365,0.0005268276868212028,0.19794732332229614,0.992090395480226,0.7884615384615384,0.3203125,0.45555555555555555,0.7043428758563041,0.4049105307148726,0.0008970804110259337,0.9496031403541565,4537456,0.9599273607748184,0.06033630069238378,0.5865384615384616,0.10941704035874439,0.8678792535880394,0.39586469867622365,0.038498946344626354,0.9623486682808716,0.14027630180658873,0.515625,0.22055137844611528,0.7043428758563041,0.4049105307148726,0.03298809329636275
16,0.23648562519833374,0.9866379906025429,0.40015509887553313,0.2023220956325531,0.996045197740113,0.6,0.17307692307692307,0.26865671641791045,0.797943852326147,0.1727034330074949,0.0004863024801426487,0.18752892315387726,0.9920096852300242,0.7959183673469388,0.3046875,0.4406779661016949,0.6672914797749143,0.35901510133514014,0.0008155276463872126,0.9628594517707825,4537456,0.9409604519774011,0.03490759753593429,0.49038461538461536,0.06517571884984026,0.797943852326147,0.1727034330074949,0.057140541416761226,0.967635189669088,0.15443037974683543,0.4765625,0.2332695984703633,0.6672914797749143,0.35901510133514014,0.0272386233893329
17,0.22897849887003457,0.9889268933112216,0.4758789860997547,0.17141562700271606,0.9970540758676352,0.8163265306122449,0.38461538461538464,0.5228758169934641,0.8699772123645524,0.409760455243833,0.00036472686010698656,0.16804394125938416,0.9922114608555287,0.8181818181818182,0.31640625,0.4563380281690141,0.7170254457368292,0.41441714018424447,0.0007339748817484913,0.976116418838501,4537456,0.9570217917675545,0.05876951331496786,0.6153846153846154,0.10729253981559095,0.8699772123645524,0.409760455243833,0.041538336845517915,0.9729217110573043,0.19530102790014683,0.51953125,0.2838847385272145,0.7170254457368292,0.41441714018424447,0.022345457511009623
18,0.21516103928454183,0.9900238391376451,0.5049292756108016,0.17878009378910065,0.9966101694915255,0.6785714285714286,0.36538461538461536,0.475,0.8486391323864984,0.34924104243394266,0.0007294537202139731,0.16375085711479187,0.9922518159806295,0.82,0.3203125,0.4606741573033708,0.7105088701374164,0.412417456963802,0.0007339748817484913,0.9678735136985779,4537456,0.9484261501210653,0.0470679012345679,0.5865384615384616,0.08714285714285715,0.8486391323864984,0.34924104243394266,0.050048630248014266,0.9746569814366425,0.2084639498432602,0.51953125,0.2975391498881432,0.7105088701374164,0.412417456963802,0.020592073071277115
19,0.21412022463513905,0.990170674405749,0.5052173913043478,0.178717240691185,0.9964891041162227,0.6545454545454545,0.34615384615384615,0.4528301886792453,0.8719446332157063,0.348145888761693,0.0007699789268925272,0.1562730371952057,0.9921307506053268,0.8144329896907216,0.30859375,0.4475920679886686,0.7181418584855652,0.40144730384475436,0.0007339748817484913,0.981769323348999,4537456,0.9463276836158192,0.045925925925925926,0.5961538461538461,0.08528198074277854,0.8719446332157063,0.348145888761693,0.05219646620197763,0.9749798224374495,0.2111111111111111,0.51953125,0.3002257336343115,0.7181418584855652,0.40144730384475436,0.020265862012722232
20,0.20084873278086124,0.9910257739082365,0.5355386678587394,0.16178172826766968,0.9961259079903148,0.5588235294117647,0.36538461538461536,0.4418604651162791,0.8806848292330136,0.3598929853745961,0.0012157562003566218,0.14581596851348877,0.9923325262308313,0.8235294117647058,0.328125,0.4692737430167598,0.7411082797718562,0.41874003770609824,0.0007339748817484913,0.974787175655365,4537456,0.9528248587570621,0.05289672544080604,0.6057692307692307,0.0972972972972973,0.8806848292330136,0.3598929853745961,0.04571243313340898,0.9761097659402744,0.22185430463576158,0.5234375,0.3116279069767442,0.7411082797718562,0.41874003770609824,0.019164899690099494
