round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.2532169312238692,0.42268970698722763,0.14508233199821985,0.7067856788635254,0.9863673408905683,0.7631578947368421,0.25892857142857145,0.38666666666666666,0.555720158269742,0.2745212393272212,0.0013561365177427861,0.696776807308197,0.9731417485146113,0.7878787878787878,0.10810810810810811,0.19012797074954296,0.5371664628518436,0.18696997697990822,0.0008742896396677699,0.5453861355781555,214256,0.3523005112247166,0.016132697114292206,0.6339285714285714,0.03146465765566142,0.555720158269742,0.2745212393272212,0.6524523468695849,0.5076391415060022,0.03105818806776332,0.525987525987526,0.05865306595572041,0.5371664628518436,0.18696997697990822,0.49291200899269344
2,1.2393149875104426,0.3125469571750564,0.17284397034894233,0.7167028188705444,0.9876268800474179,0.8904109589041096,0.29017857142857145,0.4377104377104377,0.642337660503062,0.3064856580886528,0.0006027273412190161,0.7029721736907959,0.9739299139080878,0.8148148148148148,0.13721413721413722,0.23487544483985764,0.6567832814632291,0.24303412965059193,0.0009367388996440392,0.5688912868499756,214256,0.27517226050233384,0.01969651291327505,0.875,0.03852579852579852,0.642337660503062,0.3064856580886528,0.7349506516989377,0.3791681823693464,0.03515290082880823,0.7671517671517671,0.06722535981053016,0.6567832814632291,0.24303412965059193,0.6324861050396553
3,1.2291586428880692,0.3293764087152517,0.1881026014189558,0.7205702662467957,0.9879232422019708,0.8765432098765432,0.3169642857142857,0.46557377049180326,0.7096324035905328,0.33487500389686997,0.00075340917652377,0.7045652866363525,0.9757487571238026,0.8347107438016529,0.20997920997921,0.33554817275747506,0.7120789202847531,0.3126456245042997,0.0012489851995253856,0.5775367021560669,214256,0.2968066977846929,0.021382088627207932,0.9241071428571429,0.04179707218576476,0.7096324035905328,0.33487500389686997,0.7137798538386197,0.3764399175457742,0.03763440860215054,0.8295218295218295,0.072002165478661,0.7120789202847531,0.3126456245042997,0.6371697995378754
4,1.213637688755989,0.369045830202855,0.20125546889861137,0.7221723198890686,0.9885900570497147,0.8804347826086957,0.36160714285714285,0.5126582278481012,0.7714341547287189,0.38979600040712065,0.0008287500941761471,0.7040415406227112,0.9778101127682793,0.8484848484848485,0.2910602910602911,0.43343653250773995,0.7461596626337774,0.38653721887037706,0.001561231499406732,0.5903024673461914,214256,0.3346669630288212,0.021843599825251202,0.8928571428571429,0.042643923240938165,0.7714341547287189,0.38979600040712065,0.6747532584946885,0.40348005335273435,0.03974031084005509,0.83991683991684,0.0758899220437682,0.7461596626337774,0.38653721887037706,0.6096296758883407
5,1.1612408258020879,0.46596543951915853,0.2273913043478261,0.7152535915374756,0.990071867822479,0.8461538461538461,0.49107142857142855,0.6214689265536724,0.8211556287737728,0.5311965177761832,0.00150681835304754,0.6967219710350037,0.9795683278768037,0.8364485981308412,0.37214137214137216,0.5151079136690647,0.7679025215089663,0.4424487890941531,0.002185724099169425,0.5928155779838562,214256,0.4113506705193747,0.024276032039433147,0.8794642857142857,0.047247871447415754,0.8211556287737728,0.5311965177761832,0.5965493859715212,0.5006669091790954,0.04526797232320863,0.8024948024948025,0.08570159857904085,0.7679025215089663,0.4424487890941531,0.5083994254668082
6,1.164632774144411,0.4906085649887303,0.23888639425235744,0.7086853384971619,0.9919241312884345,0.852760736196319,0.6205357142857143,0.7183462532299741,0.8468547857627191,0.6069631243658341,0.001808182023657048,0.6921955943107605,0.9804171213774706,0.8237704918032787,0.4178794178794179,0.5544827586206896,0.7771420907622744,0.49169982669398105,0.002685318178979579,0.5991189479827881,214256,0.46402904349114615,0.02699055330634278,0.8928571428571429,0.05239717055279015,0.8468547857627191,0.6069631243658341,0.5432080162736382,0.519522250515339,0.044987775061124696,0.7650727650727651,0.08497863987992149,0.7771420907622744,0.49169982669398105,0.48785361893461565
7,1.1122221425175667,0.5567242674680691,0.26323676323676326,0.6975741982460022,0.9923686745202638,0.8954248366013072,0.6116071428571429,0.726790450928382,0.8641229913573205,0.6360010041068739,0.0012054546824380322,0.6813706755638123,0.9801746089487087,0.8532110091743119,0.3866943866943867,0.5321888412017167,0.7817203615617405,0.5205854833894414,0.001998376319240617,0.6585450172424316,214256,0.5295991701859672,0.030219358797361557,0.8794642857142857,0.05843096544564734,0.8641229913573205,0.6360010041068739,0.47630528139832745,0.5876076148902631,0.048693417106954164,0.7089397089397089,0.09112773917691075,0.7817203615617405,0.5205854833894414,0.416036969961906
8,1.0664496541023256,0.645679939894816,0.303603071470762,0.6781240105628967,0.9921464029043491,0.8314606741573034,0.6607142857142857,0.736318407960199,0.8791124705363197,0.6628968074159521,0.00226022752957131,0.6648046970367432,0.980962774342185,0.7737704918032787,0.49064449064449067,0.6005089058524173,0.784798357052151,0.5413691119515059,0.00430899893836258,0.6059276461601257,214256,0.6129510261539601,0.035488665923448535,0.8526785714285714,0.06814127720299679,0.8791124705363197,0.6628968074159521,0.391094703533489,0.6864920577179581,0.0616822429906542,0.6860706860706861,0.11318813239581547,0.784798357052151,0.5413691119515059,0.31349528508087177
9,1.0515110060572623,0.7032306536438768,0.3392438942790231,0.6600438356399536,0.9921464029043491,0.8241758241758241,0.6696428571428571,0.7389162561576355,0.8915467490394033,0.6841201256438704,0.0024109093648760644,0.6502553820610046,0.981205286770947,0.7663551401869159,0.5114345114345115,0.6134663341645885,0.788163216658814,0.5527800902785109,0.004683694498220196,0.6105653047561646,214256,0.6889679187967697,0.04342830882352941,0.84375,0.0826048951048951,0.8915467490394033,0.6841201256438704,0.3136442401868455,0.7537286285922153,0.07701393810536263,0.6777546777546778,0.13831141281289774,0.788163216658814,0.5527800902785109,0.24398925872728408
10,1.0188661769032477,0.7425995492111195,0.3699889665318132,0.6414960026741028,0.9924427650589019,0.8426966292134831,0.6696428571428571,0.746268656716418,0.902248859123247,0.6941506744448495,0.002109545694266556,0.6350886821746826,0.98156905541409,0.7774294670846394,0.5155925155925156,0.62,0.7907009806091801,0.556664830701129,0.004433897458315119,0.6300342679023743,214256,0.7589093872712455,0.05493537015276146,0.8348214285714286,0.10308710033076075,0.902248859123247,0.6941506744448495,0.24237173208769683,0.7935006669091791,0.08930075821398484,0.6611226611226612,0.15734784760019793,0.7907009806091801,0.556664830701129,0.20252295010304128
