round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.158036157488823,0.45977961432506886,0.26416510318949343,0.6933221817016602,0.8693783803808254,0.025293028994447873,0.18303571428571427,0.044444444444444446,0.456753808752462,0.01665570195065714,0.11903864989075567,0.6935350894927979,0.8218746210743301,0.03728813559322034,0.20582120582120583,0.06313775510204081,0.4736877638270257,0.036600984614253915,0.15962030849934428,0.5011456608772278,3734640,0.5081870045195228,0.015119443604475355,0.44642857142857145,0.029248318221702253,0.456753808752462,0.01665570195065714,0.4907707375875838,0.44440402570631743,0.026399040034907822,0.5031185031185031,0.050165837479270316,0.4736877638270257,0.036600984614253915,0.5573596452882034
2,1.1507269218564034,0.5170798898071626,0.25181391378574475,0.6931713819503784,0.9039045713862339,0.036300777873811585,0.1875,0.0608254887762491,0.507370965224785,0.021919079516483562,0.08400512318240036,0.6936122179031372,0.8515823935976718,0.0527512505684402,0.24116424116424118,0.08656716417910448,0.5144185084546041,0.04520409575595944,0.13008180853056892,0.5014853477478027,3734640,0.5208564866266577,0.01761706073249884,0.5089285714285714,0.03405526512322629,0.507370965224785,0.021919079516483562,0.4789422135161606,0.4497999272462714,0.029353778751369113,0.5571725571725572,0.055769430860472376,0.5144185084546041,0.04520409575595944,0.5534253419096984
3,1.1460231058299541,0.5892561983471074,0.2450632911392405,0.6926064491271973,0.9470252648736757,0.05765765765765766,0.14285714285714285,0.0821566110397946,0.5420913562441476,0.02906318577716048,0.03940329993219317,0.6933411955833435,0.9003273917788287,0.06113207547169811,0.1683991683991684,0.08970099667774087,0.5343776684562297,0.051203186469508534,0.07768687941047898,0.5024181008338928,3734640,0.613914203156257,0.020941402497598464,0.48660714285714285,0.04015472462700313,0.5420913562441476,0.02906318577716048,0.38393731635651324,0.5237662180186734,0.03186896901980701,0.5218295218295218,0.060069402895775996,0.5343776684562297,0.051203186469508534,0.4761756073190533
4,1.148209979136785,0.6173553719008265,0.25442834138486314,0.6921981573104858,0.9542861376602207,0.0718954248366013,0.14732142857142858,0.09663250366032211,0.5668430339249388,0.035198105097212294,0.03209523091991261,0.6932289600372314,0.9069358554625925,0.06589785831960461,0.16632016632016633,0.0943952802359882,0.545615484196637,0.057615573671861216,0.07081746081308936,0.5030678510665894,3734640,0.6539971845595317,0.02377892030848329,0.4955357142857143,0.045380212591986914,0.5668430339249388,0.035198105097212294,0.34332856174188203,0.5441978901418698,0.03341731865800292,0.5239085239085239,0.06282722513089005,0.545615484196637,0.057615573671861216,0.4551926559670268
5,1.1519526007274787,0.6104683195592286,0.24867162592986186,0.6920264959335327,0.9671778913832704,0.10181818181818182,0.125,0.11222444889779559,0.5844788628364779,0.04225383478150149,0.01860920666013712,0.6933563947677612,0.9251242876197405,0.07256235827664399,0.13305613305613306,0.09391049156272928,0.5534793520804887,0.06258876804206213,0.05108349466058827,0.5043893456459045,3734640,0.6515521967844706,0.025227899088403647,0.53125,0.048168386966201175,0.5844788628364779,0.04225383478150149,0.34641753936562947,0.5332848308475809,0.03360475636551635,0.5405405405405406,0.06327573618885374,0.5534793520804887,0.06258876804206213,0.46693311684256544
6,1.1669975233574708,0.5953168044077135,0.25165562913907286,0.6920311450958252,0.9679187967696525,0.11721611721611722,0.14285714285714285,0.12877263581488935,0.5966783736586626,0.051433577165214274,0.018157161154222858,0.6936624050140381,0.9283982054080272,0.08432304038004751,0.14760914760914762,0.1073318216175359,0.559813732423487,0.06686672944907608,0.048148379441703616,0.5053911805152893,3734640,0.6360672742090835,0.024543610547667342,0.5401785714285714,0.04695382227396197,0.5966783736586626,0.051433577165214274,0.362314472990281,0.5115799684733843,0.03304154851436321,0.5571725571725572,0.06238361266294227,0.559813732423487,0.06686672944907608,0.48978954599387997
7,1.1622796232501666,0.5760330578512397,0.2510948905109489,0.6921532154083252,0.9793287397199377,0.23300970873786409,0.10714285714285714,0.14678899082568808,0.6063346239950059,0.0721602756890388,0.005951932494537783,0.6940918564796448,0.958591002788893,0.1392857142857143,0.08108108108108109,0.10249671484888305,0.5645913604759543,0.07258668011008293,0.015050271654280897,0.5087945461273193,3734640,0.615321923390383,0.024320183837610112,0.5669642857142857,0.04663973558575101,0.6063346239950059,0.0721602756890388,0.38386197543886086,0.48647993209651996,0.033298282509638975,0.5925155925155925,0.06305309734513274,0.5645913604759543,0.07258668011008293,0.516705177043652
8,1.154398761689663,0.5608815426997246,0.2530459231490159,0.692268431186676,0.9796251018744906,0.2524271844660194,0.11607142857142858,0.15902140672782875,0.615110159184596,0.09457422632630656,0.005801250659233029,0.6944579482078552,0.9592579119679884,0.1649122807017544,0.09771309771309772,0.1227154046997389,0.5679319414721901,0.08108043317818774,0.014862923874352089,0.5100064873695374,3734640,0.601911535896866,0.024736939265275985,0.5982142857142857,0.04750930686048573,0.615110159184596,0.09457422632630656,0.3980260679575077,0.4699284588335152,0.0327980095001131,0.6029106029106029,0.06221173442025099,0.5679319414721901,0.08108043317818774,0.5340660713170549
9,1.142729366819064,0.5460055096418733,0.2536231884057971,0.6923168897628784,0.9786619248721938,0.25,0.14285714285714285,0.18181818181818182,0.6225381346126939,0.10847749731085657,0.007232728094628192,0.6947682499885559,0.9554989693221778,0.17480719794344474,0.14137214137214138,0.15632183908045977,0.5703310446956236,0.08837405594249234,0.020046212452382438,0.5105371475219727,3734640,0.5942061198784915,0.024443237370994023,0.6026785714285714,0.04698103358273882,0.6225381346126939,0.10847749731085657,0.4059368643110073,0.4587122590032739,0.032850348412786196,0.6174636174636174,0.062381852551984876,0.5703310446956236,0.08837405594249234,0.5460563292324986
10,1.1359440237283707,0.5360881542699725,0.2601054481546573,0.6923797130584717,0.9799214640290435,0.2956521739130435,0.15178571428571427,0.20058997050147492,0.6297960884610003,0.1259712044740754,0.006102614329842537,0.6950418949127197,0.9602279616830363,0.2222222222222222,0.14553014553014554,0.17587939698492464,0.5735961932177507,0.09922096069177376,0.015300068694185974,0.5119711756706238,3734640,0.5893902348670075,0.02466928852341795,0.6160714285714286,0.047438982468202134,0.6297960884610003,0.1259712044740754,0.4110600467113689,0.45174002667636715,0.03345684394071491,0.6382536382536382,0.06358082220151186,0.5735961932177507,0.09922096069177376,0.5538624867295322
