experiment_id,ratio,source,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_fpr,selected_threshold,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,wall_clock_training_seconds,metrics_path,summary_path
A_C1,original,outputs,0.8024691358024691,0.625,0.7027027027027027,0.610110058487035,0.000648403306856865,0.9642142653465271,0.9934624697336562,0.9122807017543859,0.40625,0.5621621621621622,0.8997713336935247,0.5194450729573689,0.0004077638231936063,"[[24514, 10], [152, 104]]",106.07355058300891,outputs/metrics/A_C1_metrics.csv,outputs/runs/A_C1/run_summary.json
B_C1,original,outputs,0.8024691358024691,0.625,0.7027027027027027,0.6023849796830532,0.000648403306856865,0.9632313847541809,0.9934624697336562,0.9122807017543859,0.40625,0.5621621621621622,0.899704992430884,0.519671859183932,0.0004077638231936063,"[[24514, 10], [152, 104]]",101.4911124999926,outputs/metrics/B_C1_metrics.csv,outputs/runs/B_C1/run_summary.json
P_C1,original,outputs,0.6623376623376623,0.49038461538461536,0.56353591160221,0.4867867649441017,0.0010536553736424056,0.9929866194725037,0.9925343018563357,0.8256880733944955,0.3515625,0.4931506849315068,0.8388812840227939,0.4198314454344678,0.0007747512640678519,"[[24505, 19], [166, 90]]",977.3873293750075,outputs/metrics/P_C1_metrics.csv,outputs/runs/P_C1/run_summary.json
B_C1_BAL_1TO1,ratio_1to1,outputs_c1_balanced_train/ratio_1to1,0.6774193548387096,0.1875,0.2937062937062937,0.2213262721622199,0.00150681835304754,0.5308841466903687,0.9727779798714684,0.9210526315789473,0.07276507276507277,0.1348747591522158,0.6104841012103861,0.1513863564689736,0.00018734777992880785,"[[16010, 3], [446, 35]]",10.110715416994935,outputs_c1_balanced_train/ratio_1to1/metrics/B_C1_BAL_1TO1_metrics.csv,outputs_c1_balanced_train/ratio_1to1/runs/B_C1_BAL_1TO1/run_summary.json
P_C1_BAL_1TO1,ratio_1to1,outputs_c1_balanced_train/ratio_1to1,0.030303030303030304,0.14732142857142858,0.05026656511805026,0.020331230606267355,0.07956000904091012,0.5054724812507629,0.8568570389232448,0.044573643410852716,0.19126819126819128,0.07229862475442043,0.5253827678732443,0.04888687093992927,0.12314994067320302,"[[14041, 1972], [389, 92]]",42.08091387499735,outputs_c1_balanced_train/ratio_1to1/metrics/P_C1_BAL_1TO1_metrics.csv,outputs_c1_balanced_train/ratio_1to1/runs/P_C1_BAL_1TO1/run_summary.json
B_C1_BAL_2TO1,ratio_2to1,outputs_c1_balanced_train/ratio_2to1,0.8846153846153846,0.6160714285714286,0.7263157894736842,0.6415842513675799,0.0013561365177427861,0.5646883249282837,0.9434339759912695,0.2365967365967366,0.42203742203742206,0.3032113517550411,0.7341812194431941,0.3936328465771154,0.04090426528445638,"[[15358, 655], [278, 203]]",10.644176208996214,outputs_c1_balanced_train/ratio_2to1/metrics/B_C1_BAL_2TO1_metrics.csv,outputs_c1_balanced_train/ratio_2to1/runs/B_C1_BAL_2TO1/run_summary.json
P_C1_BAL_2TO1,ratio_2to1,outputs_c1_balanced_train/ratio_2to1,0.41379310344827586,0.16071428571428573,0.2315112540192926,0.14119259980738566,0.0038423868002712275,0.516010046005249,0.963380623256942,0.25101214574898784,0.1288981288981289,0.17032967032967034,0.5914307151426992,0.10729881674895353,0.011553113095609817,"[[15828, 185], [419, 62]]",48.61794916600047,outputs_c1_balanced_train/ratio_2to1/metrics/P_C1_BAL_2TO1_metrics.csv,outputs_c1_balanced_train/ratio_2to1/runs/P_C1_BAL_2TO1/run_summary.json
B_C1_BAL_3TO1,ratio_3to1,outputs_c1_balanced_train/ratio_3to1,0.8910256410256411,0.6205357142857143,0.7315789473684211,0.6568790454773568,0.0012807956000904092,0.6653572916984558,0.9804171213774706,0.8347457627118644,0.4095634095634096,0.5495118549511855,0.7697483450621526,0.47209171461608973,0.002435521139074502,"[[15974, 39], [284, 197]]",11.353414791999967,outputs_c1_balanced_train/ratio_3to1/metrics/B_C1_BAL_3TO1_metrics.csv,outputs_c1_balanced_train/ratio_3to1/runs/B_C1_BAL_3TO1/run_summary.json
P_C1_BAL_3TO1,ratio_3to1,outputs_c1_balanced_train/ratio_3to1,0.5857142857142857,0.18303571428571427,0.2789115646258503,0.2292679371568433,0.002184886611918933,0.522558867931366,0.96804898751061,0.3776595744680851,0.14760914760914762,0.21225710014947682,0.6119184217916498,0.17498218108984884,0.007306563417223506,"[[15896, 117], [410, 71]]",52.30842679100169,outputs_c1_balanced_train/ratio_3to1/metrics/P_C1_BAL_3TO1_metrics.csv,outputs_c1_balanced_train/ratio_3to1/runs/P_C1_BAL_3TO1/run_summary.json
B_C1_BAL_5TO1,ratio_5to1,outputs_c1_balanced_train/ratio_5to1,0.8409090909090909,0.6607142857142857,0.74,0.6775307170583803,0.002109545694266556,0.6226304769515991,0.9801746089487087,0.7361963190184049,0.498960498960499,0.5947955390334573,0.7867098107527759,0.5155123514121632,0.005370636357959158,"[[15927, 86], [241, 240]]",12.535517750002327,outputs_c1_balanced_train/ratio_5to1/metrics/B_C1_BAL_5TO1_metrics.csv,outputs_c1_balanced_train/ratio_5to1/runs/B_C1_BAL_5TO1/run_summary.json
P_C1_BAL_5TO1,ratio_5to1,outputs_c1_balanced_train/ratio_5to1,0.6491228070175439,0.33035714285714285,0.4378698224852071,0.4001600139046876,0.00301363670609508,0.5323683619499207,0.9667151691524191,0.38513513513513514,0.23700623700623702,0.29343629343629346,0.6857805112348296,0.2731809829102522,0.011365765315681009,"[[15831, 182], [367, 114]]",60.622973915997136,outputs_c1_balanced_train/ratio_5to1/metrics/P_C1_BAL_5TO1_metrics.csv,outputs_c1_balanced_train/ratio_5to1/runs/P_C1_BAL_5TO1/run_summary.json
B_C1_BAL_8TO1,ratio_8to1,outputs_c1_balanced_train/ratio_8to1,0.861271676300578,0.6651785714285714,0.7506297229219143,0.6916997951540691,0.001808182023657048,0.6633669137954712,0.981447799199709,0.7986348122866894,0.4864864864864865,0.6046511627906976,0.7976914027622826,0.548633225061605,0.0036845063385998874,"[[15954, 59], [247, 234]]",14.256179167001392,outputs_c1_balanced_train/ratio_8to1/metrics/B_C1_BAL_8TO1_metrics.csv,outputs_c1_balanced_train/ratio_8to1/runs/B_C1_BAL_8TO1/run_summary.json
P_C1_BAL_8TO1,ratio_8to1,outputs_c1_balanced_train/ratio_8to1,0.9230769230769231,0.48214285714285715,0.6334310850439883,0.5565060096780287,0.0006780682588713931,0.5651556253433228,0.9756275009094216,0.7309941520467836,0.2598752598752599,0.3834355828220859,0.7479256394200502,0.35064028715384105,0.002872665958908387,"[[15967, 46], [356, 125]]",78.06770412500191,outputs_c1_balanced_train/ratio_8to1/metrics/P_C1_BAL_8TO1_metrics.csv,outputs_c1_balanced_train/ratio_8to1/runs/P_C1_BAL_8TO1/run_summary.json
B_C1_BAL_10TO1,ratio_10to1,outputs_c1_balanced_train/ratio_10to1,0.8444444444444444,0.6785714285714286,0.7524752475247525,0.700841024175144,0.002109545694266556,0.6585636138916016,0.9817509397356614,0.774390243902439,0.5280665280665281,0.6279357231149567,0.7994904867445928,0.5485989238503349,0.004621245238243927,"[[15939, 74], [227, 254]]",17.067045165997115,outputs_c1_balanced_train/ratio_10to1/metrics/B_C1_BAL_10TO1_metrics.csv,outputs_c1_balanced_train/ratio_10to1/runs/B_C1_BAL_10TO1/run_summary.json
P_C1_BAL_10TO1,ratio_10to1,outputs_c1_balanced_train/ratio_10to1,0.8344827586206897,0.5401785714285714,0.6558265582655827,0.5961743214604253,0.001808182023657048,0.5897976160049438,0.9760518976597551,0.7128712871287128,0.2993762993762994,0.4216691068814056,0.7685304546604741,0.4010380263132749,0.003622057078623618,"[[15955, 58], [337, 144]]",90.89409924999927,outputs_c1_balanced_train/ratio_10to1/metrics/P_C1_BAL_10TO1_metrics.csv,outputs_c1_balanced_train/ratio_10to1/runs/P_C1_BAL_10TO1/run_summary.json
