round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8290698343680964,0.9764397905759162,0.0,0.6862083077430725,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.33314735108135396,0.2727634866568226,1.0,0.6722768545150757,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5510951318290769,0.3506315573531482,1.0,0.45251768827438354,2964080,0.643979057591623,0.0,0.0,0.0,0.33314735108135396,0.2727634866568226,0.0,0.8006856023506367,0.0,0.0,0.0,0.5510951318290769,0.3506315573531482,0.0
2,0.807532145579656,0.9764397905759162,0.0,0.6835229396820068,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.30700356023168074,0.25932545450115824,1.0,0.6547931432723999,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.506168804333942,0.2951256257604881,1.0,0.40538740158081055,2964080,0.643979057591623,0.0,0.0,0.0,0.30700356023168074,0.25932545450115824,0.0,0.8006856023506367,0.0,0.0,0.0,0.506168804333942,0.2951256257604881,0.0
3,0.7876050595608023,0.9764397905759162,0.0,0.6812426447868347,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3143033636218715,0.2618043296525476,1.0,0.6394821405410767,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.47585375200054103,0.22086617658107768,1.0,0.3720415234565735,2964080,0.643979057591623,0.0,0.0,0.0,0.3143033636218715,0.2618043296525476,0.0,0.8006856023506367,0.0,0.0,0.0,0.47585375200054103,0.22086617658107768,0.0
4,0.7699570664101176,0.9764397905759162,0.0,0.6787484884262085,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3325894043254158,0.2680209847536108,1.0,0.6254429221153259,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.4399890298972868,0.17818655466240552,1.0,0.34913772344589233,2964080,0.643979057591623,0.0,0.0,0.0,0.3325894043254158,0.2680209847536108,0.0,0.8006856023506367,0.0,0.0,0.0,0.4399890298972868,0.17818655466240552,0.0
5,0.753181940317154,0.9764397905759162,0.0,0.6757324934005737,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3265848344757958,0.26510620847257904,1.0,0.6124500632286072,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.4118454567995852,0.1655254929091198,1.0,0.33441460132598877,2964080,0.643979057591623,0.0,0.0,0.0,0.3265848344757958,0.26510620847257904,0.0,0.8006856023506367,0.0,0.0,0.0,0.4118454567995852,0.1655254929091198,0.0
6,0.7373819098704391,0.9764397905759162,0.0,0.6714745163917542,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3427918592911419,0.27164146933371247,1.0,0.6004148721694946,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.397762399597262,0.1591679743326338,1.0,0.32790863513946533,2964080,0.643979057591623,0.0,0.0,0.0,0.3427918592911419,0.27164146933371247,0.0,0.8006856023506367,0.0,0.0,0.0,0.397762399597262,0.1591679743326338,0.0
7,0.7224391919043329,0.9764397905759162,0.0,0.6662349104881287,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3387533875338754,0.2699234374340117,1.0,0.5892542004585266,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.3939070847327728,0.15747722834324612,1.0,0.33192360401153564,2964080,0.643979057591623,0.0,0.0,0.0,0.3387533875338754,0.2699234374340117,0.0,0.8006856023506367,0.0,0.0,0.0,0.3939070847327728,0.15747722834324612,0.0
8,0.7082498663829433,0.9764397905759162,0.0,0.6593309640884399,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.30792018704500773,0.25803085588869307,1.0,0.5790433287620544,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.3813605932871988,0.15471389874639707,1.0,0.3462008237838745,2964080,0.643979057591623,0.0,0.0,0.0,0.30792018704500773,0.25803085588869307,0.0,0.8006856023506367,0.0,0.0,0.0,0.3813605932871988,0.15471389874639707,0.0
9,0.6949931207216448,0.9764397905759162,0.0,0.6515436768531799,0.43106457242582896,0.38446969696969696,0.9950980392156863,0.5546448087431693,0.5514639460120091,0.3707220160373075,0.8807588075880759,0.5696535110473633,0.20372184133202742,0.19013726487036095,0.918918918918919,0.3150800336983993,0.3771032917821908,0.15315629565269662,0.9743119266055046,0.3652503490447998,2964080,0.643979057591623,0.0,0.0,0.0,0.5514639460120091,0.3707220160373075,0.0,0.8006856023506367,0.0,0.0,0.0,0.3771032917821908,0.15315629565269662,0.0
10,0.6814013141310877,0.9764397905759162,0.0,0.6428418755531311,0.43106457242582896,0.38446969696969696,0.9950980392156863,0.5546448087431693,0.6014400340081831,0.46740310872810265,0.8807588075880759,0.5608627796173096,0.20274240940254654,0.1924433249370277,0.9385749385749386,0.3193979933110368,0.3921984536663436,0.15723454767165973,0.980428134556575,0.35245591402053833,2964080,0.643979057591623,0.0,0.0,0.0,0.6014400340081831,0.46740310872810265,0.0,0.8006856023506367,0.0,0.0,0.0,0.3921984536663436,0.15723454767165973,0.0
11,0.6682377027968565,0.9764397905759162,0.0,0.6341760754585266,0.43106457242582896,0.3840304182509506,0.9901960784313726,0.5534246575342465,0.5998060470800786,0.5000213229459944,0.8780487804878049,0.5528680682182312,0.19882468168462292,0.19136112506278252,0.9361179361179361,0.3177648040033361,0.40748371390573224,0.16155687231967214,0.9847094801223242,0.33948662877082825,2964080,0.643979057591623,0.0,0.0,0.0,0.5998060470800786,0.5000213229459944,0.0,0.8006856023506367,0.0,0.0,0.0,0.40748371390573224,0.16155687231967214,0.0
12,0.6552552335792118,0.9764397905759162,0.0,0.6261113882064819,0.4293193717277487,0.3837429111531191,0.9950980392156863,0.5538881309686221,0.5993145225569902,0.5255284687537427,0.8834688346883469,0.5454456210136414,0.19882468168462292,0.19259629814907453,0.9459459459459459,0.3200332502078138,0.42867103968021397,0.17115231711172554,0.9871559633027523,0.3266238570213318,2964080,0.643979057591623,0.0,0.0,0.0,0.5993145225569902,0.5255284687537427,0.0,0.8006856023506367,0.0,0.0,0.0,0.42867103968021397,0.17115231711172554,0.0
13,0.6432642284780741,0.9764397905759162,0.0,0.6188064217567444,0.42408376963350786,0.3815789473684211,0.9950980392156863,0.5516304347826086,0.60242308305436,0.5408660137375616,0.8915989159891599,0.538826584815979,0.19833496571988246,0.19372509960159362,0.9557739557739557,0.32215320910973083,0.445362126096071,0.1821081023540374,0.9902140672782874,0.313992440700531,2964080,0.675392670157068,0.78125,0.12254901960784313,0.211864406779661,0.60242308305436,0.5408660137375616,0.018970189701897018,0.8006856023506367,0.0,0.0,0.0,0.445362126096071,0.1821081023540374,0.0
14,0.6315483785751793,0.9764397905759162,0.0,0.6123551726341248,0.42757417102966844,0.38301886792452833,0.9950980392156863,0.553133514986376,0.6048939901163717,0.5474105658713264,0.8861788617886179,0.5327261686325073,0.19735553379040158,0.19383697813121273,0.9582309582309583,0.3224472922695329,0.4623116861648972,0.19804872215658725,0.9920489296636086,0.3019447922706604,2964080,0.6980802792321117,0.7719298245614035,0.21568627450980393,0.3371647509578544,0.6048939901163717,0.5474105658713264,0.03523035230352303,0.8006856023506367,0.0,0.0,0.0,0.4623116861648972,0.19804872215658725,0.0
