round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.3616214450448751,0.8961060209424084,0.0078125,0.6937785148620605,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.46254450289600935,0.39863619143932394,1.0,0.6918769478797913,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5914455740143814,0.29123540795274006,1.0,0.48827195167541504,84576,0.6579406631762653,0.5833333333333334,0.13725490196078433,0.2222222222222222,0.46254450289600935,0.39863619143932394,0.05420054200542006,0.7654260528893242,0.3448275862068966,0.19656019656019655,0.25039123630672927,0.5914455740143814,0.29123540795274006,0.09296636085626911
2,1.357747004677852,0.02724149214659686,0.04620197320927248,0.693577766418457,0.7137870855148342,0.5819672131147541,0.696078431372549,0.6339285714285714,0.7127769807109836,0.6210520285570951,0.2764227642276423,0.6952056884765625,0.6811949069539667,0.22146118721461186,0.23832923832923833,0.22958579881656804,0.5638993455507217,0.2839082401561853,0.20856269113149847,0.5024141073226929,84576,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.7127769807109836,0.6210520285570951,1.0,0.20910871694417238,0.2003968253968254,0.9926289926289926,0.3334709038382171,0.5638993455507217,0.2839082401561853,0.9859327217125382
3,1.3541338481009007,0.02356020942408377,0.04603580562659847,0.6936543583869934,0.643979057591623,0.5,0.7107843137254902,0.5870445344129555,0.692478346352091,0.6247800480718336,0.39295392953929537,0.6985370516777039,0.60871694417238,0.18888888888888888,0.29238329238329236,0.22950819672131148,0.5276191120227818,0.2554177768230542,0.3125382262996942,0.505041778087616,84576,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.692478346352091,0.6247800480718336,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5276191120227818,0.2554177768230542,1.0
4,1.3481906255086262,0.02356020942408377,0.04603580562659847,0.6931496262550354,0.6003490401396161,0.4608150470219436,0.7205882352941176,0.5621414913957935,0.6668194378022212,0.6094414498669736,0.46612466124661245,0.701127290725708,0.5631733594515181,0.2074788902291918,0.4226044226044226,0.2783171521035599,0.5188122233993793,0.2502838132360966,0.4018348623853211,0.5069400668144226,84576,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.6668194378022212,0.6094414498669736,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5188122233993793,0.2502838132360966,1.0
5,1.3366655390709639,0.02356020942408377,0.04603580562659847,0.6911211013793945,0.44851657940663175,0.38477366255144035,0.9166666666666666,0.5420289855072464,0.643046920665285,0.6004220433673609,0.8102981029810298,0.7029566168785095,0.3281096963761019,0.19287078294080204,0.7444717444717445,0.3063700707785642,0.5224210866412701,0.25464885135085946,0.7755351681957187,0.5061585307121277,84576,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.643046920665285,0.6004220433673609,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5224210866412701,0.25464885135085946,1.0
6,1.3184161378691595,0.023723821989528795,0.0460431654676259,0.6875697374343872,0.418848167539267,0.3712574850299401,0.9117647058823529,0.5276595744680851,0.6166374408842128,0.5909442731540433,0.8536585365853658,0.7044818997383118,0.2962781586679726,0.18712029161603888,0.7567567567567568,0.30004870920603993,0.522053663338067,0.2582217873762079,0.818348623853211,0.505885124206543,84576,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.6166374408842128,0.5909442731540433,1.0,0.19931439764936337,0.19901960784313724,0.9975429975429976,0.3318348998774009,0.522053663338067,0.2582217873762079,0.999388379204893
7,1.2884617975602548,0.034113219895287955,0.046515383994185575,0.6835923790931702,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.59640522875817,0.5832632782885605,1.0,0.7046629190444946,0.1939275220372184,0.19286068418443233,0.9557739557739557,0.320957095709571,0.5154558227952724,0.2592971674999902,0.9957186544342508,0.49657925963401794,84576,0.34904013961605584,0.3509700176366843,0.9754901960784313,0.51621271076524,0.59640522875817,0.5832632782885605,0.997289972899729,0.20225269343780608,0.18010471204188483,0.8452088452088452,0.29693569270608544,0.5154558227952724,0.2592971674999902,0.9577981651376147
8,1.2511466424912214,0.16009489528795812,0.05312182975191368,0.688701331615448,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5839842712152611,0.5792152264790736,1.0,0.7017806172370911,0.19833496571988246,0.19126506024096385,0.9361179361179361,0.3176323468111713,0.5087174747725206,0.25973565082386735,0.9853211009174312,0.489739328622818,84576,0.387434554973822,0.34845360824742266,0.8284313725490197,0.49056603773584906,0.5839842712152611,0.5792152264790736,0.8563685636856369,0.29774730656219395,0.1804604853764779,0.7125307125307125,0.28798411122144985,0.5087174747725206,0.25973565082386735,0.8055045871559633
9,1.208241702367862,0.43586387434554974,0.07535532314293376,0.7205357551574707,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5765715500292258,0.5755085459575531,1.0,0.6970039010047913,0.197845249755142,0.18612952575216726,0.8968058968058968,0.30827702702702703,0.5040371480738454,0.2591201366008584,0.9761467889908257,0.48092105984687805,84576,0.45898778359511344,0.3431952662721893,0.5686274509803921,0.4280442804428044,0.5765715500292258,0.5755085459575531,0.6016260162601627,0.4657198824681685,0.215,0.6339066339066339,0.3210952084629745,0.5040371480738454,0.2591201366008584,0.5761467889908257
10,1.165512972821792,0.7060700261780105,0.12387222628627165,0.7770019173622131,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5751501142462404,0.5748423331001209,1.0,0.6888684630393982,0.19147894221351616,0.17772020725388601,0.8427518427518428,0.2935387248609328,0.5050379821022023,0.25703152822089786,0.9706422018348624,0.46903884410858154,84576,0.5898778359511344,0.43171806167400884,0.4803921568627451,0.4547563805104408,0.5751501142462404,0.5748423331001209,0.34959349593495936,0.6018609206660137,0.2226775956284153,0.4004914004914005,0.286215978928885,0.5050379821022023,0.25703152822089786,0.3480122324159021
11,1.120380982135733,0.8726276178010471,0.23937469467513434,0.8407669067382812,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5775545990754025,0.5755927061578375,1.0,0.677001416683197,0.20470127326150833,0.18487830139823924,0.8771498771498771,0.30538922155688625,0.515291271254574,0.24292644690305656,0.962691131498471,0.4540199041366577,84576,0.6422338568935427,0.4972375690607735,0.4411764705882353,0.4675324675324675,0.5775545990754025,0.5755927061578375,0.24661246612466126,0.7414299706170421,0.3149847094801223,0.25307125307125306,0.28065395095367845,0.515291271254574,0.24292644690305656,0.13700305810397553
12,1.07584585621953,0.9244928010471204,0.3467799009200283,0.9038113355636597,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.583140708858069,0.5777495958670328,1.0,0.6615400910377502,0.21351616062683643,0.18921721099015035,0.8968058968058968,0.3125,0.531502227832503,0.24660482244142606,0.9565749235474006,0.43585771322250366,84576,0.6544502617801047,0.5172413793103449,0.4411764705882353,0.47619047619047616,0.583140708858069,0.5777495958670328,0.22764227642276422,0.7634671890303624,0.27647058823529413,0.11547911547911548,0.16291161178509533,0.531502227832503,0.24660482244142606,0.07522935779816514
13,1.0328369066119194,0.9411812827225131,0.4033195020746888,0.9625744819641113,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5893976831925183,0.5800937316520214,1.0,0.6442017555236816,0.21351616062683643,0.19491094147582697,0.941031941031941,0.32293423271500843,0.5452178617316232,0.2575450926158612,0.9675840978593272,0.4125068783760071,84576,0.6544502617801047,0.5174418604651163,0.4362745098039216,0.4734042553191489,0.5893976831925183,0.5800937316520214,0.22493224932249323,0.7727717923604309,0.2564102564102564,0.07371007371007371,0.11450381679389313,0.5452178617316232,0.2575450926158612,0.05321100917431193
14,0.9895227657010158,0.946907722513089,0.4261715296198055,1.018648386001587,0.3944153577661431,0.3648393194706994,0.946078431372549,0.5266030013642565,0.5950435729847495,0.5819588556355388,0.9105691056910569,0.6261241436004639,0.2556317335945152,0.18718381112984822,0.8181818181818182,0.30466605672461117,0.5546251004966601,0.2661139757229436,0.8844036697247707,0.4034423828125,84576,0.6561954624781849,0.52046783625731,0.4362745098039216,0.4746666666666667,0.5950435729847495,0.5819588556355388,0.2222222222222222,0.777179236043095,0.26,0.06388206388206388,0.10256410256410256,0.5546251004966601,0.2661139757229436,0.04525993883792049
15,0.9454020814349254,0.9507526178010471,0.4436229205175601,1.062461256980896,0.3961605584642234,0.3675373134328358,0.9656862745098039,0.5324324324324324,0.6023300919283703,0.573939243913562,0.9186991869918699,0.6048430800437927,0.24681684622918706,0.19115237575095576,0.85995085995086,0.3127792672028597,0.5650098806062108,0.2747285575121751,0.9058103975535168,0.373029887676239,84576,0.6579406631762653,0.5235294117647059,0.4362745098039216,0.47593582887700536,0.6023300919283703,0.573939243913562,0.21951219512195122,0.7806072477962782,0.26436781609195403,0.056511056511056514,0.0931174089068826,0.5650098806062108,0.2747285575121751,0.03914373088685015
16,0.9022746402770281,0.9539430628272252,0.46021093000958774,1.0944840908050537,0.39790575916230364,0.36822429906542054,0.9656862745098039,0.5331529093369418,0.6086335618258143,0.5635518092505217,0.9159891598915989,0.5836960673332214,0.24387855044074436,0.1938610662358643,0.8845208845208845,0.31802120141342755,0.5771551367881643,0.28257967310660326,0.9155963302752294,0.34301361441612244,84576,0.6614310645724258,0.5301204819277109,0.43137254901960786,0.4756756756756757,0.6086335618258143,0.5635518092505217,0.21138211382113822,0.7825661116552399,0.27710843373493976,0.056511056511056514,0.09387755102040816,0.5771551367881643,0.28257967310660326,0.03669724770642202
17,0.8587481649592519,0.9599149214659686,0.491701244813278,1.1204934120178223,0.387434554973822,0.3656307129798903,0.9803921568627451,0.5326231691078562,0.6133827514745736,0.5585501425489545,0.940379403794038,0.5651230812072754,0.23408423114593535,0.19727891156462585,0.9262899262899262,0.3252804141501294,0.5862933826236578,0.28896957133694934,0.9382262996941896,0.30786585807800293,84576,0.6701570680628273,0.5503355704697986,0.4019607843137255,0.46458923512747874,0.6133827514745736,0.5585501425489545,0.18157181571815717,0.7830558276199804,0.2804878048780488,0.056511056511056514,0.09406952965235174,0.5862933826236578,0.28896957133694934,0.036085626911314984
18,0.8192356331273913,0.9626145287958116,0.5091299677765844,1.1436271667480469,0.3961605584642234,0.36900369003690037,0.9803921568627451,0.5361930294906166,0.6170758276210213,0.5560513226977126,0.926829268292683,0.5497997999191284,0.23898139079333985,0.19831667543398213,0.9262899262899262,0.3266897746967071,0.5922668289640767,0.29375510178366704,0.9321100917431193,0.28081944584846497,84576,0.6858638743455497,0.5857142857142857,0.4019607843137255,0.47674418604651164,0.6170758276210213,0.5560513226977126,0.15718157181571815,0.7835455435847208,0.2839506172839506,0.056511056511056514,0.0942622950819672,0.5922668289640767,0.29375510178366704,0.03547400611620795
19,0.7836464115728935,0.9651505235602095,0.5256124721603563,1.1641439199447632,0.3961605584642234,0.36900369003690037,0.9803921568627451,0.5361930294906166,0.6188957968011053,0.5553561364794435,0.926829268292683,0.5368209481239319,0.23555337904015672,0.19727177334732424,0.9238329238329238,0.32511889321227844,0.5964730368400093,0.2986698398797024,0.9357798165137615,0.25325071811676025,84576,0.6893542757417103,0.5942028985507246,0.4019607843137255,0.47953216374269003,0.6188957968011053,0.5553561364794435,0.15176151761517614,0.7840352595494613,0.2875,0.056511056511056514,0.0944558521560575,0.5964730368400093,0.2986698398797024,0.03486238532110092
20,0.7538945845638713,0.9658867801047121,0.531986531986532,1.1843796968460083,0.39267015706806285,0.36764705882352944,0.9803921568627451,0.5347593582887701,0.6186101811998512,0.5500966303588332,0.9322493224932249,0.5291125178337097,0.23408423114593535,0.197911227154047,0.9312039312039312,0.326442721791559,0.5978255152567079,0.3071374997108224,0.9394495412844037,0.23099461197853088,84576,0.6910994764397905,0.5985401459854015,0.4019607843137255,0.4809384164222874,0.6186101811998512,0.5500966303588332,0.14905149051490515,0.7859941234084231,0.32954545454545453,0.07125307125307126,0.11717171717171718,0.5978255152567079,0.3071374997108224,0.036085626911314984
21,0.7233868939802051,0.9681773560209425,0.5492468134414832,1.1978037357330322,0.3961605584642234,0.36900369003690037,0.9803921568627451,0.5361930294906166,0.6207954726606089,0.5491420639759509,0.926829268292683,0.5171414017677307,0.23310479921645447,0.1970726607422896,0.9262899262899262,0.325,0.6032143903703536,0.31313231417786797,0.9394495412844037,0.20443940162658691,84576,0.699825479930192,0.6212121212121212,0.4019607843137255,0.4880952380952381,0.6207954726606089,0.5491420639759509,0.13550135501355012,0.7899118511263468,0.36585365853658536,0.07371007371007371,0.12269938650306748,0.6032143903703536,0.31313231417786797,0.031804281345565746
22,0.7014855512728294,0.9650687172774869,0.5260821309655938,1.2170023918151855,0.39267015706806285,0.36764705882352944,0.9803921568627451,0.5347593582887701,0.6187496678888358,0.5463817246145477,0.9322493224932249,0.5152906179428101,0.232615083251714,0.19760166840458812,0.9312039312039312,0.3260215053763441,0.6019550826890276,0.3163274570817015,0.9412844036697248,0.18990178406238556,84576,0.6980802792321117,0.6165413533834586,0.4019607843137255,0.486646884272997,0.6187496678888358,0.5463817246145477,0.13821138211382114,0.7904015670910872,0.3894736842105263,0.09090909090909091,0.14741035856573706,0.6019550826890276,0.3163274570817015,0.03547400611620795
23,0.6798780231426159,0.9661321989528796,0.5337837837837838,1.230053424835205,0.39267015706806285,0.36764705882352944,0.9803921568627451,0.5347593582887701,0.6189223656942453,0.54473730218587,0.9322493224932249,0.5083922147750854,0.23114593535749264,0.19729307652264447,0.9312039312039312,0.32560137457044674,0.6042332574442666,0.32043503699652043,0.9431192660550459,0.1703753024339676,84576,0.699825479930192,0.6212121212121212,0.4019607843137255,0.4880952380952381,0.6189223656942453,0.54473730218587,0.13550135501355012,0.7952987267384917,0.43529411764705883,0.09090909090909091,0.15040650406504066,0.6042332574442666,0.32043503699652043,0.029357798165137616
24,0.665343202650547,0.9643324607329843,0.5208791208791209,1.244417428970337,0.38394415357766143,0.36576576576576575,0.9950980392156863,0.5349143610013175,0.6181385833466178,0.5445211341269489,0.9539295392953929,0.507177472114563,0.22135161606268364,0.1989821882951654,0.9606879606879607,0.3296795952782462,0.6038786075483322,0.3236001890814477,0.962691131498471,0.1455029845237732,84576,0.6980802792321117,0.6165413533834586,0.4019607843137255,0.486646884272997,0.6181385833466178,0.5445211341269489,0.13821138211382114,0.7948090107737512,0.4375,0.10319410319410319,0.16699801192842942,0.6038786075483322,0.3236001890814477,0.03302752293577982
25,0.6498608317536613,0.965232329842932,0.5272525027808677,1.2554198503494263,0.3856893542757417,0.3664259927797834,0.9950980392156863,0.5356200527704486,0.6194205324406186,0.5433712413611085,0.9512195121951219,0.5031363368034363,0.222820763956905,0.19928644240570845,0.9606879606879607,0.3300970873786408,0.6059223527113435,0.327694150092343,0.9608562691131498,0.13299784064292908,84576,0.699825479930192,0.6212121212121212,0.4019607843137255,0.4880952380952381,0.6194205324406186,0.5433712413611085,0.13550135501355012,0.7957884427032321,0.45,0.11056511056511056,0.17751479289940827,0.6059223527113435,0.327694150092343,0.03363914373088685
