round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.3609022253917322,0.9501799738219895,0.0,0.6935991048812866,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.4642980498432436,0.39982880685792577,1.0,0.6914781332015991,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5914380602453997,0.29290096389139797,1.0,0.48787087202072144,98672,0.6335078534031413,0.3125,0.024509803921568627,0.045454545454545456,0.4642980498432436,0.39982880685792577,0.02981029810298103,0.801175318315377,0.5060240963855421,0.10319410319410319,0.17142857142857143,0.5914380602453997,0.29290096389139797,0.02507645259938838
2,1.3570685440467463,0.04605693717277487,0.04691458929301185,0.6933122277259827,0.7120418848167539,0.5789473684210527,0.7009803921568627,0.6341463414634146,0.71387958977629,0.6214015222332431,0.28184281842818426,0.6946259140968323,0.6718903036238981,0.21961620469083157,0.25307125307125306,0.23515981735159816,0.5664600380196712,0.28572051200355797,0.22385321100917432,0.5018944144248962,98672,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.71387958977629,0.6214015222332431,1.0,0.22331047992164543,0.20121642169285353,0.9754299754299754,0.33361344537815124,0.5664600380196712,0.28572051200355797,0.963914373088685
3,1.3543269874321089,0.02356020942408377,0.04603580562659847,0.6935147047042847,0.643979057591623,0.5,0.7107843137254902,0.5870445344129555,0.6924783463520909,0.6247182467388156,0.39295392953929537,0.6982743144035339,0.60871694417238,0.18888888888888888,0.29238329238329236,0.22950819672131148,0.5275800404240771,0.255364917972077,0.3125382262996942,0.5048262476921082,98672,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.6924783463520909,0.6247182467388156,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5275800404240771,0.255364917972077,1.0
4,1.3461485790709653,0.02356020942408377,0.04603580562659847,0.6928428411483765,0.6003490401396161,0.4608150470219436,0.7205882352941176,0.5621414913957935,0.667211328976035,0.6096098236599348,0.46612466124661245,0.7005161046981812,0.5661116552399609,0.20899149453219928,0.4226044226044226,0.27967479674796747,0.5193209055594377,0.25052386875303645,0.3981651376146789,0.506449282169342,98672,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.667211328976035,0.6096098236599348,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5193209055594377,0.25052386875303645,1.0
5,1.336111398620738,0.02356020942408377,0.04603580562659847,0.690707266330719,0.44851657940663175,0.38477366255144035,0.9166666666666666,0.5420289855072464,0.643073489558425,0.600464629330796,0.8102981029810298,0.7022867798805237,0.32859941234084233,0.19299363057324842,0.7444717444717445,0.30652503793626706,0.5227389190691942,0.254799723449729,0.7749235474006116,0.5056278109550476,98672,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.643073489558425,0.600464629330796,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5227389190691942,0.254799723449729,1.0
6,1.3190907260609999,0.023969240837696335,0.046054209642600145,0.6871532797813416,0.418848167539267,0.3712574850299401,0.9117647058823529,0.5276595744680851,0.6165378075349381,0.5910321388364173,0.8536585365853658,0.7039761543273926,0.2962781586679726,0.18712029161603888,0.7567567567567568,0.30004870920603993,0.5218613108521366,0.25824531729982514,0.818348623853211,0.5054763555526733,98672,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.6165378075349381,0.5910321388364173,1.0,0.19735553379040158,0.1974459724950884,0.9877149877149877,0.32910356119525175,0.5218613108521366,0.25824531729982514,0.999388379204893
7,1.2901000703374543,0.034604057591623036,0.04653793326331098,0.683533251285553,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5960996864870609,0.5832250087240486,1.0,0.7046883702278137,0.19441723800195887,0.19295634920634921,0.9557739557739557,0.3210895583986793,0.5149899691184094,0.25919244433806654,0.9951070336391438,0.4965225160121918,98672,0.34904013961605584,0.3509700176366843,0.9754901960784313,0.51621271076524,0.5960996864870609,0.5832250087240486,0.997289972899729,0.19980411361410383,0.17795275590551182,0.8329238329238329,0.29325259515570934,0.5149899691184094,0.25919244433806654,0.9577981651376147
8,1.2533753948907056,0.1561681937172775,0.05288770544486273,0.689025342464447,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5836255911578723,0.5790496578865406,1.0,0.7019528150558472,0.19833496571988246,0.19126506024096385,0.9361179361179361,0.3176323468111713,0.5082643945029266,0.2594992747015279,0.9853211009174312,0.4898013770580292,98672,0.3856893542757417,0.3477366255144033,0.8284313725490197,0.48985507246376814,0.5836255911578723,0.5790496578865406,0.8590785907859079,0.29431929480901076,0.18007425742574257,0.714987714987715,0.28769154720711815,0.5082643945029266,0.2594992747015279,0.8103975535168195
9,1.2109499793085787,0.41737565445026176,0.07313899010931807,0.7218769788742065,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5761331632924173,0.5753524757397841,1.0,0.6975772976875305,0.19637610186092067,0.18488253319713993,0.8894348894348895,0.30613107822410146,0.5033458813275327,0.2588433826844081,0.9761467889908257,0.4812145531177521,98672,0.462478184991274,0.3514285714285714,0.6029411764705882,0.44404332129963897,0.5761331632924173,0.5753524757397841,0.6151761517615176,0.4573947110675808,0.21527213647441104,0.6511056511056511,0.3235653235653236,0.5033458813275327,0.2588433826844081,0.5908256880733945
10,1.1684614809023008,0.6774378272251309,0.1149270482603816,0.7797999382019043,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5748578564217014,0.5747419542288466,1.0,0.6900721788406372,0.1909892262487757,0.17729393468118196,0.8402948402948403,0.2928082191780822,0.5037020339772633,0.2568131449584409,0.9706422018348624,0.46969446539878845,98672,0.5706806282722513,0.4117647058823529,0.4803921568627451,0.4434389140271493,0.5748578564217014,0.5747419542288466,0.3794037940379404,0.5842311459353575,0.22025316455696203,0.4275184275184275,0.2907268170426065,0.5037020339772633,0.2568131449584409,0.3767584097859327
11,1.123230629083183,0.8718913612565445,0.23832684824902725,0.8424990177154541,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5772224879111536,0.5754704509330563,1.0,0.6770877838134766,0.20274240940254654,0.18384256861729673,0.8722358722358723,0.30367835757057315,0.514933615851047,0.24227993754463556,0.963914373088685,0.4540095925331116,98672,0.6404886561954625,0.4945054945054945,0.4411764705882353,0.46632124352331605,0.5772224879111536,0.5754704509330563,0.24932249322493225,0.7409402546523016,0.31402439024390244,0.25307125307125306,0.2802721088435374,0.514933615851047,0.24227993754463556,0.13761467889908258
12,1.0786423517598047,0.9235929319371727,0.3441011235955056,0.9058274626731873,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.582801955470535,0.5777013932064308,1.0,0.6617944240570068,0.21400587659157688,0.18931535269709543,0.8968058968058968,0.31263383297644537,0.5310416337939274,0.246127822865526,0.9559633027522936,0.435962438583374,98672,0.6544502617801047,0.5172413793103449,0.4411764705882353,0.47619047619047616,0.582801955470535,0.5777013932064308,0.22764227642276422,0.7639569049951028,0.2857142857142857,0.12285012285012285,0.1718213058419244,0.5310416337939274,0.246127822865526,0.0764525993883792
