round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.3421732402510114,0.9208933246073299,0.2679788039364118,0.6913456320762634,0.38394415357766143,0.36429872495446264,0.9803921568627451,0.5312084993359893,0.5760136032732877,0.5661793339744212,0.94579945799458,0.6926294565200806,0.2100881488736533,0.2005958291956306,0.9926289926289926,0.33374638579099547,0.624467837311874,0.3899015365202211,0.9847094801223242,0.4991180896759033,2964080,0.643979057591623,0.5,0.39705882352941174,0.4426229508196721,0.5760136032732877,0.5661793339744212,0.21951219512195122,0.801175318315377,0.5024154589371981,0.25552825552825553,0.33876221498371334,0.624467837311874,0.3899015365202211,0.06299694189602446
2,1.3376072007748814,0.7931937172774869,0.1539491298527443,0.6886100769042969,0.387434554973822,0.3675675675675676,1.0,0.5375494071146245,0.5816927041819437,0.5619851718220863,0.9512195121951219,0.6926683187484741,0.20861900097943192,0.19790104947526238,0.972972972972973,0.3289036544850498,0.6202954413963588,0.3725555487459422,0.981651376146789,0.49867749214172363,2964080,0.6108202443280978,0.4527363184079602,0.44607843137254904,0.44938271604938274,0.5816927041819437,0.5619851718220863,0.2981029810298103,0.702252693437806,0.3376413570274637,0.5135135135135135,0.4074074074074074,0.6202954413963588,0.3725555487459422,0.25076452599388377
3,1.332530616886086,0.5917048429319371,0.0936989286362811,0.685174286365509,0.3699825479930192,0.36106194690265486,1.0,0.5305591677503251,0.596411870981455,0.5603600565228294,0.978319783197832,0.6931319832801819,0.2100881488736533,0.2014851485148515,1.0,0.3353934899052328,0.6096957674939326,0.32720052634367425,0.9865443425076452,0.4982355833053589,2964080,0.5863874345549738,0.4279475982532751,0.4803921568627451,0.45265588914549654,0.596411870981455,0.5603600565228294,0.35501355013550134,0.5254652301665035,0.23884758364312267,0.6314496314496314,0.3465947403910991,0.6096957674939326,0.32720052634367425,0.5009174311926605
4,1.3289069181515112,0.25466295811518325,0.05848920119871861,0.6827932596206665,0.3787085514834206,0.36428571428571427,1.0,0.5340314136125655,0.5901017588607258,0.5549007380108743,0.964769647696477,0.6945126056671143,0.21155729676787463,0.2017848289538919,1.0,0.3358085808580858,0.6225683565133107,0.31561223512868913,0.9847094801223242,0.49876412749290466,2964080,0.4607329842931937,0.3643410852713178,0.6911764705882353,0.47715736040609136,0.5901017588607258,0.5549007380108743,0.6666666666666666,0.27864838393731634,0.1995490417136415,0.8697788697788698,0.3246217331499312,0.6225683565133107,0.31561223512868913,0.8685015290519877
5,1.3253388992614217,0.05178337696335079,0.04734116873510315,0.6817779541015625,0.3717277486910995,0.3617021276595745,1.0,0.53125,0.5758010521281683,0.5497426395309508,0.975609756097561,0.6963467597961426,0.21400587659157688,0.20228628230616302,1.0,0.3365026870607689,0.6311881522890698,0.3164799901200377,0.981651376146789,0.49978289008140564,2964080,0.3682373472949389,0.35842293906810035,0.9803921568627451,0.5249343832020997,0.5758010521281683,0.5497426395309508,0.9701897018970189,0.21596474045053868,0.20268924302788843,1.0,0.3370600414078675,0.6311881522890698,0.3164799901200377,0.9792048929663608
6,1.318982669048839,0.025278141361256546,0.04611320150508366,0.6817807555198669,0.3717277486910995,0.3617021276595745,1.0,0.53125,0.5703809979276263,0.5475187152542151,0.975609756097561,0.698153555393219,0.21302644466209597,0.20208540218470705,1.0,0.3362247005369682,0.6391317088564795,0.32013708882905756,0.982874617737003,0.5007387399673462,2964080,0.3612565445026178,0.35789473684210527,1.0,0.5271317829457365,0.5703809979276263,0.5475187152542151,0.991869918699187,0.20470127326150833,0.20039389463318563,1.0,0.3338802296964725,0.6391317088564795,0.32013708882905756,0.9932721712538226
7,1.3176405682331986,0.02462369109947644,0.046083686694935594,0.6825745701789856,0.3717277486910995,0.3617021276595745,1.0,0.53125,0.5716363781284872,0.5460899386823761,0.975609756097561,0.6997259855270386,0.21155729676787463,0.2017848289538919,1.0,0.3358085808580858,0.6437609419260796,0.3237322146737726,0.9847094801223242,0.5015459060668945,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5716363781284872,0.5460899386823761,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6437609419260796,0.3237322146737726,1.0
8,1.3098827488720417,0.02413285340314136,0.04606157536985206,0.6838504672050476,0.3699825479930192,0.36106194690265486,1.0,0.5305591677503251,0.5751235453531005,0.5468275877311177,0.978319783197832,0.7011228799819946,0.2120470127326151,0.20188492063492064,1.0,0.33594717292612464,0.6489807572376379,0.327276166580726,0.9840978593272172,0.5022660493850708,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5751235453531005,0.5468275877311177,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6489807572376379,0.327276166580726,1.0
9,1.3068291209638119,0.02356020942408377,0.04603580562659847,0.6855383515357971,0.3717277486910995,0.3617021276595745,1.0,0.53125,0.580410755087943,0.5483121395489016,0.975609756097561,0.7023882865905762,0.21155729676787463,0.2017848289538919,1.0,0.3358085808580858,0.6514392624484369,0.32845310572660114,0.9847094801223242,0.5029194951057434,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.580410755087943,0.5483121395489016,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6514392624484369,0.32845310572660114,1.0
10,1.3018833746512732,0.02356020942408377,0.04603580562659847,0.6878759860992432,0.3699825479930192,0.36106194690265486,1.0,0.5305591677503251,0.5790291726446676,0.5475869876631251,0.978319783197832,0.7035363912582397,0.20910871694417238,0.2012858555885262,1.0,0.33511733223548784,0.6526099076557792,0.328998066639553,0.9877675840978594,0.5033863186836243,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5790291726446676,0.5475869876631251,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6526099076557792,0.328998066639553,1.0
