round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,6.461212837033802,0.02356020942408377,0.04603580562659847,0.7307496666908264,0.36300174520069806,0.35802469135802467,0.9950980392156863,0.5265888456549935,0.5649543015037994,0.5748772302310369,0.986449864498645,0.7853631973266602,0.19833496571988246,0.19126506024096385,0.9361179361179361,0.3176323468111713,0.6273921961995357,0.3445259297596092,0.9853211009174312,0.5660220980644226,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5649543015037994,0.5748772302310369,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6273921961995357,0.3445259297596092,1.0
2,4.35525013671981,0.02356020942408377,0.04603580562659847,0.8869070410728455,0.37521815008726006,0.36298932384341637,1.0,0.5326370757180157,0.5760933099527072,0.5810512245926228,0.9701897018970189,0.9576907157897949,0.21057786483839372,0.197388247112004,0.9656019656019657,0.32777314428690574,0.6167549534522012,0.34362420928579485,0.9773700305810398,0.6526349186897278,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5760933099527072,0.5810512245926228,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6167549534522012,0.34362420928579485,1.0
3,2.8368378852804503,0.02356020942408377,0.04603580562659847,1.1309733390808105,0.37347294938917974,0.3623445825932504,1.0,0.5319426336375489,0.5727854827567884,0.5770827270435508,0.9728997289972899,1.1927520036697388,0.20029382957884426,0.19164989939637828,0.9361179361179361,0.31816283924843425,0.6010970102713222,0.35291903106584854,0.982874617737003,0.7316490411758423,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5727854827567884,0.5770827270435508,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6010970102713222,0.35291903106584854,1.0
4,2.0712728338936963,0.02356020942408377,0.04603580562659847,1.3189754486083984,0.37347294938917974,0.3623445825932504,1.0,0.5319426336375489,0.5732637228333068,0.5750629845801105,0.9728997289972899,1.3807613849639893,0.19637610186092067,0.18806875631951467,0.914004914004914,0.3119496855345912,0.5966729030949215,0.3611746527897683,0.982262996941896,0.7761879563331604,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5732637228333068,0.5750629845801105,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5966729030949215,0.3611746527897683,1.0
5,1.7717774187525115,0.02356020942408377,0.04603580562659847,1.4318342208862305,0.3682373472949389,0.36042402826855124,1.0,0.5298701298701298,0.5663026728306498,0.5746872607418232,0.981029810298103,1.4938331842422485,0.19686581782566112,0.18816388467374812,0.914004914004914,0.31208053691275167,0.6014411408906821,0.3693223905192658,0.981651376146789,0.7955089807510376,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5663026728306498,0.5746872607418232,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6014411408906821,0.3693223905192658,1.0
6,1.6362317808800273,0.02356020942408377,0.04603580562659847,1.5037096738815308,0.3682373472949389,0.36042402826855124,1.0,0.5298701298701298,0.5814070885806897,0.5794660731487771,0.981029810298103,1.551784634590149,0.19882468168462292,0.188545362392296,0.914004914004914,0.3126050420168067,0.6077414361818032,0.37270959914347374,0.9792048929663608,0.8027423024177551,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5814070885806897,0.5794660731487771,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6077414361818032,0.37270959914347374,1.0
7,1.5547252450552254,0.02356020942408377,0.04603580562659847,1.5541768074035645,0.3682373472949389,0.36042402826855124,1.0,0.5298701298701298,0.5666480684414688,0.574174926799287,0.981029810298103,1.5812627077102661,0.20029382957884426,0.18851626016260162,0.9115479115479116,0.31242105263157893,0.6021797443815793,0.36886855710770244,0.9767584097859328,0.8044382333755493,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5666480684414688,0.574174926799287,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6021797443815793,0.36886855710770244,1.0
8,1.5089158229529858,0.02356020942408377,0.04603580562659847,1.5928219556808472,0.3682373472949389,0.36042402826855124,1.0,0.5298701298701298,0.577714012434242,0.5759663889638863,0.981029810298103,1.590186595916748,0.20029382957884426,0.18851626016260162,0.9115479115479116,0.31242105263157893,0.5952182374200723,0.3623345929112962,0.9767584097859328,0.8014334440231323,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.577714012434242,0.5759663889638863,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5952182374200723,0.3623345929112962,1.0
9,1.4580118333299956,0.02356020942408377,0.04603580562659847,1.608880877494812,0.3717277486910995,0.3617021276595745,1.0,0.53125,0.589782932143047,0.5814401914231245,0.975609756097561,1.5842523574829102,0.19931439764936337,0.1883248730964467,0.9115479115479116,0.3121581825830879,0.6026223053745989,0.36274953986223557,0.9779816513761468,0.7965003848075867,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.589782932143047,0.5814401914231245,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6026223053745989,0.36274953986223557,1.0
10,1.420864118470086,0.02356020942408377,0.04603580562659847,1.6138018369674683,0.4031413612565445,0.3683206106870229,0.946078431372549,0.5302197802197802,0.5872920984111802,0.5822211262210455,0.8970189701897019,1.5725085735321045,0.23310479921645447,0.18827326519634213,0.85995085995086,0.3089143865842895,0.6035495044669357,0.3629142961988264,0.9229357798165138,0.8038619160652161,2964080,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.5872920984111802,0.5822211262210455,1.0,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.6035495044669357,0.3629142961988264,1.0
