round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8383699779709181,0.9788121727748691,0.2865013774104683,0.6910232901573181,0.4013961605584642,0.37294332723948814,1.0,0.5432756324900133,0.5771627079015889,0.5527106528400194,0.9295392953929539,0.6897320747375488,0.2120470127326151,0.2000998003992016,0.9852579852579852,0.3326420572376607,0.6250719443379994,0.4102306343221384,0.980428134556575,0.4963020384311676,2964080,0.6980802792321117,0.6962025316455697,0.2696078431372549,0.38869257950530034,0.5771627079015889,0.5527106528400194,0.06504065040650407,0.8006856023506367,0.0,0.0,0.0,0.6250719443379994,0.4102306343221384,0.0
2,0.8353775718973742,0.9767670157068062,0.16470588235294117,0.6895409822463989,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.4802393857271906,0.4543749820299435,1.0,0.6855567693710327,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5826912817738505,0.35912717044230835,1.0,0.486103355884552,2964080,0.643979057591623,0.0,0.0,0.0,0.4802393857271906,0.4543749820299435,0.0,0.8006856023506367,0.0,0.0,0.0,0.5826912817738505,0.35912717044230835,0.0
3,0.8324374109506607,0.9767670157068062,0.1125,0.6887500882148743,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.4285031085604974,0.3979795317040503,1.0,0.6825655102729797,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5805408410912998,0.3581493037452482,1.0,0.47626402974128723,2964080,0.643979057591623,0.0,0.0,0.0,0.4285031085604974,0.3979795317040503,0.0,0.8006856023506367,0.0,0.0,0.0,0.5805408410912998,0.3581493037452482,0.0
4,0.8294603151993619,0.9766034031413613,0.013793103448275862,0.6886513829231262,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3389526542324247,0.2897004376007247,1.0,0.6799330115318298,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5770183861926981,0.3593040555115897,1.0,0.4682507812976837,2964080,0.643979057591623,0.0,0.0,0.0,0.3389526542324247,0.2897004376007247,0.0,0.8006856023506367,0.0,0.0,0.0,0.5770183861926981,0.3593040555115897,0.0
5,0.8263340517878532,0.9764397905759162,0.0,0.688256025314331,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.3415032679738562,0.2791343750192928,1.0,0.677405059337616,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5761084687690192,0.36019036198855403,1.0,0.45818260312080383,2964080,0.643979057591623,0.0,0.0,0.0,0.3415032679738562,0.2791343750192928,0.0,0.8006856023506367,0.0,0.0,0.0,0.5761084687690192,0.36019036198855403,0.0
6,0.823484495903055,0.9764397905759162,0.0,0.6878427267074585,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.31974334449226843,0.26735353367588577,1.0,0.674979567527771,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5627760370879638,0.3561319569578051,1.0,0.45117178559303284,2964080,0.643979057591623,0.0,0.0,0.0,0.31974334449226843,0.26735353367588577,0.0,0.8006856023506367,0.0,0.0,0.0,0.5627760370879638,0.3561319569578051,0.0
7,0.8212407514866855,0.9764397905759162,0.0,0.6873006820678711,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.31247675221850263,0.2636302980888223,1.0,0.6725586652755737,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5608983462194471,0.3526458254558054,1.0,0.4445452392101288,2964080,0.643979057591623,0.0,0.0,0.0,0.31247675221850263,0.2636302980888223,0.0,0.8006856023506367,0.0,0.0,0.0,0.5608983462194471,0.3526458254558054,0.0
8,0.8176574125472043,0.9764397905759162,0.0,0.6868906617164612,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.30626627344704815,0.2613635478000724,1.0,0.6701831221580505,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5463366619329921,0.3471691105959196,1.0,0.438840389251709,2964080,0.643979057591623,0.0,0.0,0.0,0.30626627344704815,0.2613635478000724,0.0,0.8006856023506367,0.0,0.0,0.0,0.5463366619329921,0.3471691105959196,0.0
9,0.8146447071598635,0.9764397905759162,0.0,0.686834454536438,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.2965686274509804,0.25814261459110543,1.0,0.6678691506385803,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5355093208304217,0.3380620897130199,1.0,0.43101081252098083,2964080,0.643979057591623,0.0,0.0,0.0,0.2965686274509804,0.25814261459110543,0.0,0.8006856023506367,0.0,0.0,0.0,0.5355093208304217,0.3380620897130199,0.0
10,0.8127383198589087,0.9764397905759162,0.0,0.6863377094268799,0.35602094240837695,0.35602094240837695,1.0,0.525096525096525,0.30519687549816676,0.2595924640683689,1.0,0.6655322313308716,0.19931439764936337,0.19931439764936337,1.0,0.3323805634953042,0.5383923539886843,0.33318564211729407,1.0,0.423640638589859,2964080,0.643979057591623,0.0,0.0,0.0,0.30519687549816676,0.2595924640683689,0.0,0.8006856023506367,0.0,0.0,0.0,0.5383923539886843,0.33318564211729407,0.0
