round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.8888011288486029,0.8326250690989497,0.05977680737506065,0.6775546669960022,0.9975786924939467,0.84375,0.5192307692307693,0.6428571428571429,0.8760306651121612,0.5275313631159427,0.00040525206678554063,0.6794741153717041,0.9914850686037127,0.8260869565217391,0.22265625,0.3507692307692308,0.7859633356609852,0.3362967037868317,0.0004893165878323275,0.5583682060241699,3466176,0.8455609362389024,0.020602626834921454,0.7692307692307693,0.040130423877602205,0.8760306651121612,0.5275313631159427,0.1541173609985411,0.8246166263115415,0.03564940962761126,0.61328125,0.06738197424892704,0.7859633356609852,0.3362967037868317,0.17317729571032459
2,0.8378873802899744,0.8763128800442234,0.08393039918116683,0.6584082245826721,0.9976594027441485,0.8484848484848485,0.5384615384615384,0.6588235294117647,0.8683811426861354,0.5582962194704808,0.00040525206678554063,0.660359263420105,0.991727199354318,0.8227848101265823,0.25390625,0.3880597014925373,0.7961517767034334,0.41345853508541347,0.0005708693524710488,0.6463009715080261,3466176,0.8876916868442292,0.028511087645195353,0.7788461538461539,0.05500848896434635,0.8683811426861354,0.5582962194704808,0.1118495704328092,0.8728410008071025,0.049205854873871066,0.6171875,0.09114508220363426,0.7961517767034334,0.41345853508541347,0.12449029522100799
3,0.798061330816107,0.9352542841348811,0.14507299270072993,0.6254419088363647,0.9977401129943503,0.875,0.5384615384615384,0.6666666666666666,0.8668148824145542,0.5508374404981021,0.0003242016534284325,0.6270106434822083,0.9918482647296206,0.8214285714285714,0.26953125,0.40588235294117647,0.7980932740631627,0.4277881993086244,0.0006116457347904094,0.7220912575721741,3466176,0.9418079096045198,0.052807486631016046,0.7596153846153846,0.09875,0.8668148824145542,0.5508374404981021,0.0574242178635111,0.9314769975786925,0.08610792192881746,0.5859375,0.15015015015015015,0.7980932740631627,0.4277881993086244,0.06491600065242212
4,0.7577683110342641,0.9548006495301271,0.19603625748962974,0.5909436345100403,0.9976594027441485,0.8484848484848485,0.5384615384615384,0.6588235294117647,0.8627910021571878,0.5467213541516962,0.00040525206678554063,0.59214186668396,0.9919693301049233,0.8202247191011236,0.28515625,0.42318840579710143,0.7952219636886315,0.433877533235262,0.0006524221171097701,0.7838744521141052,3466176,0.9578288942695722,0.0671573137074517,0.7019230769230769,0.12258606213266163,0.8627910021571878,0.5467213541516962,0.041092559572053815,0.9516949152542373,0.11779041429731925,0.56640625,0.19502353732347008,0.7952219636886315,0.433877533235262,0.04428315119882564
5,0.7129537780283455,0.9662019762299613,0.24619533808514737,0.5524028539657593,0.9976997578692494,0.873015873015873,0.5288461538461539,0.6586826347305389,0.8624987530705637,0.5651038546258356,0.0003242016534284325,0.552962064743042,0.9920096852300242,0.8372093023255814,0.28125,0.42105263157894735,0.7967033728439488,0.4423596708539843,0.0005708693524710488,0.8520859479904175,3466176,0.9695722356739306,0.0906801007556675,0.6923076923076923,0.1603563474387528,0.8624987530705637,0.5651038546258356,0.02925919922191603,0.9670298627925746,0.1680473372781065,0.5546875,0.2579473206176203,0.7967033728439488,0.4423596708539843,0.02866579677051052
6,0.6733120071153607,0.978415215588723,0.3319967923015237,0.5100592970848083,0.9972558514931397,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.8633139331895208,0.575705933597454,0.0011347057869995137,0.510273277759552,0.9925746569814367,0.7647058823529411,0.40625,0.5306122448979592,0.7974018276739113,0.4597676900724533,0.0013048442342195401,0.7079333662986755,3466176,0.9835351089588378,0.16071428571428573,0.6923076923076923,0.2608695652173913,0.8633139331895208,0.575705933597454,0.015237477711136326,0.9821630347054076,0.29333333333333333,0.515625,0.37393767705382436,0.7974018276739113,0.4597676900724533,0.012966889577556678
7,0.6246391537122464,0.9813000967385296,0.3656607090536185,0.4720422923564911,0.9972558514931397,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.8681884531216879,0.5785604797250071,0.0011347057869995137,0.4712252914905548,0.9925746569814367,0.7686567164179104,0.40234375,0.5282051282051282,0.7993404579442587,0.4691211636405304,0.0012640678519001793,0.7530296444892883,3466176,0.9859564164648911,0.18556701030927836,0.6923076923076923,0.2926829268292683,0.8681884531216879,0.5785604797250071,0.012805965310423084,0.9843018563357546,0.3349875930521092,0.52734375,0.40971168437025796,0.7993404579442587,0.4691211636405304,0.010928070461588647
8,0.5783972281730917,0.988287728026534,0.47523219814241485,0.4265810549259186,0.9973769168684423,0.7294117647058823,0.5961538461538461,0.656084656084656,0.8688331546067807,0.580090348464572,0.0009320797536067434,0.42624935507774353,0.9926150121065376,0.7829457364341085,0.39453125,0.5246753246753246,0.7971400464850759,0.4765430465831266,0.0011417387049420975,0.8007250428199768,3466176,0.9919693301049233,0.301255230125523,0.6923076923076923,0.4198250728862974,0.8688331546067807,0.580090348464572,0.0067677095153185285,0.9898305084745763,0.5078740157480315,0.50390625,0.5058823529411764,0.7971400464850759,0.4765430465831266,0.0050970477899200785
9,0.5327985330382318,0.9877781232725262,0.4674444862627023,0.39121314883232117,0.9973769168684423,0.7294117647058823,0.5961538461538461,0.656084656084656,0.871379813147624,0.5824759038255397,0.0009320797536067434,0.3906952738761902,0.9926553672316384,0.7846153846153846,0.3984375,0.5284974093264249,0.7919704454055211,0.4796597101403109,0.0011417387049420975,0.8140329718589783,3466176,0.9916464891041162,0.291497975708502,0.6923076923076923,0.41025641025641024,0.871379813147624,0.5824759038255397,0.00709191116874696,0.9892251815980629,0.4797047970479705,0.5078125,0.49335863377609107,0.7919704454055211,0.4796597101403109,0.005749469907029848
10,0.4893482740451559,0.9906975538971807,0.5319426336375489,0.3466520607471466,0.9974172719935431,0.7564102564102564,0.5673076923076923,0.6483516483516484,0.8764926135017519,0.5938516458288489,0.0007699789268925272,0.3470907211303711,0.9926150121065376,0.7967479674796748,0.3828125,0.5171503957783641,0.7906746802876774,0.48675146290954635,0.0010194095579840157,0.8400696516036987,3466176,0.9937046004842615,0.3645833333333333,0.6730769230769231,0.47297297297297297,0.8764926135017519,0.5938516458288489,0.0049440752147835955,0.9918079096045198,0.6318407960199005,0.49609375,0.5557986870897156,0.7906746802876774,0.48675146290954635,0.003017452291632686
