round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.9411666841669517,0.5894833333333334,0.024553483030375033,0.7039515972137451,0.9967916666666666,0.8,0.34615384615384615,0.48322147651006714,0.7899779251757616,0.36962076581057923,0.0003766320723133579,0.7058590650558472,0.9902916666666667,0.896551724137931,0.1015625,0.1824561403508772,0.6442158742735007,0.1866836162935696,0.0001263477088948787,0.5929116606712341,3394160,0.415125,0.005816840462509754,0.7884615384615384,0.011548482501232308,0.7899779251757616,0.36962076581057923,0.5864998326079679,0.38529166666666664,0.013164080865068171,0.765625,0.02588312974579069,0.6442158742735007,0.1866836162935696,0.6188089622641509
2,0.8980079946870153,0.5834,0.027998133457769483,0.7229430079460144,0.9966666666666667,0.7222222222222222,0.375,0.4936708860759494,0.7902002427184465,0.3768621641405684,0.0006277201205222632,0.7253049612045288,0.990375,0.7551020408163265,0.14453125,0.24262295081967214,0.6976209779312669,0.22511747045065117,0.0005053908355795149,0.6913310289382935,3394160,0.39516666666666667,0.005964623611682435,0.8365384615384616,0.011844792375765826,0.7902002427184465,0.3768621641405684,0.6067542684968196,0.3790833333333333,0.013227864929540017,0.77734375,0.026013071895424837,0.6976209779312669,0.22511747045065117,0.6252105795148248
3,0.864990103786642,0.6572333333333333,0.033915821119879744,0.7299065589904785,0.9968333333333333,0.7,0.47115384615384615,0.5632183908045977,0.8068141031006154,0.4166093773574646,0.0008788081687311684,0.7320616245269775,0.9902083333333334,0.6615384615384615,0.16796875,0.26791277258566976,0.735168539288873,0.2544297297676396,0.0009265498652291105,0.7608190178871155,3394160,0.478625,0.006835704633971863,0.8269230769230769,0.013559322033898305,0.8068141031006154,0.4166093773574646,0.5228908603950452,0.4678333333333333,0.01548467017652524,0.78125,0.030367446097783177,0.735168539288873,0.2544297297676396,0.5355458221024259
4,0.8429829906333577,0.7326666666666667,0.044896987019173516,0.7302795648574829,0.99675,0.6805555555555556,0.47115384615384615,0.5568181818181818,0.8046856892688831,0.39897606577403383,0.0009625041848008034,0.7326185703277588,0.990125,0.620253164556962,0.19140625,0.29253731343283584,0.7308250077651196,0.2652472655176257,0.001263477088948787,0.8157529830932617,3394160,0.5397916666666667,0.007561436672967864,0.8076923076923077,0.014982609471149558,0.8046856892688831,0.39897606577403383,0.4613742885838634,0.5374583333333334,0.01649576460098083,0.72265625,0.03225525237555575,0.7308250077651196,0.2652472655176257,0.464538409703504
5,0.8388916111805222,0.76115,0.047710811349591334,0.7338100671768188,0.99625,0.5972222222222222,0.41346153846153844,0.48863636363636365,0.797447995802323,0.35654800149795807,0.0012135922330097086,0.734567403793335,0.9901666666666666,0.6086956521739131,0.21875,0.3218390804597701,0.7178864594739724,0.270964180113958,0.0015161725067385444,0.8616210222244263,3394160,0.5876666666666667,0.008433734939759036,0.8076923076923077,0.016693163751987282,0.797447995802323,0.35654800149795807,0.4132909273518581,0.5836666666666667,0.01687177451369591,0.6640625,0.03290747193186218,0.7178864594739724,0.270964180113958,0.41720013477088946
6,0.8037909172475337,0.8075666666666667,0.060689879596485516,0.7225854396820068,0.9967916666666666,0.684931506849315,0.4807692307692308,0.5649717514124294,0.8100619511472792,0.40973962611278203,0.0009625041848008034,0.7241928577423096,0.9901666666666666,0.6190476190476191,0.203125,0.3058823529411765,0.7533804592739219,0.2712735036379033,0.0013477088948787063,0.8999646306037903,3394160,0.6422083333333334,0.009369577790630423,0.7788461538461539,0.018516401874499943,0.8100619511472792,0.40973962611278203,0.35838634081017745,0.6180833333333333,0.019624757386241105,0.7109375,0.03819517313746065,0.7533804592739219,0.2712735036379033,0.3829177897574124
7,0.7747038598087701,0.8369666666666666,0.0689130020940415,0.7163257002830505,0.9966666666666667,0.6621621621621622,0.47115384615384615,0.550561797752809,0.7997689507094847,0.400024714766874,0.0010462002008704385,0.714677095413208,0.9901666666666666,0.6086956521739131,0.21875,0.3218390804597701,0.752094114565785,0.2645115554397515,0.0015161725067385444,0.917112410068512,3394160,0.6694166666666667,0.00952142320220496,0.7307692307692307,0.018797922334899828,0.7997689507094847,0.400024714766874,0.33085035152326747,0.653125,0.020900130625816412,0.6875,0.04056701624985594,0.752094114565785,0.2645115554397515,0.34724561994609165
8,0.7517866467210379,0.8679166666666667,0.08476729414482041,0.6997928023338318,0.9966666666666667,0.6621621621621622,0.47115384615384615,0.550561797752809,0.8054691322654579,0.3926088776281618,0.0010462002008704385,0.6955888867378235,0.9904583333333333,0.6421052631578947,0.23828125,0.3475783475783476,0.7689973157692469,0.2955210298525679,0.0014319407008086254,0.932115912437439,3394160,0.7124166666666667,0.011075949367088608,0.7403846153846154,0.021825396825396824,0.8054691322654579,0.3926088776281618,0.2877050552393706,0.6870416666666667,0.023136584724595767,0.6875,0.044766628513290094,0.7689973157692469,0.2955210298525679,0.31296327493261455
9,0.7264171666719696,0.88855,0.09696151249155975,0.6828618049621582,0.9964583333333333,0.6233766233766234,0.46153846153846156,0.5303867403314917,0.7995790251345575,0.36274804243800024,0.0012135922330097086,0.6757436990737915,0.9905833333333334,0.65625,0.24609375,0.35795454545454547,0.7623702303739892,0.3028222430046148,0.0013898247978436657,0.9388033747673035,3394160,0.7334583333333333,0.011792086889061288,0.7307692307692307,0.023209650328294397,0.7995790251345575,0.36274804243800024,0.26652996317375294,0.710125,0.023467501066704595,0.64453125,0.045286125977768626,0.7623702303739892,0.3028222430046148,0.2891677897574124
10,0.6971519869159568,0.9040666666666667,0.11008039579468151,0.6700490117073059,0.9964166666666666,0.625,0.4326923076923077,0.5113636363636364,0.8016360156833457,0.36601843511150467,0.0011298962169400736,0.6544565558433533,0.9905416666666667,0.6559139784946236,0.23828125,0.3495702005730659,0.7688406972550961,0.3028471018287086,0.0013477088948787063,0.9528159499168396,3394160,0.7603333333333333,0.01310344827586207,0.7307692307692307,0.025745257452574527,0.8016360156833457,0.36601843511150467,0.2395379979912956,0.736875,0.02523115499138066,0.62890625,0.04851589573602531,0.7688406972550961,0.3028471018287086,0.2619609164420485
