round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,4.956727064876671,0.24838072669826225,0.014111503672928086,8.54988956451416,0.24601468744402652,0.006727251268735985,0.95,0.013359896870971522,0.5206132946155232,0.005461896068440333,0.7577885827480642,5.412640571594238,0.37807687643991755,0.04188923249929716,0.9293139293139293,0.08016499282639886,0.7107146441437331,0.05263453676214149,0.6384812339973771,0.4896778166294098,139872,0.26047823750671684,0.006501715730540003,0.9,0.012910166756320602,0.5206132946155232,0.005461896068440333,0.7429767693138843,0.4001455074572572,0.04327996118389132,0.9272349272349273,0.08269979603189319,0.7107146441437331,0.05263453676214149,0.6156872541060389
2,2.2373503938496833,0.6863428120063191,0.028573525454412017,3.144392728805542,0.8850528389754613,0.025591314462970142,0.55,0.04890700259355317,0.7747752716249475,0.01917151306257515,0.11313704303979831,2.0503766536712646,0.9310052140172184,0.2125984251968504,0.5051975051975052,0.29926108374384236,0.8384666798143349,0.16399387115931296,0.05620433397864235,0.999998927116394,139872,0.5814078452444922,0.009566326530612245,0.75,0.018891687657430732,0.7747752716249475,0.01917151306257515,0.41950297136682874,0.6559961198011398,0.06789815277084374,0.8482328482328483,0.12573189522342065,0.8384666798143349,0.16399387115931296,0.34977830512708424
3,7.177887654074105,0.4632069510268562,0.01746522858051644,6.040709495544434,0.6847572989432205,0.013361462728551337,0.7916666666666666,0.02627939142461964,0.7848717284951078,0.012973131417802819,0.3158202773275707,5.282704830169678,0.6923729841154359,0.06970207982012366,0.7733887733887734,0.12787899621863183,0.7684216553260454,0.06645516513814588,0.310060575782177,0.9999989867210388,139872,0.38773956654128605,0.008557545869896294,0.9833333333333333,0.01696743115968078,0.7848717284951078,0.012973131417802819,0.6154781199351702,0.37134715654177275,0.04281486961346403,0.9625779625779626,0.08198317839752103,0.7684216553260454,0.06645516513814588,0.6464122900143633
4,1.8621639031991666,0.7131753554502369,0.03558907893338999,1.7947417497634888,0.9817302525523912,0.19098712446351931,0.7416666666666667,0.3037542662116041,0.9362140959841526,0.15824256845073453,0.016972807491446064,1.3435364961624146,0.9834485267369952,0.8058823529411765,0.5696465696465697,0.6674786845310596,0.8754156738294626,0.5540758290830256,0.004121651158433773,0.9999989867210388,139872,0.6380082392978685,0.013916015625,0.95,0.02743022136669875,0.9362140959841526,0.15824256845073453,0.3636772915541149,0.649023887474233,0.06803385416666667,0.8690228690228691,0.12618867924528301,0.8754156738294626,0.5540758290830256,0.3575844626241179
5,1.0801629880630228,0.7875592417061611,0.04752629528632645,0.926082968711853,0.9964176965789002,0.75,0.5,0.6,0.8673386007563479,0.4162507118538496,0.0009004141905276427,1.3006561994552612,0.9846610888808052,0.8931034482758621,0.5384615384615384,0.6718547341115434,0.8579378657127987,0.5936464308776312,0.0019359270592643478,0.9999989867210388,139872,0.7290883037793301,0.014412053717654767,0.7333333333333333,0.028268551236749116,0.8673386007563479,0.4162507118538496,0.2709346299297677,0.6178004122711289,0.0618510158013544,0.8544698544698545,0.11535223126578725,0.8579378657127987,0.5936464308776312,0.3893086866920627
6,0.781339471456576,0.8542101105845181,0.06928546215521154,0.49741363525390625,0.996999820884829,0.8732394366197183,0.5166666666666667,0.6492146596858639,0.8551831967705146,0.5175495627725915,0.0004051863857374392,1.3075121641159058,0.9859342791318055,0.878419452887538,0.6008316008316008,0.7135802469135802,0.8611937961528919,0.6115554918538093,0.002497970399050771,0.9999989867210388,139872,0.8184219953430055,0.019301246029806988,0.6583333333333333,0.03750296700688346,0.8551831967705146,0.5175495627725915,0.18071312803889789,0.6270158845640839,0.062220163656013586,0.8378378378378378,0.11583788444955447,0.8611937961528919,0.6115554918538093,0.37931680509585963
7,0.7811298042790119,0.8381990521327014,0.062345509475418844,0.468843013048172,0.996999820884829,0.8732394366197183,0.5166666666666667,0.6492146596858639,0.8549770394381415,0.5328037358200661,0.0004051863857374392,1.3756012916564941,0.9758093852309931,0.5813492063492064,0.6091476091476091,0.5949238578680203,0.8494091274332329,0.5852858768188398,0.013176793854992819,0.9999654293060303,139872,0.8135858857245208,0.020175646807500593,0.7083333333333334,0.03923378721440111,0.8549770394381415,0.5328037358200661,0.18584548892490546,0.5809385230993088,0.05617667356797792,0.8461538461538461,0.10535852964017603,0.8494091274332329,0.5852858768188398,0.42702803971772935
8,0.49727106712249863,0.7943838862559242,0.05034475210681843,0.8412519097328186,0.9969550420920652,0.9482758620689655,0.4583333333333333,0.6179775280898876,0.8139037082057746,0.4687522899006635,0.0001350621285791464,2.2952001094818115,0.9593185400751788,0.3680555555555556,0.5509355509355509,0.4412989175686928,0.8187581607615331,0.24735526445700712,0.028414413289202523,0.9999989867210388,139872,0.7613738133619917,0.014538676607642124,0.65,0.0284412032816773,0.8139037082057746,0.4687522899006635,0.23802449126598235,0.4944828422456651,0.04766839378238342,0.8607068607068608,0.09033384246126991,0.8187581607615331,0.24735526445700712,0.5165178292637232
9,0.6191711447549513,0.8244549763033175,0.05894308943089431,0.6069679856300354,0.9970445996775927,0.8970588235294118,0.5083333333333333,0.648936170212766,0.8240571913080017,0.5345148189673838,0.00031514496668467497,2.2774102687835693,0.9414938765611738,0.2673076923076923,0.577962577962578,0.36554898093359633,0.8209365493447176,0.30805599188221916,0.04758633610191719,0.9999891519546509,139872,0.788420204191295,0.018002930709650408,0.7166666666666667,0.0351235450275679,0.8240571913080017,0.5345148189673838,0.2111921483882586,0.49478598278161756,0.04780004607233356,0.8627858627858628,0.09058168722034268,0.8209365493447176,0.30805599188221916,0.5162680322238181
10,0.4857671880368966,0.8664060031595576,0.07604479650368752,0.5901140570640564,0.9975819451907576,0.9583333333333334,0.575,0.71875,0.8259193604057866,0.6007357417639189,0.0001350621285791464,2.031313180923462,0.9347035285558385,0.2408695652173913,0.5758835758835759,0.3396689147762109,0.8270953966326478,0.2521160778239196,0.054518203959283085,0.9999923706054688,139872,0.8054809242342826,0.01912568306010929,0.7,0.03723404255319149,0.8259193604057866,0.6007357417639189,0.19394921663965425,0.5767551837031648,0.05491646124349493,0.8336798336798337,0.10304509829114737,0.8270953966326478,0.2521160778239196,0.4309623430962343
