round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,1.4338066425880363,0.5827093206951027,0.0239445727482679,0.8720601797103882,0.9972237148486477,0.967741935483871,0.5,0.6593406593406593,0.9261720391380034,0.5957914542876585,9.004141905276428e-05,0.7498456239700317,0.9778101127682793,0.9389312977099237,0.25571725571725573,0.4019607843137255,0.8307656214357021,0.5275197998644892,0.0004995940798101543,0.9926155805587769,163184,0.5120007164606842,0.010357986552789387,0.95,0.020492539996404817,0.9261720391380034,0.5957914542876585,0.49036556816135424,0.6148296350187947,0.05968806238752249,0.8274428274428275,0.11134424395020283,0.8307656214357021,0.5275197998644892,0.3915568600512084
2,0.7369981124540148,0.6353791469194313,0.029190939872552526,0.92286616563797,0.9976267239835214,0.9135802469135802,0.6166666666666667,0.736318407960199,0.8857935275226604,0.6372404612855284,0.00031514496668467497,0.7987706661224365,0.9825997332363283,0.9217391304347826,0.4407484407484408,0.5963431786216596,0.8514385985503203,0.6405530420735961,0.001124086679572847,0.9986045956611633,163184,0.6006627261329035,0.012522163120567377,0.9416666666666667,0.024715660542432197,0.8857935275226604,0.6372404612855284,0.4011795425895912,0.5709955135200679,0.05648957632817754,0.8731808731808732,0.10611419909044972,0.8514385985503203,0.6405530420735961,0.438081558733529
3,0.5543263414456445,0.6761532385466035,0.0332932493928462,0.9122515916824341,0.997537166397994,0.9012345679012346,0.6083333333333333,0.7263681592039801,0.8894040008403866,0.6247495634980995,0.0003601656762110571,0.8265988826751709,0.9827816175578998,0.933920704845815,0.4407484407484408,0.5988700564971752,0.853049101347359,0.6405308309115747,0.0009367388996440392,0.9997225403785706,163184,0.6387246999820885,0.011433489058273912,0.775,0.022534528713351102,0.8894040008403866,0.6247495634980995,0.36201152530163877,0.598156905541409,0.05897546276366767,0.8544698544698545,0.11033557046979865,0.853049101347359,0.6405308309115747,0.40954224692437396
4,0.43926705654837017,0.7203712480252764,0.03840825750373489,0.7241050004959106,0.997537166397994,0.9012345679012346,0.6083333333333333,0.7263681592039801,0.8960620010204694,0.6457859301971318,0.0003601656762110571,0.817177951335907,0.9836910391657573,0.9380165289256198,0.47193347193347196,0.627939142461964,0.8511773762819788,0.6400512942711951,0.0009367388996440392,0.9995388984680176,163184,0.6797868529464446,0.012886240820285437,0.775,0.025350960883194766,0.8960620010204694,0.6457859301971318,0.32072753466594633,0.5812416636352613,0.056827586206896555,0.8565488565488566,0.10658388306816712,0.8511773762819788,0.6400512942711951,0.42702803971772935
5,0.37996510915592857,0.7416034755134281,0.04143346910071204,0.7479400038719177,0.9974923876052302,0.8809523809523809,0.6166666666666667,0.7254901960784313,0.8757486568821657,0.5788917449843738,0.00045020709526382135,0.9787531495094299,0.9844185764520431,0.8708609271523179,0.5467775467775468,0.6717752234993615,0.8469701657424132,0.6130703716791708,0.002435521139074502,0.9986063838005066,163184,0.680951101558302,0.012661750382635313,0.7583333333333333,0.024907622827425757,0.8757486568821657,0.5788917449843738,0.3194669547992076,0.5946404753243604,0.05811138014527845,0.8482328482328483,0.10877099440149293,0.8469701657424132,0.6130703716791708,0.41297695622306874
6,0.2824477602810337,0.7718246445497631,0.04666512656347975,0.6332865953445435,0.9974923876052302,0.8902439024390244,0.6083333333333333,0.7227722772277227,0.8766582628008883,0.5865000178316121,0.0004051863857374392,1.0135715007781982,0.9840548078089002,0.8920863309352518,0.5155925155925156,0.6534914361001317,0.8469081059788609,0.6258677249677763,0.0018734777992880783,0.9995960593223572,163184,0.7036987282822855,0.013479107383555488,0.75,0.026482271590407534,0.8766582628008883,0.5865000178316121,0.29655141365027915,0.5743906875227356,0.05667796610169491,0.8690228690228691,0.10641547861507128,0.8469081059788609,0.6258677249677763,0.4344595016549054
7,0.27200043142741587,0.7910347551342812,0.050737378449172914,0.5272902846336365,0.9974476088124664,0.8888888888888888,0.6,0.7164179104477612,0.8747748964523682,0.5911768058605001,0.0004051863857374392,1.0288786888122559,0.9844792045592337,0.89198606271777,0.5322245322245323,0.6666666666666666,0.8506448048382727,0.6368491097416584,0.0019359270592643478,0.9995679259300232,163184,0.7186996238581408,0.014037854889589906,0.7416666666666667,0.027554179566563468,0.8747748964523682,0.5911768058605001,0.28142445524941473,0.5146720019400994,0.05053763440860215,0.8794178794178794,0.09558242006552932,0.8506448048382727,0.6368491097416584,0.496284269031412
8,0.270874692623882,0.7065955766192733,0.03667107549469644,0.8906528949737549,0.9973580512269389,0.8426966292134831,0.625,0.7177033492822966,0.8894659043159854,0.6141860110157502,0.0006302899333693499,1.4571481943130493,0.9843579483448527,0.8679867986798679,0.5467775467775468,0.6709183673469388,0.8498223182229928,0.6353508344640699,0.002497970399050771,0.9999347925186157,163184,0.6753985312555973,0.012580336387255572,0.7666666666666667,0.02475447329476658,0.8894659043159854,0.6141860110157502,0.3250945434900054,0.4024493755304959,0.04228102724343326,0.9002079002079002,0.08076851333706397,0.8498223182229928,0.6353508344640699,0.6125023418472492
9,0.2356440942751821,0.7868799368088467,0.049797499559781654,0.5930435061454773,0.9974476088124664,0.8888888888888888,0.6,0.7164179104477612,0.8779557971666967,0.6294691025958729,0.0004051863857374392,1.1628774404525757,0.9842366921304717,0.9299610894941635,0.4968814968814969,0.6476964769647696,0.854278416977474,0.645666893692661,0.001124086679572847,0.9999785423278809,163184,0.7176249328318108,0.014442700156985872,0.7666666666666667,0.02835130970724191,0.8779557971666967,0.6294691025958729,0.28264001440662706,0.5447435431065842,0.05292620865139949,0.8648648648648649,0.09974823162690324,0.854278416977474,0.645666893692661,0.4648722912633485
10,0.2492827587709471,0.8134913112164297,0.05650123871173979,0.5796343684196472,0.9974923876052302,0.8902439024390244,0.6083333333333333,0.7227722772277227,0.8506051533705504,0.5953456299755463,0.0004051863857374392,1.2192567586898804,0.9842366921304717,0.8904593639575972,0.5239085239085239,0.6596858638743456,0.8511718584159726,0.6311277792862481,0.0019359270592643478,0.999962329864502,163184,0.742924950743328,0.015848406546080964,0.7666666666666667,0.031054852320675105,0.8506051533705504,0.5953456299755463,0.25720331352422116,0.5594761731538741,0.05461467769463043,0.8648648648648649,0.1027414176339837,0.8511718584159726,0.6311277792862481,0.4496971210891151
