round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6917729917913675,0.6321614583333334,0.2270861833105335,0.6919543147087097,0.7785433800103727,0.02046479361775928,0.26339285714285715,0.03797875764402961,0.4302627312697097,0.015015553782288436,0.21276275145031268,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49993956089019775,3734640,0.7946210268948656,0.0188821752265861,0.22321428571428573,0.034818941504178275,0.4302627312697097,0.015015553782288436,0.19573570406087545,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6906273365020752,0.736328125,0.19322709163346613,0.6911460757255554,0.8763428910128177,0.02183984116479153,0.14732142857142858,0.03804034582132565,0.42602177756132215,0.015292280498784033,0.11135387629021322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500067412853241,3734640,0.8660443061421057,0.021160822249093107,0.15625,0.03727369542066028,0.42602177756132215,0.015292280498784033,0.12197694567919837,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6898152194917202,0.8017578125,0.16689466484268126,0.6898275017738342,0.7352745054456545,0.021434695627322094,0.33482142857142855,0.040290088638195005,0.4421084088536341,0.01622858322254834,0.25796730204173884,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4988240897655487,3734640,0.9255390086685931,0.0173053152039555,0.0625,0.027105517909002903,0.4421084088536341,0.01622858322254834,0.05989602953363972,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6888976972550154,0.8170572916666666,0.14067278287461774,0.688347339630127,0.9083500037045269,0.02530459231490159,0.12053571428571429,0.041828040278853604,0.44775258715329724,0.016597963662626593,0.07835455435847209,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.499282568693161,3734640,0.9479884418759724,0.014227642276422764,0.03125,0.019553072625698324,0.44775258715329724,0.016597963662626593,0.03654034506140285,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6879732739180326,0.8258463541666666,0.12438625204582651,0.6868391036987305,0.9136845224864785,0.025227043390514632,0.11160714285714286,0.0411522633744856,0.4468299972554381,0.016512310034265974,0.07277932645219619,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4988744556903839,3734640,0.9623620063717864,0.010344827586206896,0.013392857142857142,0.011673151750972763,0.4468299972554381,0.016512310034265974,0.0216228433662322,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6871231161057949,0.8304036458333334,0.11243611584327087,0.6853544116020203,0.9222049344298733,0.02528735632183908,0.09821428571428571,0.04021937842778794,0.44244475223601076,0.01619952563301595,0.0638890981692157,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4985845983028412,3734640,0.9672519819219085,0.009009009009009009,0.008928571428571428,0.008968609865470852,0.44244475223601076,0.01619952563301595,0.01657500188352294,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6860364060848951,0.8343098958333334,0.10229276895943562,0.6838955879211426,0.8986441431429206,0.023333333333333334,0.125,0.03932584269662921,0.4352300185123397,0.015724609926508322,0.08829955548858585,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4977583587169647,3734640,0.9699933318515226,0.0,0.0,0.0,0.4352300185123397,0.015724609926508322,0.013636706095080237,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6852818410843611,0.8362630208333334,0.08378870673952642,0.6824656128883362,0.8258872342001926,0.01987353206865402,0.19642857142857142,0.03609515996718622,0.4265784258591555,0.015229068462013893,0.1634897913056581,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49633410573005676,3734640,0.9712528710083722,0.0,0.0,0.0,0.4265784258591555,0.015229068462013893,0.01235591049498983,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.684412993490696,0.8382161458333334,0.08133086876155268,0.6810335516929626,0.7757279395421205,0.018550326348333906,0.24107142857142858,0.03444976076555024,0.41677115734412506,0.01473947372331718,0.21524900173284112,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4952407777309418,3734640,0.9726605912424984,0.0,0.0,0.0,0.41677115734412506,0.01473947372331718,0.010924433059594665,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6832362581044436,0.8391927083333334,0.0749063670411985,0.6795996427536011,0.8103282210861673,0.018151815181518153,0.19642857142857142,0.03323262839879154,0.407703676098632,0.014308293206879739,0.17931138401265728,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4950297474861145,3734640,0.9742164925539009,0.0,0.0,0.0,0.407703676098632,0.014308293206879739,0.009342273788894748,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
