round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6909904088824987,0.66015625,0.17535545023696683,0.6918036937713623,0.7816551826331778,0.020429728777738642,0.25892857142857145,0.03787136793992817,0.413626346718903,0.014757549330317584,0.20952309199126046,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4998960793018341,3734640,0.8078832333111061,0.01947261663286004,0.21428571428571427,0.03570100409074005,0.413626346718903,0.014757549330317584,0.18209899796579523,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6894048154354095,0.7887369791666666,0.1471747700394218,0.6908319592475891,0.8459657701711492,0.021660649819494584,0.1875,0.038834951456310676,0.40934519997632146,0.014982067490463649,0.14292172078655918,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49975913763046265,3734640,0.8873082907312736,0.01927353595255745,0.11607142857142858,0.03305785123966942,0.40934519997632146,0.014982067490463649,0.09967603405409478,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6881967261433601,0.8531901041666666,0.13766730401529637,0.6893271803855896,0.8969400607542417,0.025223759153783564,0.13839285714285715,0.042670337233310394,0.42446770296305064,0.01581577832235436,0.09025841934754765,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4994252920150757,3734640,0.9383566718530044,0.01592356687898089,0.044642857142857144,0.023474178403755867,0.42446770296305064,0.01581577832235436,0.04656068710916899,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.687120633199811,0.8694661458333334,0.11479028697571744,0.6876600980758667,0.905979106468104,0.027149321266968326,0.13392857142857142,0.045146726862302484,0.4312510762988236,0.01617192401997373,0.08099148647630529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49890175461769104,3734640,0.9576943024375787,0.0028653295128939827,0.004464285714285714,0.0034904013961605585,0.4312510762988236,0.01617192401997373,0.0262186393430272,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6857664976269007,0.8785807291666666,0.11401425178147269,0.6859623193740845,0.8939023486700748,0.025157232704402517,0.14285714285714285,0.0427807486631016,0.42803815613867036,0.01591162350178435,0.09342273788894749,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4981786906719208,3734640,0.9682151589242054,0.0,0.0,0.0,0.42803815613867036,0.01591162350178435,0.015444888118737286,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6840240024030209,0.8837890625,0.09620253164556962,0.6842728853225708,0.8694524709194635,0.021766169154228857,0.15625,0.03820960698689956,0.4184120085350497,0.015340104658388639,0.11851126346718903,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49729105830192566,3734640,0.9721419574720308,0.0,0.0,0.0,0.4184120085350497,0.015340104658388639,0.011451819483161305,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6831174176186323,0.8880208333333334,0.08994708994708994,0.6826311349868774,0.8241831518115137,0.01923937360178971,0.19196428571428573,0.03497356649044327,0.40638705992831853,0.014653062047464947,0.1651472914940104,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4961746335029602,3734640,0.9742164925539009,0.0,0.0,0.0,0.40638705992831853,0.014653062047464947,0.009342273788894748,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6820273529738188,0.888671875,0.08064516129032258,0.680998682975769,0.8293694895161888,0.019417475728155338,0.1875,0.03519061583577713,0.39210575174091333,0.013961413165526772,0.15979808634069162,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49557313323020935,3734640,0.975994665481218,0.0,0.0,0.0,0.39210575174091333,0.013961413165526772,0.0075340917652377,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6806538160890341,0.8916015625,0.07756232686980609,0.6793624758720398,0.7958805660517152,0.017904761904761906,0.20982142857142858,0.032994032994032994,0.3775195482773837,0.013399091105401642,0.19422888570782793,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49453917145729065,3734640,0.9776246573312588,0.0,0.0,0.0,0.3775195482773837,0.013399091105401642,0.005876591576885406,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6794390343129635,0.892578125,0.07303370786516854,0.6777263879776001,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.36246095053330607,0.012894113341331285,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.38215094804763794,3734640,0.9782914721790027,0.0,0.0,0.0,0.36246095053330607,0.012894113341331285,0.005198523318014014,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
