round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.690534571185708,0.6748046875,0.16120906801007556,0.6917853951454163,0.7857301622582796,0.020833333333333332,0.25892857142857145,0.03856382978723404,0.4077923025798883,0.014763094937487377,0.2053793415203797,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999057352542877,3734640,0.8091427724679559,0.02,0.21875,0.03664921465968586,0.4077923025798883,0.014763094937487377,0.1808935432833572,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6891173217445612,0.806640625,0.1416184971098266,0.6907682418823242,0.8412239756983033,0.022399203583872575,0.20089285714285715,0.040304523063143756,0.4016585764871759,0.01495403931611317,0.14796956226926844,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4997074007987976,3734640,0.8925687189745869,0.02034428794992175,0.11607142857142858,0.03462050599201065,0.4016585764871759,0.01495403931611317,0.09432682890077601,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6878875978291035,0.8671875,0.13191489361702127,0.6892126798629761,0.8916796325109283,0.02530674846625767,0.14732142857142858,0.04319371727748691,0.4167619079011097,0.01574845295056688,0.09575830633617118,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49932143092155457,3734640,0.9413943839371712,0.017035775127768313,0.044642857142857144,0.02466091245376079,0.4167619079011097,0.01574845295056688,0.043471709485421534,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6864289715886116,0.884765625,0.13658536585365855,0.6874821782112122,0.8459657701711492,0.024114930733709596,0.20982142857142858,0.04325816843074091,0.4234556457254792,0.016026101766887,0.14329842537482107,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4982978403568268,3734640,0.9604356523671927,0.003205128205128205,0.004464285714285714,0.0037313432835820895,0.4234556457254792,0.016026101766887,0.02343102538988925,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6850722562521696,0.896484375,0.12154696132596685,0.6857213973999023,0.8881973771949322,0.02442635085122132,0.14732142857142858,0.0419047619047619,0.41912371113215874,0.01569111098876667,0.09929932946583289,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49796807765960693,3734640,0.9702896940060755,0.0,0.0,0.0,0.41912371113215874,0.01569111098876667,0.01333534242447073,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6835911236703396,0.9007161458333334,0.11594202898550725,0.683986485004425,0.8801955990220048,0.02196293754289636,0.14285714285714285,0.0380725758477097,0.4084352229553013,0.01505681370484761,0.10736080765463724,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4972321093082428,3734640,0.9738460398607098,0.0,0.0,0.0,0.4084352229553013,0.01505681370484761,0.009718978377156634,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6820930391550064,0.9020182291666666,0.10149253731343283,0.6822656393051147,0.8464844039416166,0.020249221183800622,0.17410714285714285,0.03627906976744186,0.39470938586389126,0.014337576979319332,0.1421683116100354,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49619951844215393,3734640,0.9760687560198562,0.0,0.0,0.0,0.39470938586389126,0.014337576979319332,0.007458750847585323,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6812665872275829,0.9046223958333334,0.10397553516819572,0.6805758476257324,0.7971401052085648,0.018021472392638037,0.20982142857142858,0.033192090395480225,0.37931360387898094,0.013687329152252506,0.1929480901077375,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4950084984302521,3734640,0.9775505667926205,0.0,0.0,0.0,0.37931360387898094,0.013687329152252506,0.005951932494537783,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6795718781650066,0.9069010416666666,0.0949367088607595,0.6788858771324158,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.36226755308843944,0.013119660575701221,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3842041790485382,3734640,0.9785137437949174,0.0,0.0,0.0,0.36226755308843944,0.013119660575701221,0.004972500565056883,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6784412581473589,0.9065755208333334,0.07717041800643087,0.6771958470344543,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.34514145257289236,0.012661262315486185,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.368945449590683,3734640,0.9790323775653849,0.0,0.0,0.0,0.34514145257289236,0.012661262315486185,0.004445114141490243,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
