round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6903718169778585,0.6946614583333334,0.11842105263157894,0.6917129755020142,0.8112173075498259,0.0214168039538715,0.23214285714285715,0.0392156862745098,0.3963606636996696,0.014729893472126077,0.17901002034204777,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.499983549118042,3734640,0.814699562865822,0.020227560050568902,0.21428571428571427,0.036965729688101655,0.3963606636996696,0.014729893472126077,0.17516763354177653,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6887271143496037,0.8385416666666666,0.11428571428571428,0.6906219124794006,0.8289249462843595,0.02200825309491059,0.21428571428571427,0.03991683991683992,0.38091325300556444,0.014683569880133208,0.16070217735252015,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4995691776275635,3734640,0.9016077646884493,0.021663778162911613,0.11160714285714286,0.036284470246734396,0.38091325300556444,0.014683569880133208,0.08505989602953364,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6871830075979233,0.8958333333333334,0.1111111111111111,0.6889826655387878,0.8993109579906646,0.025898078529657476,0.13839285714285715,0.043631245601688955,0.3884017702424902,0.015200742582464928,0.08784750998267159,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4992772042751312,3734640,0.9458398162554642,0.017142857142857144,0.04017857142857143,0.02403204272363151,0.3884017702424902,0.015200742582464928,0.038875913508626535,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6855538170784712,0.9153645833333334,0.11564625850340136,0.6871635317802429,0.8181818181818182,0.022688356164383562,0.23660714285714285,0.04140625,0.39046860032719477,0.015293213183148092,0.17200331500037672,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4979417622089386,3734640,0.9642883603763799,0.011363636363636364,0.013392857142857142,0.012295081967213115,0.39046860032719477,0.015293213183148092,0.019663979507270397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6841490287333727,0.92578125,0.109375,0.6853152513504028,0.8183299992590947,0.02106620808254514,0.21875,0.038431372549019606,0.3846444783179602,0.014875103197017556,0.17155126949446245,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4971405267715454,3734640,0.9728087723197748,0.020134228187919462,0.013392857142857142,0.0160857908847185,0.3846444783179602,0.014875103197017556,0.010999773977247043,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6823475938290358,0.9293619791666666,0.0995850622406639,0.6834902763366699,0.8134400237089724,0.0200836820083682,0.21428571428571427,0.036725325172149964,0.3719083316291935,0.014176317191427212,0.17644842914186695,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49632880091667175,3734640,0.9758464844039416,0.027777777777777776,0.013392857142857142,0.018072289156626505,0.3719083316291935,0.014176317191427212,0.007910796353499585,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6809474695473909,0.9309895833333334,0.09401709401709402,0.6816869378089905,0.8218122545750908,0.018117543084401236,0.18303571428571427,0.03297145154804986,0.3539882925595462,0.013475085551402737,0.1674075190235817,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4956502616405487,3734640,0.9771801140994295,0.022727272727272728,0.008928571428571428,0.01282051282051282,0.3539882925595462,0.013475085551402737,0.006479318918104423,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6794194523245096,0.93359375,0.09734513274336283,0.6799015402793884,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.3341479009482192,0.01289024886164795,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3766055405139923,3734640,0.9786619248721938,0.015151515151515152,0.004464285714285714,0.006896551724137931,0.3341479009482192,0.01289024886164795,0.004897159647404506,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6778653040528297,0.9332682291666666,0.07239819004524888,0.6781243681907654,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.3141894528096781,0.012440352462800133,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.35846906900405884,3734640,0.9792546491812996,0.017241379310344827,0.004464285714285714,0.0070921985815602835,0.3141894528096781,0.012440352462800133,0.004294432306185489,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6759398374706507,0.9361979166666666,0.07547169811320754,0.676324188709259,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.2966471273584398,0.012130674938361846,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.34005436301231384,3734640,0.9794769207972142,0.01818181818181818,0.004464285714285714,0.007168458781362007,0.2966471273584398,0.012130674938361846,0.004068409553228358,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
