round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6894222926348448,0.7223307291666666,0.0857449088960343,0.6916552782058716,0.8366303623027339,0.021728633510381457,0.20089285714285715,0.0392156862745098,0.38925103728299126,0.014579949517546773,0.1526406991637158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500083327293396,3734640,0.8185522708750093,0.01985325852395339,0.20535714285714285,0.03620621802439984,0.38925103728299126,0.014579949517546773,0.17109922398854818,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6875693872570992,0.8626302083333334,0.0944206008583691,0.6904928684234619,0.8876787434244647,0.02148148148148148,0.12946428571428573,0.036848792884371026,0.36472050537611267,0.014292231311610238,0.09952535221879003,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4998306632041931,3734640,0.905979106468104,0.019319227230910764,0.09375,0.032036613272311214,0.36472050537611267,0.014292231311610238,0.08031341821743389,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.685828598216176,0.9205729166666666,0.10948905109489052,0.6887579560279846,0.8812328665629399,0.022176022176022176,0.14285714285714285,0.03839232153569286,0.3672957184832797,0.014612891331593506,0.10630603480750396,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4990324079990387,3734640,0.9497666148032896,0.014957264957264958,0.03125,0.02023121387283237,0.3672957184832797,0.014612891331593506,0.0347321630377458,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6838857587426901,0.9401041666666666,0.12380952380952381,0.6868287920951843,0.8764910720900941,0.023762376237623763,0.16071428571428573,0.041403105232892465,0.36829583553077677,0.014775243072957446,0.1114292172078656,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49818313121795654,3734640,0.9685115210787583,0.019138755980861243,0.017857142857142856,0.018475750577367205,0.36829583553077677,0.014775243072957446,0.015444888118737286,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6821709517389536,0.9485677083333334,0.12222222222222222,0.6848644614219666,0.8468548566348078,0.019801980198019802,0.16964285714285715,0.03546430237984134,0.3618187028446578,0.014424841899240225,0.14171626610412114,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49711376428604126,3734640,0.9748092168630066,0.02459016393442623,0.013392857142857142,0.017341040462427744,0.3618187028446578,0.014424841899240225,0.008965569200632864,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6803377997130156,0.9521484375,0.1301775147928994,0.6829238533973694,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.34788769628999794,0.013825831113385261,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.39809560775756836,3734640,0.9779951100244498,0.0379746835443038,0.013392857142857142,0.019801980198019802,0.34788769628999794,0.013825831113385261,0.005725909741580652,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6786138731986284,0.9537760416666666,0.10126582278481013,0.6809940934181213,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.3297056457254792,0.013257299046665564,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.37985697388648987,3734640,0.9791805586426613,0.03278688524590164,0.008928571428571428,0.014035087719298246,0.3297056457254792,0.013257299046665564,0.004445114141490243,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6770726572722197,0.9557291666666666,0.10526315789473684,0.6790900230407715,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.310691817976343,0.012799541249760453,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.36051470041275024,3734640,0.9798473734904053,0.038461538461538464,0.008928571428571428,0.014492753623188406,0.310691817976343,0.012799541249760453,0.00376704588261885,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6751309707760811,0.9576822916666666,0.1095890410958904,0.6771688461303711,0.01659628065496036,0.01659628065496036,1.0,0.03265068143721303,0.2929397824261928,0.012437000001710127,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.34058675169944763,3734640,0.980440097799511,0.045454545454545456,0.008928571428571428,0.014925373134328358,0.2929397824261928,0.012437000001710127,0.0031643185413998344,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6733869258314371,0.9580078125,0.0979020979020979,0.6752369999885559,0.9525079647329036,0.025056947608200455,0.049107142857142856,0.033182503770739065,0.2773549754603868,0.01214991885565406,0.032245912755217356,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4955710172653198,3734640,0.9803660072608728,0.023255813953488372,0.004464285714285714,0.00749063670411985,0.2773549754603868,0.01214991885565406,0.0031643185413998344,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
