round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6916497461497784,0.6350911458333334,0.23585548738922973,0.6919800639152527,0.7898169421181354,0.025386313465783666,0.26953125,0.04640215198386012,0.4457313956617813,0.017631629895708788,0.2001208733096623,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999905824661255,3734640,0.7922626547098496,0.024990675121223424,0.26171875,0.045624787197820905,0.4457313956617813,0.017631629895708788,0.19747676966079927,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6907950527966022,0.7154947916666666,0.19074074074074074,0.691230833530426,0.7791447417179278,0.022105263157894735,0.24609375,0.04056664520283323,0.4360550386700158,0.017460672826211984,0.21054619626803656,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.499656081199646,3734640,0.8552582820721856,0.021971830985915493,0.15234375,0.03840472673559823,0.4360550386700158,0.017460672826211984,0.13114754098360656,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6897691302001476,0.7926432291666666,0.18853503184713377,0.6899351477622986,0.7586896909508634,0.025015832805573148,0.30859375,0.046280023432923256,0.44665963539699327,0.018029566187169194,0.23260557528140818,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4989457428455353,3734640,0.9202549470095606,0.018779342723004695,0.0625,0.02888086642599278,0.44665963539699327,0.018029566187169194,0.06315630429855708,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6891518905758858,0.8098958333333334,0.1536231884057971,0.6884734034538269,0.7371970651448899,0.022634939059779455,0.3046875,0.04213938411669368,0.45080860584913496,0.01825514985751678,0.25443831683916296,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49818792939186096,3734640,0.9453049729489365,0.01606425702811245,0.03125,0.021220159151193633,0.45080860584913496,0.01825514985751678,0.0370174510840825,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.688145998865366,0.8225911458333334,0.12238325281803543,0.6869741678237915,0.7286741273252798,0.02217232669099074,0.30859375,0.04137208693375229,0.4504240894368059,0.0181861691924331,0.2632016317896804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4974701404571533,3734640,0.9582746609352998,0.018808777429467086,0.0234375,0.020869565217391306,0.4504240894368059,0.0181861691924331,0.023645841202689432,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6871997695416212,0.828125,0.09897610921501707,0.6855060458183289,0.7253390647002149,0.02189578713968958,0.30859375,0.04089026915113872,0.44632513857936085,0.017835877017471264,0.2666011936239329,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4967745244503021,3734640,0.9647224486770918,0.0045045045045045045,0.00390625,0.0041841004184100415,0.44632513857936085,0.017835877017471264,0.016695625897106596,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.686275415122509,0.8317057291666666,0.08495575221238938,0.6840502023696899,0.7002149262580597,0.02122820318423048,0.328125,0.039876572513648234,0.43924552154944474,0.01733052433799034,0.2925889552013296,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49597907066345215,3734640,0.9672422737715852,0.0,0.0,0.0,0.43924552154944474,0.01733052433799034,0.01405152224824356,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6852869354188442,0.8330078125,0.06557377049180328,0.6826334595680237,0.7171866893945008,0.02099031216361679,0.3046875,0.03927492447129909,0.43082260543363304,0.01680627645973458,0.2748356878446778,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4954180121421814,3734640,0.9683539613132736,0.0,0.0,0.0,0.43082260543363304,0.01680627645973458,0.012918334970159403,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6843336503952742,0.8346354166666666,0.06273062730627306,0.6812266111373901,0.7240791521529683,0.020735416090682888,0.29296875,0.038729666924864445,0.4221597723237894,0.01632712146115114,0.2675832892649392,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4948222041130066,3734640,0.9701326613799748,0.0,0.0,0.0,0.4221597723237894,0.01632712146115114,0.01110523532522475,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6834683902561665,0.8336588541666666,0.05194805194805195,0.6798095107078552,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.4132002153055828,0.01588583253114948,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.41130611300468445,3734640,0.9713184614244423,0.0,0.0,0.0,0.4132002153055828,0.01588583253114948,0.009896502228601648,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
