round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6909686420112848,0.6630859375,0.18181818181818182,0.6918628215789795,0.8040465426517454,0.02656621728786677,0.26171875,0.0482361411087113,0.43174199214323483,0.017387029791887047,0.1854649845131072,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49999433755874634,3734640,0.8063440302379011,0.026516673362796304,0.2578125,0.048087431693989074,0.43174199214323483,0.017387029791887047,0.183047518319861,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6897644642740488,0.7669270833333334,0.13734939759036144,0.6909664869308472,0.8446601941747572,0.024793388429752067,0.1875,0.043795620437956206,0.42050396143385965,0.01722098197315622,0.14263050540152603,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49982815980911255,3734640,0.8763803453642629,0.023616734143049933,0.13671875,0.04027617951668585,0.42050396143385965,0.01722098197315622,0.10931479942585177,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.688596585765481,0.8444010416666666,0.13405797101449277,0.6895192861557007,0.7022159638330986,0.0223463687150838,0.34375,0.04196471149260849,0.4331286710546196,0.017634780116125376,0.29085140137493387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49855008721351624,3734640,0.9311494849181057,0.01443001443001443,0.0390625,0.02107481559536354,0.4331286710546196,0.017634780116125376,0.05159779406209866,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6870900299400091,0.8639322916666666,0.11063829787234042,0.687881588935852,0.7783295041873564,0.02268760907504363,0.25390625,0.041653316244793334,0.43869309275137874,0.01775062553150165,0.21152829190904285,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.498079389333725,3734640,0.9531608982435337,0.005263157894736842,0.0078125,0.006289308176100629,0.43869309275137874,0.01775062553150165,0.028556319407720784,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6859413422644138,0.8714192708333334,0.07925407925407925,0.6862108707427979,0.6624175498406581,0.021162842503898417,0.37109375,0.040042149631190724,0.4354105384056055,0.017415983355046356,0.33194832666011936,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4968118667602539,3734640,0.9636848736381828,0.0,0.0,0.0,0.4354105384056055,0.017415983355046356,0.017677721538112867,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6848976593464613,0.87890625,0.08374384236453201,0.6845700740814209,0.6581931371822426,0.01984126984126984,0.3515625,0.037562604340567615,0.42673486840862734,0.016869212933156647,0.3358767092241444,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49600154161453247,3734640,0.9693915363521826,0.0,0.0,0.0,0.42673486840862734,0.016869212933156647,0.011860693510614188,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6835086699575186,0.8818359375,0.07633587786259542,0.6829360127449036,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.4146895893140439,0.01625217564818195,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.42681169509887695,3734640,0.9712443489216631,0.0,0.0,0.0,0.4146895893140439,0.01625217564818195,0.00997204804714059,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6824405826628208,0.8837890625,0.05804749340369393,0.681334376335144,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.4006849881015336,0.015623590527657502,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.415607750415802,3734640,0.9729489364855851,0.0,0.0,0.0,0.4006849881015336,0.015623590527657502,0.008234494220744883,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6814647633582354,0.8854166666666666,0.053763440860215055,0.6797428131103516,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.38604798575961324,0.015029418410582012,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4041614234447479,3734640,0.9744311865411694,0.0,0.0,0.0,0.38604798575961324,0.015029418410582012,0.006723577849966004,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6801080349832773,0.88671875,0.04918032786885246,0.6781472563743591,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.37088349064176174,0.014484226071145067,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.39219555258750916,3734640,0.9754687615800786,0.0,0.0,0.0,0.37088349064176174,0.014484226071145067,0.00566593639042079,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
