round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6908655047416687,0.6826171875,0.1630901287553648,0.6918370127677917,0.8124953679685764,0.027038269550748752,0.25390625,0.04887218045112782,0.42609405690488783,0.01732848606484986,0.1767016695625897,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000302791595459,3734640,0.8071592677684726,0.026634382566585957,0.2578125,0.048280907095830286,0.42609405690488783,0.01732848606484986,0.1822165143159326,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6895312424216952,0.7877604166666666,0.12129380053908356,0.6908930540084839,0.8376936189135107,0.02504911591355599,0.19921875,0.04450261780104712,0.4127951893839238,0.01707445932504724,0.14995844979980358,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49974727630615234,3734640,0.8844586081671978,0.02271062271062271,0.12109375,0.03824799506477483,0.4127951893839238,0.01707445932504724,0.10077812193095112,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6881201305559703,0.859375,0.1037344398340249,0.6893969774246216,0.8413251315496925,0.024230186774356385,0.1875,0.042914617791685296,0.4244683463020322,0.01751212992669821,0.1460300672357785,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4990619122982025,3734640,0.935670347587638,0.011182108626198083,0.02734375,0.015873015873015872,0.4244683463020322,0.01751212992669821,0.046762861675606254,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6868855037859508,0.8844401041666666,0.07792207792207792,0.6877201795578003,0.7985622174460831,0.022127329192546584,0.22265625,0.04025423728813559,0.4308143426097303,0.017552534419753817,0.1902999168995996,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.498078852891922,3734640,0.9564218483658193,0.005952380952380952,0.0078125,0.006756756756756757,0.4308143426097303,0.017552534419753817,0.025232303392007254,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6854817931141173,0.8932291666666666,0.05202312138728324,0.6860074996948242,0.6664196249907359,0.020555681048113845,0.35546875,0.03886397608370702,0.42667274967893026,0.017197883691091348,0.3275666691848606,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49671944975852966,3734640,0.9670940487660268,0.0,0.0,0.0,0.42667274967893026,0.017197883691091348,0.014202613885321447,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6840799604143415,0.8990885416666666,0.043209876543209874,0.6843152046203613,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.4176043004457203,0.016679538900863187,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4300084412097931,3734640,0.9707255614022086,0.0,0.0,0.0,0.4176043004457203,0.016679538900863187,0.010500868776913199,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6828117915562222,0.9046223958333334,0.033003300330033,0.6826490759849548,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.4050753510519755,0.0160534686413285,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.41865846514701843,3734640,0.9723560364633513,0.0,0.0,0.0,0.4050753510519755,0.0160534686413285,0.008838860769056434,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6814624611820493,0.9059244791666666,0.033444816053511704,0.68099045753479,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.39079601094470046,0.01542299958847338,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4066846966743469,3734640,0.9742088490328319,0.0,0.0,0.0,0.39079601094470046,0.01542299958847338,0.006950215305582836,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6802514565842492,0.9072265625,0.027303754266211604,0.6793510317802429,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.3753436449440961,0.014821681820030512,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.39457401633262634,3734640,0.9753946490772993,0.0,0.0,0.0,0.3753436449440961,0.014821681820030512,0.005741482208959734,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6788551015513284,0.9072265625,0.020618556701030927,0.6777042746543884,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.3598433250547708,0.01431064742631285,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3826199769973755,3734640,0.9763581116134292,0.0,0.0,0.0,0.3598433250547708,0.01431064742631285,0.004759386567953464,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
