round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6899120603288923,0.6979166666666666,0.08661417322834646,0.6917221546173096,0.8038983176461869,0.026920031670625493,0.265625,0.04888569374550683,0.415659438269623,0.017142361969096978,0.18569162196872402,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49994957447052,3734640,0.8147187430519529,0.02497883149872989,0.23046875,0.04507257448433919,0.415659438269623,0.017142361969096978,0.17398202009518773,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6883916944265366,0.8317057291666666,0.06170598911070781,0.6906516551971436,0.8227228933521085,0.02406417112299465,0.2109375,0.0432,0.3941663577944398,0.016595415339901505,0.16544534260028707,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4995597302913666,3734640,0.8969836211368858,0.022727272727272728,0.10546875,0.037396121883656507,0.3941663577944398,0.016595415339901505,0.08770869532371384,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6864478149584361,0.9020182291666666,0.06811145510835913,0.6890206336975098,0.8668198325057437,0.025846153846153845,0.1640625,0.044657097288676235,0.3977537513220518,0.01669420434090894,0.11958903074714815,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4990364909172058,3734640,0.9425628103461053,0.005714285714285714,0.01171875,0.0076824583866837385,0.3977537513220518,0.01669420434090894,0.0394349172773287,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6848887520177023,0.9235026041666666,0.05622489959839357,0.6871915459632874,0.8708960201586008,0.023106546854942234,0.140625,0.03969128996692393,0.39819728790511444,0.01644386341751762,0.11498073581627256,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4982836842536926,3734640,0.963091973615949,0.0,0.0,0.0,0.39819728790511444,0.01644386341751762,0.018282088086424418,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6834425913436072,0.9313151041666666,0.053811659192825115,0.6853282451629639,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.39074495849701596,0.015931212071211898,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4292985200881958,3734640,0.9705773363966501,0.0,0.0,0.0,0.39074495849701596,0.015931212071211898,0.010651960413991086,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6816880596535546,0.9352213541666666,0.04784688995215311,0.6834785342216492,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.3766121359635869,0.015294387736392807,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4162580072879791,3734640,0.9735418365078189,0.0,0.0,0.0,0.3766121359635869,0.015294387736392807,0.007630127672433331,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6800809890031815,0.9391276041666666,0.050761421319796954,0.6816592812538147,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.3584573838955202,0.01461995748109889,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.40225750207901,3734640,0.975616986585637,0.0,0.0,0.0,0.3584573838955202,0.01461995748109889,0.0055148447533429025,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6780952317374094,0.9404296875,0.041884816753926704,0.6798413991928101,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.3383105535147692,0.013995803733780433,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3869074285030365,3734640,0.9768027866301044,0.0,0.0,0.0,0.3383105535147692,0.013995803733780433,0.0043061116567198006,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6767396718263626,0.9410807291666666,0.042328042328042326,0.6780248284339905,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.31856594559756746,0.013532235259724218,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3712385296821594,3734640,0.9771733491440006,0.0,0.0,0.0,0.31856594559756746,0.013532235259724218,0.003928382564025081,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6752901600939887,0.9417317708333334,0.0427807486631016,0.6762123107910156,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.30056420332212735,0.013192505719347639,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.35524290800094604,3734640,0.9777662491662343,0.0,0.0,0.0,0.30056420332212735,0.013192505719347639,0.0033240160157135303,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
