round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6898176895720618,0.6949869791666666,0.07135777998017839,0.6917046308517456,0.8216112058104202,0.02766798418972332,0.24609375,0.049743387287801026,0.4141945576320163,0.017206696471157957,0.16725844224522174,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000186562538147,3734640,0.8174609056547839,0.02700385769395628,0.24609375,0.04866743916570104,0.4141945576320163,0.017206696471157957,0.1714890080834026,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.688211059144565,0.8375651041666666,0.07421150278293136,0.6906638145446777,0.8384347439413029,0.024703557312252964,0.1953125,0.043859649122807015,0.38866405482737776,0.016558994498463795,0.1491274457958752,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49962928891181946,3734640,0.8969095086341066,0.023509655751469353,0.109375,0.038700760193503804,0.38866405482737776,0.016558994498463795,0.08785978696079172,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6865200570651463,0.912109375,0.09395973154362416,0.6890618801116943,0.8630400948640036,0.02562574493444577,0.16796875,0.04446742502585315,0.3889113493427514,0.016515943397409263,0.12351741331117323,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49900805950164795,3734640,0.9441932854072482,0.011787819253438114,0.0234375,0.01568627450980392,0.3889113493427514,0.016515943397409263,0.03799954672508877,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6850226070199694,0.9329427083333334,0.08035714285714286,0.6872573494911194,0.8793448454754317,0.02361111111111111,0.1328125,0.04009433962264151,0.38838356146596664,0.016296520954174144,0.10621742086575509,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4983496367931366,3734640,0.9640554361520789,0.008583690987124463,0.0078125,0.0081799591002045,0.38838356146596664,0.016296520954174144,0.017451084082496033,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.682931467464992,0.9427083333333334,0.07368421052631578,0.6854040622711182,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.38005684822845054,0.01580806918861307,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.419731080532074,3734640,0.9716149114355592,0.015267175572519083,0.0078125,0.0103359173126615,0.38005684822845054,0.01580806918861307,0.00974541059152376,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6815513453313282,0.9446614583333334,0.05555555555555555,0.6835639476776123,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.3643629421791191,0.015150619450891616,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.40522322058677673,3734640,0.9740606240272734,0.02040816326530612,0.0078125,0.011299435028248588,0.3643629421791191,0.015150619450891616,0.0072523985797386115,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.679806142619678,0.9475911458333334,0.05847953216374269,0.6817497611045837,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.34470391350948093,0.014511636258751178,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.38971632719039917,3734640,0.9758393240939747,0.013888888888888888,0.00390625,0.006097560975609756,0.34470391350948093,0.014511636258751178,0.005363753116265015,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6779054645981107,0.9485677083333334,0.04819277108433735,0.6799355745315552,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.32424885028707406,0.01401283950737452,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.372955858707428,3734640,0.9767286741273252,0.016666666666666666,0.00390625,0.006329113924050633,0.32424885028707406,0.01401283950737452,0.004457203293797688,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.676304845724787,0.94921875,0.04878048780487805,0.6781102418899536,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.30449686484853067,0.013670673209256164,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.35573166608810425,3734640,0.9773956866523382,0.0196078431372549,0.00390625,0.006514657980456026,0.30449686484853067,0.013670673209256164,0.0037772909269471935,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6749074561255319,0.9488932291666666,0.024844720496894408,0.6762798428535461,0.018972800711480026,0.018972800711480026,1.0,0.037239071932504184,0.287384704096472,0.01346183975201216,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3385615944862366,3734640,0.9777662491662343,0.021739130434782608,0.00390625,0.006622516556291391,0.287384704096472,0.01346183975201216,0.003399561834252474,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
