round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6914427950978279,0.6292134831460674,0.24714828897338403,0.6920382380485535,0.8016896398399288,0.02588235294117647,0.2558139534883721,0.04700854700854701,0.4459507896012988,0.017937316931002038,0.18766999093381687,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000538229942322,3734640,0.7867200237142433,0.02467343976777939,0.26356589147286824,0.0451227604512276,0.4459507896012988,0.017937316931002038,0.20308250226654578,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6902358159422874,0.7125468164794008,0.18997361477572558,0.6912662982940674,0.8128056914184082,0.023529411764705882,0.21705426356589147,0.04245640636846096,0.4386492324199212,0.0179175152225061,0.17558174675128438,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4998031556606293,3734640,0.8547502593745369,0.021372328458942633,0.14728682170542637,0.03732809430255403,0.4386492324199212,0.0179175152225061,0.1314596554850408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6895533334463835,0.7874531835205992,0.18050541516245489,0.6899548172950745,0.7563361493997333,0.025078369905956112,0.31007751937984496,0.04640371229698376,0.44785831921866837,0.01854937974331524,0.23496524629797522,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49896347522735596,3734640,0.9204090706980881,0.018867924528301886,0.06201550387596899,0.028933092224231464,0.44785831921866837,0.01854937974331524,0.06285886974916893,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6883806847035885,0.8136704119850188,0.14224137931034483,0.6884474754333496,0.7601897139469393,0.02488832163369496,0.3023255813953488,0.045990566037735846,0.4546157882776829,0.018952565567175644,0.23088546388637052,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4982730448246002,3734640,0.9464947384022528,0.02066115702479339,0.03875968992248062,0.026954177897574125,0.4546157882776829,0.018952565567175644,0.035811423390752495,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6875516399741173,0.8216292134831461,0.10352941176470588,0.6869352459907532,0.7898325181562176,0.024354243542435424,0.2558139534883721,0.0444743935309973,0.45583281208637005,0.018862771875184967,0.19975823511634935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49775463342666626,3734640,0.9592411442122425,0.006756756756756757,0.007751937984496124,0.007220216606498195,0.45583281208637005,0.018862771875184967,0.022212148685403447,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6867783926427364,0.8258426966292135,0.08374384236453201,0.6854755282402039,0.7938342967244701,0.024849397590361446,0.2558139534883721,0.045298558682223745,0.4541572080841304,0.01857692348038583,0.19567845270474463,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4971686899662018,3734640,0.9653179190751445,0.0,0.0,0.0,0.4541572080841304,0.01857692348038583,0.01586582048957389,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6856805384159088,0.8277153558052435,0.07537688442211055,0.6840654611587524,0.7511486586631095,0.02219482120838471,0.27906976744186046,0.041119360365505425,0.4483239274611642,0.01804396095072572,0.23964944091870655,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4962817132472992,3734640,0.9675411293908404,0.0,0.0,0.0,0.4483239274611642,0.01804396095072572,0.013599274705349048,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6845922004431486,0.8309925093632958,0.07197943444730077,0.6826426386833191,0.7604861419890322,0.0224791265253693,0.2713178294573643,0.04151838671411625,0.43968586963906287,0.017451160993568835,0.22997884557268056,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4957141578197479,3734640,0.9682821994960723,0.0,0.0,0.0,0.43968586963906287,0.017451160993568835,0.012843759443940768,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6837743669748306,0.8319288389513109,0.06266318537859007,0.6812489628791809,0.7630057803468208,0.022106631989596878,0.26356589147286824,0.04079184163167367,0.43140858499605256,0.016949320622186632,0.22725899063161076,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4951459467411041,3734640,0.9703571957907218,0.0,0.0,0.0,0.43140858499605256,0.016949320622186632,0.010728316711997582,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6826744377613068,0.8319288389513109,0.05774278215223097,0.6798487305641174,0.7052023121387283,0.020123839009287926,0.3023255813953488,0.03773584905660377,0.42030953870229415,0.016400097281936636,0.2869446962828649,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4940919280052185,3734640,0.9710982658959537,0.0,0.0,0.0,0.42030953870229415,0.016400097281936636,0.009972801450589302,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
