round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6908128913491964,0.6650390625,0.16273393002441008,0.6918322443962097,0.8156217578182896,0.02714164546225615,0.24806201550387597,0.04892966360856269,0.4329365999704822,0.017713844439217252,0.17331520096705955,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000295042991638,3734640,0.8091003408922484,0.02616516762060507,0.24806201550387597,0.047337278106508875,0.4329365999704822,0.017713844439217252,0.1799637352674524,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6894365008920431,0.7731119791666666,0.13630731102850063,0.6909068822860718,0.8677930932266192,0.027261462205700124,0.17054263565891473,0.04700854700854701,0.4245128976411525,0.01765735306133816,0.11861589604110002,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49988988041877747,3734640,0.8838002074996295,0.02467343976777939,0.13178294573643412,0.04156479217603912,0.4245128976411525,0.01765735306133816,0.10154125113327289,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6881043277680874,0.8492838541666666,0.13133208255159476,0.6894270777702332,0.8340002964280421,0.024928092042186004,0.20155038759689922,0.04436860068259386,0.43587842412401223,0.01813494449260219,0.15367180417044424,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4990420341491699,3734640,0.9334519045501705,0.012195121951219513,0.031007751937984496,0.0175054704595186,0.43587842412401223,0.01813494449260219,0.04895738893925657,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6868594940751791,0.8694661458333334,0.09887640449438202,0.6877558827400208,0.8088039128501556,0.02457002457002457,0.23255813953488372,0.044444444444444446,0.4428654761151757,0.018402305546428688,0.1799637352674524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49816787242889404,3734640,0.9556840077071291,0.0,0.0,0.0,0.4428654761151757,0.018402305546428688,0.025687518887881535,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.685627069324255,0.8795572916666666,0.075,0.6860583424568176,0.8105824811027124,0.024026512013256007,0.2248062015503876,0.04341317365269461,0.4402270294076995,0.018060773580946925,0.17799939558779088,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49745094776153564,3734640,0.9678375574329332,0.0,0.0,0.0,0.4402270294076995,0.018060773580946925,0.013297068600785736,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6843482367694378,0.8837890625,0.05804749340369393,0.6843981146812439,0.8009485697346969,0.02204724409448819,0.21705426356589147,0.040028591851322376,0.4319444737279817,0.017464273077756047,0.18766999093381687,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4966731071472168,3734640,0.9703571957907218,0.0,0.0,0.0,0.4319444737279817,0.017464273077756047,0.010728316711997582,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6831793915480375,0.8857421875,0.04878048780487805,0.6827605366706848,0.8345931525122277,0.022265246853823813,0.17829457364341086,0.039586919104991396,0.42103225640196695,0.01684112140376365,0.15261408280447264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4962703287601471,3734640,0.9724321920853712,0.0,0.0,0.0,0.42103225640196695,0.01684112140376365,0.008612873980054397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6817551217973232,0.8880208333333334,0.049723756906077346,0.6811478734016418,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.40791440304923615,0.016165160655720674,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.403948575258255,3734640,0.9745071883800207,0.0,0.0,0.0,0.40791440304923615,0.016165160655720674,0.006497431248111212,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.680476825684309,0.8889973958333334,0.05013927576601671,0.679547131061554,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.39369021765867573,0.015545556059178196,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.39054983854293823,3734640,0.9755446865273455,0.0,0.0,0.0,0.39369021765867573,0.015545556059178196,0.005439709882139619,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6795556768774986,0.8899739583333334,0.04519774011299435,0.6779360771179199,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.3785851834672176,0.0149924867710712,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.37704136967658997,3734640,0.9762857566325774,0.0,0.0,0.0,0.3785851834672176,0.0149924867710712,0.004684194620731339,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
