round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.690582012757659,0.6787109375,0.13192612137203166,0.6917673945426941,0.8179931821550319,0.027515047291487533,0.24806201550387597,0.04953560371517028,0.42814288492038394,0.01769277523472552,0.17089755213055305,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000139474868774,3734640,0.8145842596709649,0.026981450252951095,0.24806201550387597,0.048669201520912544,0.42814288492038394,0.01769277523472552,0.17437292233303112,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6892969217151403,0.7994791666666666,0.11494252873563218,0.6907896995544434,0.863939528679413,0.026410564225690276,0.17054263565891473,0.04573804573804574,0.41578581786576896,0.017525774247005667,0.12254457540042309,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49981969594955444,3734640,0.8898769823625315,0.02476780185758514,0.12403100775193798,0.04129032258064516,0.41578581786576896,0.017525774247005667,0.09519492293744333,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6877341866493225,0.8704427083333334,0.11555555555555555,0.6892548203468323,0.851785978953609,0.025081788440567066,0.17829457364341086,0.04397705544933078,0.42542244430856885,0.01791492129173455,0.13508612873980055,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49905964732170105,3734640,0.9387876093078406,0.010344827586206896,0.023255813953488372,0.014319809069212411,0.42542244430856885,0.01791492129173455,0.043366576004835296,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6864576153457165,0.8929036458333334,0.09366391184573003,0.6875303983688354,0.8317770861123462,0.02547169811320755,0.20930232558139536,0.045416316232127836,0.4331275286334427,0.018130409098087497,0.15608945300695073,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49816569685935974,3734640,0.9586482881280569,0.0,0.0,0.0,0.4331275286334427,0.018130409098087497,0.022665457842248413,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6848069187253714,0.9049479166666666,0.0759493670886076,0.6857584118843079,0.8181413961760783,0.024263431542461005,0.21705426356589147,0.043647700701480906,0.42960881879581403,0.017755242513265764,0.17014203686914475,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49733009934425354,3734640,0.9697643397065362,0.0,0.0,0.0,0.42960881879581403,0.017755242513265764,0.011332728921124207,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6835683900862932,0.9085286458333334,0.07260726072607261,0.6840155124664307,0.825255669186305,0.02185792349726776,0.18604651162790697,0.039119804400977995,0.41971801124956365,0.01710182304125197,0.16228467815049863,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49664580821990967,3734640,0.9719875500222321,0.0,0.0,0.0,0.41971801124956365,0.01710182304125197,0.009066183136899365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6821057293564081,0.9114583333333334,0.05555555555555555,0.6822956204414368,0.9036608863198459,0.02376599634369287,0.10077519379844961,0.038461538461538464,0.40550378226167305,0.01640104619808587,0.08068902991840435,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4968509078025818,3734640,0.9740625463168816,0.0,0.0,0.0,0.40550378226167305,0.01640104619808587,0.00695074040495618,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6807863768190145,0.9124348958333334,0.04946996466431095,0.6806089282035828,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.38919988005463135,0.015677541888926057,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.39563465118408203,3734640,0.9755446865273455,0.0,0.0,0.0,0.38919988005463135,0.015677541888926057,0.005439709882139619,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6790421586483717,0.9124348958333334,0.042704626334519574,0.6789082288742065,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.3715694336095357,0.015014861784586789,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.38102930784225464,3734640,0.9767303986957167,0.0,0.0,0.0,0.3715694336095357,0.015014861784586789,0.0042308854638863705,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6778844017535448,0.9130859375,0.043010752688172046,0.6772085428237915,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.3534985627639911,0.014440124782806313,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3660966455936432,3734640,0.9773232547799022,0.0,0.0,0.0,0.3534985627639911,0.014440124782806313,0.003626473254759746,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
