round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6903158519417048,0.6969401041666666,0.08993157380254155,0.6917141079902649,0.8203646064917741,0.02789886660854403,0.24806201550387597,0.050156739811912224,0.4203405792517939,0.0176500584837792,0.16847990329404655,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500005841255188,3734640,0.8190306803023566,0.02768166089965398,0.24806201550387597,0.049805447470817124,0.4203405792517939,0.0176500584837792,0.16983983076458145,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6885250248014927,0.8310546875,0.07815275310834814,0.6906678080558777,0.8642359567215059,0.025331724969843185,0.16279069767441862,0.04384133611691023,0.4034000529446353,0.017264980033436392,0.12209126624357812,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.499767541885376,3734640,0.8978805394990366,0.023809523809523808,0.10852713178294573,0.03905160390516039,0.4034000529446353,0.017264980033436392,0.08673315200967059,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6870832573622465,0.90234375,0.0963855421686747,0.6890688538551331,0.8922484066992737,0.028391167192429023,0.13953488372093023,0.047182175622542594,0.4093211841793933,0.017561864746993987,0.09307948020550015,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49923205375671387,3734640,0.9438268860234178,0.01171875,0.023255813953488372,0.015584415584415584,0.4093211841793933,0.017561864746993987,0.03822907222725899,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6854591276496649,0.9244791666666666,0.08661417322834646,0.6872773170471191,0.7871646657773825,0.022644265887509132,0.24031007751937986,0.04138851802403204,0.41499047699368175,0.0176290762104661,0.20217588395285585,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4978126287460327,3734640,0.9623536386542166,0.0,0.0,0.0,0.41499047699368175,0.0176290762104661,0.018887881535207013,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6835710573941469,0.9329427083333334,0.08035714285714286,0.6854414343833923,0.7727879057358826,0.021145975443383355,0.24031007751937986,0.038871473354231974,0.41204513881568,0.017234514599162507,0.2168328800241765,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4969097673892975,3734640,0.9713946939380466,0.0,0.0,0.0,0.41204513881568,0.017234514599162507,0.00967059534602599,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.682198652997613,0.9358723958333334,0.04830917874396135,0.6836166381835938,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.40075282117598005,0.016567242006668453,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4115603268146515,3734640,0.9737661182747888,0.0,0.0,0.0,0.40075282117598005,0.016567242006668453,0.007252946509519492,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6805813238024712,0.9375,0.04950495049504951,0.6818225383758545,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.3851534808755075,0.015821247764534,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3969295620918274,3734640,0.9755446865273455,0.0,0.0,0.0,0.3851534808755075,0.015821247764534,0.005439709882139619,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6788568776100874,0.9388020833333334,0.050505050505050504,0.6800456047058105,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.36739125851272425,0.01508316507148135,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3811681270599365,3734640,0.9764339706536238,0.0,0.0,0.0,0.36739125851272425,0.01508316507148135,0.004533091568449683,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6772748306393623,0.9388020833333334,0.050505050505050504,0.6782609224319458,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.3480412827594932,0.014406805749658866,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.36498868465423584,3734640,0.977619682821995,0.0,0.0,0.0,0.3480412827594932,0.014406805749658866,0.003324267150196434,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6757501382380724,0.9404296875,0.05181347150259067,0.6764671802520752,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.3275205511864518,0.01381068813026665,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.34882378578186035,3734640,0.9777678968430413,0.0,0.0,0.0,0.3275205511864518,0.01381068813026665,0.003173164097914778,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
