round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6896791734865734,0.7001953125,0.07622868605817452,0.6916669011116028,0.806284274492367,0.027287319422150885,0.26356589147286824,0.04945454545454545,0.41501214681125703,0.017524279175616636,0.18313689936536717,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999430775642395,3734640,0.8205128205128205,0.027097902097902096,0.24031007751937986,0.04870384917517675,0.41501214681125703,0.017524279175616636,0.16817769718948322,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6878191867044994,0.8408203125,0.07210626185958255,0.690563976764679,0.8670520231213873,0.024752475247524754,0.15503875968992248,0.042689434364994665,0.39205326792562445,0.01694197069548646,0.119069205197945,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49973681569099426,3734640,0.9004001778568252,0.022847100175746926,0.10077519379844961,0.03724928366762178,0.39205326792562445,0.01694197069548646,0.08401329706860079,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6860285861151559,0.9088541666666666,0.08496732026143791,0.6888867020606995,0.8667555950792944,0.02702702702702703,0.17054263565891473,0.04665959703075292,0.3901316822103682,0.016888765943469525,0.11967361740707162,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49898332357406616,3734640,0.9448643841707426,0.01593625498007968,0.031007751937984496,0.021052631578947368,0.3901316822103682,0.016888765943469525,0.03732245391356905,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.684213274717331,0.9306640625,0.06986899563318777,0.6870135068893433,0.8589002519638358,0.023174971031286212,0.15503875968992248,0.04032258064516129,0.3885732123571842,0.016683190766827595,0.1273798730734361,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4981251060962677,3734640,0.9641322069067734,0.008695652173913044,0.007751937984496124,0.00819672131147541,0.3885732123571842,0.016683190766827595,0.017225747960108794,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6824624304260527,0.9446614583333334,0.08602150537634409,0.6851122379302979,0.7916110864087743,0.021005251312828207,0.21705426356589147,0.038303693570451436,0.3796997148954812,0.016189515189743407,0.1971894832275612,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49684688448905945,3734640,0.9709500518749073,0.0,0.0,0.0,0.3796997148954812,0.016189515189743407,0.010123904502870958,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6807261765003204,0.9475911458333334,0.06936416184971098,0.6832327842712402,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.363327289211242,0.015433928600084693,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.3915255069732666,3734640,0.9743589743589743,0.0,0.0,0.0,0.363327289211242,0.015433928600084693,0.006648534300392868,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6790631451777049,0.9488932291666666,0.07100591715976332,0.6813629865646362,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.34268825214765464,0.014695389405080757,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.37192079424858093,3734640,0.9758411145694382,0.0,0.0,0.0,0.34268825214765464,0.014695389405080757,0.005137503777576307,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6772322058677673,0.94921875,0.060240963855421686,0.6795040965080261,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.32169781263690056,0.014080047380130448,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.35104900598526,3734640,0.9767303986957167,0.0,0.0,0.0,0.32169781263690056,0.014080047380130448,0.0042308854638863705,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6755446715014322,0.9498697916666666,0.06097560975609756,0.6776521801948547,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.30321872928189736,0.013613552604136032,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.32959040999412537,3734640,0.977619682821995,0.0,0.0,0.0,0.30321872928189736,0.013613552604136032,0.003324267150196434,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6739752675805772,0.9498697916666666,0.04938271604938271,0.6757983565330505,0.019119608714984436,0.019119608714984436,1.0,0.037521815008726006,0.28730136976673903,0.013220392903812373,1.0,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.307891845703125,3734640,0.9777678968430413,0.0,0.0,0.0,0.28730136976673903,0.013220392903812373,0.003173164097914778,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
