round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6899645049124956,0.6676432291666666,0.2563729060451566,0.6921957731246948,0.983848262576869,0.6666666666666666,0.05357142857142857,0.09917355371900827,0.4847099980088472,0.07327617818861121,0.000452045505914262,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020633339881897,3394160,0.7318663406682967,0.01816633550950894,0.2857142857142857,0.03416066186282359,0.4847099980088472,0.07327617818861121,0.26060423415957207,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6889383085072041,0.7705078125,0.2571127502634352,0.6912297010421753,0.9835519004223161,0.5454545454545454,0.05357142857142857,0.0975609756097561,0.48550948622875656,0.06840089457803916,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502021312713623,3394160,0.8582647995850929,0.023688663282571912,0.1875,0.04206309464196294,0.48550948622875656,0.06840089457803916,0.1304151284562646,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6878490690141916,0.7981770833333334,0.18421052631578946,0.6900322437286377,0.9834778098836778,0.5217391304347826,0.05357142857142857,0.09716599190283401,0.5027169818428389,0.06719701469656988,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019940733909607,3394160,0.9196858561161739,0.03056768558951965,0.125,0.04912280701754386,0.5027169818428389,0.06719701469656988,0.06690273487531079,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.686943095177412,0.8089192708333334,0.1199400299850075,0.6887192130088806,0.9823664518041046,0.3333333333333333,0.0625,0.10526315789473684,0.5161653356437882,0.06898378817668101,0.002109545694266556,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5013538599014282,3394160,0.949544343187375,0.04572564612326044,0.10267857142857142,0.06327372764786796,0.5161653356437882,0.06898378817668101,0.03616364047314096,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6863620076328516,0.8177083333333334,0.09090909090909091,0.687370777130127,0.9817737274949989,0.28846153846153844,0.06696428571428571,0.10869565217391304,0.5229364324461043,0.07060275911420737,0.002787613953137949,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5012386441230774,3394160,0.9669556197673557,0.08270676691729323,0.09821428571428571,0.08979591836734693,0.5229364324461043,0.07060275911420737,0.018383183907179988,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6853138580918312,0.8248697916666666,0.08503401360544217,0.6859936118125916,0.9762169370971326,0.1510791366906475,0.09375,0.11570247933884298,0.5263040705621509,0.07358391371389149,0.008890228282980486,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001693964004517,3394160,0.974586945247092,0.13043478260869565,0.09375,0.10909090909090909,0.5263040705621509,0.07358391371389149,0.010547728471332781,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.684701181948185,0.828125,0.08013937282229965,0.6846011877059937,0.9781432911017263,0.18018018018018017,0.08928571428571429,0.11940298507462686,0.5261707104110386,0.07507021614755889,0.0068560235063663075,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5002449154853821,3394160,0.9769578424835148,0.15748031496062992,0.08928571428571429,0.11396011396011396,0.5261707104110386,0.07507021614755889,0.008061478188804339,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6835837420076132,0.830078125,0.07446808510638298,0.6831856966018677,0.9782914721790027,0.1834862385321101,0.08928571428571429,0.12012012012012012,0.5240112177244891,0.07673976796652125,0.006705341671061554,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001370906829834,3394160,0.977698747869897,0.17094017094017094,0.08928571428571429,0.11730205278592376,0.5240112177244891,0.07673976796652125,0.007308069012280569,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6826932691037655,0.8326822916666666,0.07220216606498195,0.6817471385002136,0.9729569533970512,0.13089005235602094,0.11160714285714286,0.12048192771084337,0.5206622466661643,0.07852188011372999,0.012506592330294584,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4990357458591461,3394160,0.978365562717641,0.17307692307692307,0.08035714285714286,0.10975609756097561,0.5206622466661643,0.07852188011372999,0.006479318918104423,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.681800315156579,0.8346354166666666,0.0695970695970696,0.6802949905395508,0.9778469289471734,0.1794871794871795,0.09375,0.12316715542521994,0.5158841525761213,0.07867797620754201,0.007232728094628192,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49966466426849365,3394160,0.9793287397199377,0.1978021978021978,0.08035714285714286,0.11428571428571428,0.5158841525761213,0.07867797620754201,0.005499886988623521,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
