round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6892359424382448,0.7151692708333334,0.21805183199285075,0.6919893622398376,0.9836259909609543,0.5348837209302325,0.10267857142857142,0.17228464419475656,0.47134892531562467,0.11380662871444677,0.00150681835304754,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017405152320862,3394160,0.7743943098466326,0.020074855392990813,0.26339285714285715,0.03730635472652545,0.47134892531562467,0.11380662871444677,0.21698184283884578,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6881270036101341,0.8131510416666666,0.209366391184573,0.6908476948738098,0.9807364599540639,0.29069767441860467,0.11160714285714286,0.16129032258064516,0.4733642948628257,0.10391662811031953,0.004595795976794997,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010818839073181,3394160,0.8941246202859895,0.032583397982932506,0.1875,0.05551883674818242,0.4733642948628257,0.10391662811031953,0.09395012431251412,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6870501171797514,0.853515625,0.15413533834586465,0.6894582509994507,0.9803660072608728,0.25301204819277107,0.09375,0.13680781758957655,0.49237812261196195,0.09421883470147939,0.004671136894447374,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5008826851844788,3394160,0.9456175446395495,0.0603448275862069,0.15625,0.08706467661691543,0.49237812261196195,0.09421883470147939,0.04106080012054547,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6857611071318388,0.8642578125,0.09935205183585313,0.687950611114502,0.9782173816403645,0.1875,0.09375,0.125,0.5080624872189514,0.0908629017487041,0.0068560235063663075,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004516243934631,3394160,0.9688078832333111,0.10121457489878542,0.11160714285714286,0.10615711252653928,0.5080624872189514,0.0908629017487041,0.016725683718827697,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6845498885959387,0.8759765625,0.0774818401937046,0.6864014267921448,0.9723642290879455,0.12935323383084577,0.11607142857142858,0.1223529411764706,0.516489402492708,0.09241676433793548,0.013184660589165976,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49970847368240356,3394160,0.9768837519448766,0.15625,0.08928571428571429,0.11363636363636363,0.516489402492708,0.09241676433793548,0.008136819106456717,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.683565080165863,0.8805338541666666,0.061381074168797956,0.6848229169845581,0.9745128547084537,0.14705882352941177,0.11160714285714286,0.12690355329949238,0.5197277165782308,0.09312235206743817,0.010924433059594665,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4994266629219055,3394160,0.9790323775653849,0.1827956989247312,0.07589285714285714,0.10725552050473186,0.5197277165782308,0.09312235206743817,0.005725909741580652,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6822885181754827,0.8828125,0.0625,0.6832425594329834,0.9746610357857302,0.15294117647058825,0.11607142857142858,0.1319796954314721,0.518059957916716,0.09439980182944885,0.010849092141942289,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4990256428718567,3394160,0.9802919167222346,0.2236842105263158,0.07589285714285714,0.11333333333333333,0.518059957916716,0.09439980182944885,0.004445114141490243,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6811521723866463,0.8850911458333334,0.058666666666666666,0.6816349625587463,0.9835519004223161,0.5333333333333333,0.07142857142857142,0.12598425196850394,0.5129308895071627,0.095311198698992,0.001054772847133278,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500885546207428,3394160,0.9809587315699785,0.24615384615384617,0.07142857142857142,0.11072664359861592,0.5129308895071627,0.095311198698992,0.003691704964966473,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6799321193248034,0.88671875,0.05945945945945946,0.6799928545951843,0.9836259909609543,0.5517241379310345,0.07142857142857142,0.12648221343873517,0.5059759810463778,0.09601198076714298,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500761866569519,3394160,0.9822182707268282,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.5059759810463778,0.09601198076714298,0.0024109093648760644,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6789144854992628,0.8870442708333334,0.05962059620596206,0.6783272624015808,0.9731051344743277,0.13989637305699482,0.12053571428571429,0.12949640287769784,0.49763802859725975,0.09600946996260062,0.012506592330294584,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4976685643196106,3394160,0.9828850855745721,0.41025641025641024,0.07142857142857142,0.12167300380228137,0.49763802859725975,0.09600946996260062,0.0017328411060046711,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
