round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.689330268651247,0.734375,0.1968503937007874,0.6919214129447937,0.9847373490405276,0.75,0.12053571428571429,0.2076923076923077,0.4647915747328088,0.13818809085209843,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501814067363739,3394160,0.7866933392605764,0.020238525478857967,0.25,0.03744567034436643,0.4647915747328088,0.13818809085209843,0.20424922775559406,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6880167257040739,0.833984375,0.1853035143769968,0.6907345652580261,0.9823664518041046,0.41025641025641024,0.14285714285714285,0.2119205298013245,0.4695826180430735,0.13446099478409823,0.0034656822120093423,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501154363155365,3394160,0.9033118470771283,0.03684661525278492,0.19196428571428573,0.06182602444284687,0.4695826180430735,0.13446099478409823,0.08468319144127176,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6867307238280773,0.8707682291666666,0.13882863340563992,0.6892959475517273,0.981477365340446,0.3522727272727273,0.13839285714285715,0.1987179487179487,0.4885095010278654,0.1284269166905341,0.004294432306185489,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5007864236831665,3394160,0.9513966066533304,0.07312252964426877,0.16517857142857142,0.10136986301369863,0.4885095010278654,0.1284269166905341,0.03533489037896482,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6852552890777588,0.884765625,0.09693877551020408,0.6877285838127136,0.9806623694154256,0.3010752688172043,0.125,0.17665615141955837,0.5059702632088773,0.12165623527144655,0.004897159647404506,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5005189776420593,3394160,0.9732533155516041,0.15920398009950248,0.14285714285714285,0.15058823529411763,0.5059702632088773,0.12165623527144655,0.012732615083251714,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6842981856316328,0.8919270833333334,0.07262569832402235,0.6861209869384766,0.9799214640290435,0.27184466019417475,0.125,0.1712538226299694,0.5167948022839062,0.12006252276694639,0.005650568823928275,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500182569026947,3394160,0.9789582870267467,0.2413793103448276,0.125,0.16470588235294117,0.5167948022839062,0.12006252276694639,0.006630000753409177,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6829064711928368,0.8968098958333334,0.07580174927113703,0.6844965815544128,0.9800696451063199,0.27722772277227725,0.125,0.1723076923076923,0.5211807199900981,0.1195440840990407,0.005499886988623521,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49984461069107056,3394160,0.980440097799511,0.2826086956521739,0.11607142857142858,0.16455696202531644,0.5211807199900981,0.1195440840990407,0.004972500565056883,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6817112602293491,0.900390625,0.07272727272727272,0.6828508377075195,0.9823664518041046,0.3870967741935484,0.10714285714285714,0.16783216783216784,0.5209572198125088,0.11960658789253885,0.002862954870790326,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001944899559021,3394160,0.9812550937245313,0.3116883116883117,0.10714285714285714,0.15946843853820597,0.5209572198125088,0.11960658789253885,0.003993068635575981,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6804329082369804,0.9020182291666666,0.07384615384615385,0.6811853647232056,0.9837000814995925,0.5454545454545454,0.10714285714285714,0.1791044776119403,0.5185678364241049,0.12219373906010611,0.00150681835304754,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5002473592758179,3394160,0.9825146328813811,0.4,0.10714285714285714,0.16901408450704225,0.5185678364241049,0.12219373906010611,0.0027122730354855722,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6791407503187656,0.9039713541666666,0.07523510971786834,0.6795008182525635,0.9839964436541454,0.6,0.10714285714285714,0.18181818181818182,0.5132687464347602,0.12152966666241272,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001655220985413,3394160,0.9837000814995925,0.5454545454545454,0.10714285714285714,0.1791044776119403,0.5132687464347602,0.12152966666241272,0.00150681835304754,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6777755934745073,0.9046223958333334,0.06984126984126984,0.6777857542037964,0.9837741720382307,0.5581395348837209,0.10714285714285714,0.1797752808988764,0.507327240585076,0.12094039818111889,0.001431477435395163,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49974045157432556,3394160,0.9839223531155071,0.5945945945945946,0.09821428571428571,0.1685823754789272,0.507327240585076,0.12094039818111889,0.001130113764785655,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
