round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6891629304736853,0.7760416666666666,0.16707021791767554,0.6917765736579895,0.9856264355041862,0.8947368421052632,0.15178571428571427,0.2595419847328244,0.4525283268396637,0.15819563587584548,0.00030136367060950805,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018792152404785,3394160,0.8106986737793583,0.02135523613963039,0.23214285714285715,0.039112448288830384,0.4525283268396637,0.15819563587584548,0.17953740676561442,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6877172440290451,0.8740234375,0.1303370786516854,0.6904899477958679,0.9854782544269097,0.868421052631579,0.14732142857142858,0.25190839694656486,0.45699933942159704,0.16003676791373966,0.000376704588261885,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501726508140564,3394160,0.9185744980366007,0.044745057232049947,0.19196428571428573,0.07257383966244725,0.45699933942159704,0.16003676791373966,0.0691629624048821,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6860459595918655,0.90625,0.1,0.6889572143554688,0.9850337111950804,0.7391304347826086,0.15178571428571427,0.2518518518518518,0.46876698534081,0.15739142220577412,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011311769485474,3394160,0.9608061050603838,0.10182767624020887,0.17410714285714285,0.128500823723229,0.46876698534081,0.15739142220577412,0.02591727567241769,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.684677679091692,0.9212239583333334,0.07633587786259542,0.6872932314872742,0.984885530117804,0.7272727272727273,0.14285714285714285,0.23880597014925373,0.4791601640279407,0.15387289203007487,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5009419322013855,3394160,0.9765132992516855,0.2147239263803681,0.15625,0.18087855297157623,0.4791601640279407,0.15387289203007487,0.009643637459504258,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6834612712264061,0.9264322916666666,0.058333333333333334,0.6855784058570862,0.983848262576869,0.5517241379310345,0.14285714285714285,0.22695035460992907,0.4851280728331414,0.15227045895967123,0.0019588638589618022,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5005521178245544,3394160,0.980440097799511,0.3148148148148148,0.15178571428571427,0.20481927710843373,0.4851280728331414,0.15227045895967123,0.005575227906275898,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6815791912376881,0.9296875,0.06086956521739131,0.6838337779045105,0.9844409868859747,0.6521739130434783,0.13392857142857142,0.2222222222222222,0.4870459027994532,0.15117738699021308,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5006259679794312,3394160,0.9825887234200192,0.42857142857142855,0.14732142857142858,0.21926910299003322,0.4870459027994532,0.15117738699021308,0.0033150003767045883,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6804816592484713,0.931640625,0.0625,0.6820725798606873,0.9847373490405276,0.7142857142857143,0.13392857142857142,0.22556390977443608,0.4859425283335665,0.15123803410154518,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500556230545044,3394160,0.9835519004223161,0.5166666666666667,0.13839285714285715,0.21830985915492956,0.4859425283335665,0.15123803410154518,0.002184886611918933,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6788931991904974,0.9332682291666666,0.0639269406392694,0.6802800297737122,0.9845150774246129,0.6595744680851063,0.13839285714285715,0.22878228782287824,0.4820071425880681,0.1506129292644054,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001570582389832,3394160,0.9843668963473364,0.6326530612244898,0.13839285714285715,0.2271062271062271,0.4820071425880681,0.1506129292644054,0.0013561365177427861,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6774482447654009,0.9352213541666666,0.06572769953051644,0.6784667372703552,0.9843668963473364,0.6274509803921569,0.14285714285714285,0.23272727272727273,0.47692987105940093,0.1490205210548132,0.001431477435395163,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4997605085372925,3394160,0.9847373490405276,0.7045454545454546,0.13839285714285715,0.23134328358208955,0.47692987105940093,0.1490205210548132,0.0009794319294809011,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6759725604206324,0.935546875,0.05714285714285714,0.6766249537467957,0.9847373490405276,0.7045454545454546,0.13839285714285715,0.23134328358208955,0.4710184679424395,0.1467125210395458,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49974673986434937,3394160,0.9847373490405276,0.7142857142857143,0.13392857142857142,0.22556390977443608,0.4710184679424395,0.1467125210395458,0.000904091011828524,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
