round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6888342350721359,0.7845052083333334,0.1126005361930295,0.6916696429252625,0.9857005260428243,0.918918918918919,0.15178571428571427,0.26053639846743293,0.44390162359677543,0.1654236863508169,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022699236869812,3394160,0.8264799585092983,0.022972972972972974,0.22767857142857142,0.041734860883797055,0.44390162359677543,0.1654236863508169,0.16341445038800573,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.68701346591115,0.8929036458333334,0.09366391184573003,0.6903099417686462,0.9857005260428243,0.918918918918919,0.15178571428571427,0.26053639846743293,0.449397978979884,0.16812396331474191,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501854658126831,3394160,0.928280358598207,0.051807228915662654,0.19196428571428573,0.08159392789373814,0.449397978979884,0.16812396331474191,0.059293302192420703,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6853439509868622,0.9261067708333334,0.08835341365461848,0.6887022852897644,0.9855523449655479,0.8717948717948718,0.15178571428571427,0.2585551330798479,0.4627339940911195,0.16953768523845875,0.000376704588261885,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5013335347175598,3394160,0.9668074386900792,0.13398692810457516,0.18303571428571427,0.15471698113207547,0.4627339940911195,0.16953768523845875,0.019965343177879905,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.683622881770134,0.9446614583333334,0.08602150537634409,0.6869601607322693,0.9856264355041862,0.9166666666666666,0.14732142857142858,0.25384615384615383,0.47551504262143346,0.16924682804871727,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5014128684997559,3394160,0.9788101059494703,0.2753623188405797,0.16964285714285715,0.20994475138121546,0.47551504262143346,0.16924682804871727,0.0075340917652377,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6821493841707706,0.951171875,0.08536585365853659,0.6851558685302734,0.9850337111950804,0.7391304347826086,0.15178571428571427,0.2518518518518518,0.48420817368234115,0.17000938940620464,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5007050037384033,3394160,0.9820700896495518,0.4,0.16071428571428573,0.22929936305732485,0.48420817368234115,0.17000938940620464,0.004068409553228358,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6803497038781643,0.9534505208333334,0.07741935483870968,0.6833261847496033,0.9848114395791657,0.6938775510204082,0.15178571428571427,0.2490842490842491,0.4851590164243201,0.1697135118757601,0.001130113764785655,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004785060882568,3394160,0.9835519004223161,0.5151515151515151,0.15178571428571427,0.23448275862068965,0.4851590164243201,0.1697135118757601,0.0024109093648760644,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6787979174405336,0.955078125,0.08,0.6814676523208618,0.985255982810995,0.8048780487804879,0.14732142857142858,0.2490566037735849,0.4820580986104983,0.1691567992429858,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5006659030914307,3394160,0.9844409868859747,0.6296296296296297,0.15178571428571427,0.2446043165467626,0.4820580986104983,0.1691567992429858,0.00150681835304754,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6772077884525061,0.9557291666666666,0.08108108108108109,0.6795846223831177,0.9843668963473364,0.6181818181818182,0.15178571428571427,0.24372759856630824,0.476464708161574,0.16835241048462313,0.0015821592706999172,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4997022747993469,3394160,0.9845891679632511,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.476464708161574,0.16835241048462313,0.0012054546824380322,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6757774632424116,0.9563802083333334,0.0821917808219178,0.677664041519165,0.9851078017337186,0.7804878048780488,0.14285714285714285,0.24150943396226415,0.46909105218973,0.16695121922978395,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001445412635803,3394160,0.9851078017337186,0.7804878048780488,0.14285714285714285,0.24150943396226415,0.46909105218973,0.16695121922978395,0.0006780682588713931,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6740573365241289,0.9563802083333334,0.06944444444444445,0.675710916519165,0.9851818922723569,0.8,0.14285714285714285,0.24242424242424243,0.4605023557490502,0.16515569739594185,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999012053012848,3394160,0.9851078017337186,0.7948717948717948,0.13839285714285715,0.23574144486692014,0.4605023557490502,0.16515569739594185,0.0006027273412190161,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
