round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6894736457616091,0.6526692708333334,0.2512280701754386,0.6921758651733398,0.9613132735492478,0.07643312101910828,0.09375,0.08421052631578947,0.4623582630599834,0.0564730430005802,0.021908287376293724,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010241866111755,3394160,0.7361594901059809,0.018367346938775512,0.24609375,0.0341833966359197,0.4623582630599834,0.0564730430005802,0.254362771020624,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6885816622525454,0.7490234375,0.24039408866995074,0.691253662109375,0.9769510116356629,0.17647058823529413,0.05859375,0.08797653958944282,0.47218762984437557,0.05814050486710395,0.005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5012089014053345,3394160,0.8599273697472763,0.025551684088269456,0.171875,0.044489383215369056,0.47218762984437557,0.05814050486710395,0.1267658835083478,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.68773696385324,0.7887369791666666,0.1732484076433121,0.6900783181190491,0.9793226117245979,0.2653061224489796,0.05078125,0.08524590163934426,0.4960612889060965,0.05612375171651253,0.0027196494674019793,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5012238025665283,3394160,0.921440747054028,0.03255813953488372,0.109375,0.05017921146953405,0.4960612889060965,0.05612375171651253,0.0628541210244013,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6868037115782499,0.810546875,0.12874251497005987,0.6887952089309692,0.9780626991773512,0.19696969696969696,0.05078125,0.08074534161490683,0.5122096502700763,0.05700109160256872,0.004003928382564025,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010924339294434,3394160,0.9530126732379752,0.05841121495327103,0.09765625,0.07309941520467836,0.5122096502700763,0.05700109160256872,0.03044496487119438,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6860405877232552,0.8212890625,0.09555189456342669,0.6874540448188782,0.9699103238716371,0.1134020618556701,0.0859375,0.09777777777777778,0.5206409767602176,0.05911864540458035,0.012993880788698346,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000779628753662,3394160,0.9676128362854813,0.1013215859030837,0.08984375,0.09523809523809523,0.5206409767602176,0.05911864540458035,0.01541134698194455,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6849536634981632,0.826171875,0.08873720136518772,0.686095118522644,0.9746535240495071,0.15873015873015872,0.078125,0.10471204188481675,0.5251915794742011,0.06174270359052297,0.00800785676512805,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000941157341003,3394160,0.9734677240050397,0.14084507042253522,0.078125,0.10050251256281408,0.5251915794742011,0.06174270359052297,0.009216589861751152,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6841652859002352,0.8291015625,0.07407407407407407,0.6847021579742432,0.97628399911065,0.2037037037037037,0.0859375,0.12087912087912088,0.5273521603743295,0.06410280409746269,0.006496940394349173,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000708103179932,3394160,0.9759875490995331,0.19642857142857142,0.0859375,0.11956521739130435,0.5273521603743295,0.06410280409746269,0.006799123668504948,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.683492673560977,0.8304036458333334,0.06797853309481217,0.6833071708679199,0.9770992366412213,0.2268041237113402,0.0859375,0.12464589235127478,0.5259656290133716,0.06672417474357337,0.00566593639042079,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000637173652649,3394160,0.9765804491217669,0.21153846153846154,0.0859375,0.12222222222222222,0.5259656290133716,0.06672417474357337,0.006194757120193397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6824633032083511,0.8326822916666666,0.06204379562043796,0.6818804740905762,0.9763581116134292,0.2,0.08203125,0.11634349030470914,0.5227012233700989,0.06891295651549642,0.006345848757271285,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49976515769958496,3394160,0.9771733491440006,0.2111111111111111,0.07421875,0.10982658959537572,0.5227012233700989,0.06891295651549642,0.005363753116265015,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.68180325999856,0.8343098958333334,0.059149722735674676,0.680422842502594,0.9731712739939228,0.16025641025641027,0.09765625,0.12135922330097088,0.5185271693453954,0.07139767849699154,0.009896502228601648,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49885204434394836,3394160,0.9780626991773512,0.23684210526315788,0.0703125,0.10843373493975904,0.5185271693453954,0.07139767849699154,0.004381657475258744,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
