round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6890539489686489,0.7057291666666666,0.2097902097902098,0.6919628977775574,0.9811754242940784,0.5192307692307693,0.10546875,0.17532467532467533,0.4518177032182519,0.11361588617537476,0.0018886454634735967,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015897750854492,3394160,0.77988586674572,0.01913536498936924,0.2109375,0.03508771929824561,0.4518177032182519,0.11361588617537476,0.20911082571579664,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6879149470478296,0.8111979166666666,0.20110192837465565,0.6908844113349915,0.9793226117245979,0.35064935064935066,0.10546875,0.16216216216216217,0.46177838988252623,0.10921209613135564,0.0037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010799169540405,3394160,0.8948343585562885,0.03293172690763052,0.16015625,0.05463024650233178,0.46177838988252623,0.10921209613135564,0.09095716552088842,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.68671671487391,0.8499348958333334,0.1383177570093458,0.6895612478256226,0.9797672867412732,0.373134328358209,0.09765625,0.15479876160990713,0.48267226807433716,0.10017387035818323,0.0031729243786356425,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5008977055549622,3394160,0.9453790854517157,0.0603290676416819,0.12890625,0.0821917808219178,0.48267226807433716,0.10017387035818323,0.03883055072901715,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6855724807828665,0.8668619791666666,0.08089887640449438,0.6881036758422852,0.9796190617357148,0.35384615384615387,0.08984375,0.14330218068535824,0.49942455333534785,0.09539620436642195,0.0031729243786356425,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5008731484413147,3394160,0.9683539613132736,0.12663755458515283,0.11328125,0.11958762886597939,0.49942455333534785,0.09539620436642195,0.015109163707788774,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6842856220901012,0.8756510416666666,0.06829268292682927,0.6865885853767395,0.9774697991551174,0.25510204081632654,0.09765625,0.14124293785310735,0.5086656365679534,0.09543000996284809,0.0055148447533429025,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5003294944763184,3394160,0.9759134365967539,0.21487603305785125,0.1015625,0.13793103448275862,0.5086656365679534,0.09543000996284809,0.007176852761199668,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6831687744706869,0.87890625,0.05102040816326531,0.6850528120994568,0.97628399911065,0.2288135593220339,0.10546875,0.1443850267379679,0.5104067316045932,0.09732968270126824,0.006874669487043892,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49974894523620605,3394160,0.9769510116356629,0.23300970873786409,0.09375,0.13370473537604458,0.5104067316045932,0.09732968270126824,0.005968119664576566,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6824589483439922,0.8815104166666666,0.052083333333333336,0.6834866404533386,0.977321574149559,0.2549019607843137,0.1015625,0.1452513966480447,0.5082578071881847,0.09853420379530763,0.005741482208959734,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49975448846817017,3394160,0.9778403616690136,0.25842696629213485,0.08984375,0.13333333333333333,0.5082578071881847,0.09853420379530763,0.004986024023570295,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6811584308743477,0.8841145833333334,0.0481283422459893,0.6819175481796265,0.9777662491662343,0.26595744680851063,0.09765625,0.14285714285714285,0.5012619988007101,0.098091030434944,0.005212661479187127,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49963608384132385,3394160,0.9787297117023642,0.29333333333333333,0.0859375,0.13293051359516617,0.5012619988007101,0.098091030434944,0.004003928382564025,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6799666006118059,0.8857421875,0.04878048780487805,0.6803151369094849,0.9783591491884681,0.2857142857142857,0.09375,0.1411764705882353,0.4939901235646294,0.09869923809993104,0.004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49949172139167786,3394160,0.9798413992440524,0.3620689655172414,0.08203125,0.1337579617834395,0.4939901235646294,0.09869923809993104,0.002795195285940923,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6790019646286964,0.88671875,0.04918032786885246,0.6786810755729675,0.9799896242496109,0.3793103448275862,0.0859375,0.14012738853503184,0.48638139070408704,0.09708576830774211,0.0027196494674019793,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4998345375061035,3394160,0.9807307492774031,0.45454545454545453,0.078125,0.13333333333333333,0.48638139070408704,0.09708576830774211,0.0018130996449346529,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
