round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.68913970717362,0.7216796875,0.1833810888252149,0.6918719410896301,0.9829541243607797,0.9642857142857143,0.10546875,0.19014084507042253,0.44746363767281105,0.13227053797651286,7.554581853894387e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017939209938049,3394160,0.7975987549099534,0.020905923344947737,0.2109375,0.03804156393096161,0.44746363767281105,0.13227053797651286,0.19105537508498904,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6878208160400391,0.8277994791666666,0.17984496124031008,0.6907268762588501,0.9812495367968577,0.5263157894736842,0.1171875,0.19169329073482427,0.45837218827906623,0.13117458100390755,0.0020397371005514845,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011765360832214,3394160,0.9071370340176388,0.035414725069897485,0.1484375,0.05718585402558315,0.45837218827906623,0.13117458100390755,0.0781899221878069,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6867495285613197,0.8714192708333334,0.1394335511982571,0.6893290877342224,0.982064774327429,0.6666666666666666,0.109375,0.18791946308724833,0.4799298958412027,0.12526224168831085,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011473894119263,3394160,0.9537537982657674,0.07990867579908675,0.13671875,0.10086455331412104,0.4799298958412027,0.12526224168831085,0.03044496487119438,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6853639883654459,0.8889973958333334,0.09549071618037135,0.6878048181533813,0.9817683243163121,0.6086956521739131,0.109375,0.18543046357615894,0.49603782838822996,0.12250049072069276,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500935971736908,3394160,0.9730230489883643,0.1746987951807229,0.11328125,0.13744075829383887,0.49603782838822996,0.12250049072069276,0.010349777139835311,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6843015334435871,0.8955078125,0.0641399416909621,0.6862173676490784,0.9796190617357148,0.37662337662337664,0.11328125,0.17417417417417416,0.5049379225844225,0.11947225029718217,0.0036261992898693057,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004553198814392,3394160,0.9775439116578967,0.2761904761904762,0.11328125,0.16066481994459833,0.5049379225844225,0.11947225029718217,0.005741482208959734,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6830640660864966,0.8987630208333334,0.0547112462006079,0.6846112012863159,0.980360186763507,0.42857142857142855,0.10546875,0.16927899686520376,0.5064454452953842,0.1177793773486951,0.0027196494674019793,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004034042358398,3394160,0.9785814866968058,0.3146067415730337,0.109375,0.16231884057971013,0.5064454452953842,0.1177793773486951,0.004608294930875576,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6816298791340419,0.9013671875,0.050156739811912224,0.6829840540885925,0.9808789742829616,0.48148148148148145,0.1015625,0.16774193548387098,0.5033471814327264,0.11696693433292478,0.0021152829190904283,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5002956986427307,3394160,0.9796190617357148,0.3698630136986301,0.10546875,0.1641337386018237,0.5033471814327264,0.11696693433292478,0.003475107652791418,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6803207844495773,0.9033203125,0.051118210862619806,0.6813139319419861,0.9818424368190913,0.6410256410256411,0.09765625,0.1694915254237288,0.4997078501548689,0.11643956298402264,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5003209114074707,3394160,0.9808048617801823,0.4716981132075472,0.09765625,0.16181229773462782,0.4997078501548689,0.11643956298402264,0.0021152829190904283,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6791644458259856,0.9052734375,0.05211726384364821,0.6796301007270813,0.9818424368190913,0.6410256410256411,0.09765625,0.1694915254237288,0.4932587160988139,0.11579109193903027,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001423954963684,3394160,0.9817683243163121,0.625,0.09765625,0.16891891891891891,0.4932587160988139,0.11579109193903027,0.001133187278084158,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6779631716864449,0.9072265625,0.053156146179401995,0.6779190301895142,0.9811754242940784,0.5208333333333334,0.09765625,0.16447368421052633,0.4868746517809927,0.11376669133520712,0.001737553826395709,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4994296431541443,3394160,0.9816942118135329,0.6363636363636364,0.08203125,0.1453287197231834,0.4868746517809927,0.11376669133520712,0.0009065498224673264,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
