round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6888141704457147,0.76953125,0.14903846153846154,0.6916999220848083,0.982731786852442,0.7446808510638298,0.13671875,0.23102310231023102,0.44053806328850953,0.1555595643465416,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5014885663986206,3394160,0.8263544059882902,0.02546612096407458,0.21875,0.04562118126272913,0.44053806328850953,0.1555595643465416,0.16189468912895671,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6872045261519296,0.8821614583333334,0.16972477064220184,0.6904333829879761,0.9831023493663381,0.8181818181818182,0.140625,0.24,0.44938090791909047,0.1556110821334134,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011945962905884,3394160,0.9261098347291188,0.05090909090909091,0.1640625,0.07770582793709528,0.44938090791909047,0.1556110821334134,0.05915237591599305,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6859035385506493,0.9212239583333334,0.14788732394366197,0.6889129281044006,0.982731786852442,0.7555555555555555,0.1328125,0.22591362126245848,0.4679895251000982,0.15034230202076634,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5009205937385559,3394160,0.9650188986882087,0.13013698630136986,0.1484375,0.1386861313868613,0.4679895251000982,0.15034230202076634,0.019188637908891745,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6842566911663328,0.931640625,0.10256410256410256,0.6872604489326477,0.9819906618246498,0.6274509803921569,0.125,0.20846905537459284,0.4846993158381808,0.143517278163874,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5007110834121704,3394160,0.9768768991328837,0.2777777777777778,0.13671875,0.18324607329842932,0.4846993158381808,0.143517278163874,0.006874669487043892,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6827014054570879,0.9352213541666666,0.07441860465116279,0.6855404376983643,0.9822871118357667,0.6976744186046512,0.1171875,0.20066889632107024,0.49158490405681043,0.13933566857763224,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500675618648529,3394160,0.9789520492107019,0.34782608695652173,0.125,0.1839080459770115,0.49158490405681043,0.13933566857763224,0.004532749112336632,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6810832764421191,0.939453125,0.07920792079207921,0.6837866902351379,0.9805825242718447,0.45714285714285713,0.125,0.19631901840490798,0.4919238273872479,0.13431630685883383,0.002870741104479867,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000157952308655,3394160,0.9804342992662862,0.4444444444444444,0.125,0.1951219512195122,0.4919238273872479,0.13431630685883383,0.0030218327415577548,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6798239013978413,0.9427083333333334,0.08333333333333333,0.6820172667503357,0.9791743867190394,0.3595505617977528,0.125,0.1855072463768116,0.4872120996071618,0.13039792690461216,0.0043061116567198006,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4992522597312927,3394160,0.9814718743051953,0.56,0.109375,0.1830065359477124,0.4872120996071618,0.13039792690461216,0.0016620080078567651,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6781496507780893,0.943359375,0.08421052631578947,0.680213987827301,0.9824353368413251,0.7878787878787878,0.1015625,0.17993079584775087,0.480382580550729,0.12737670580758742,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001864433288574,3394160,0.982064774327429,0.6842105263157895,0.1015625,0.17687074829931973,0.480382580550729,0.12737670580758742,0.0009065498224673264,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6767214144979204,0.943359375,0.07446808510638298,0.6783793568611145,0.9825835618468836,0.8387096774193549,0.1015625,0.18118466898954705,0.47291239754098363,0.12423114890077927,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500359833240509,3394160,0.9825094493441043,0.8125,0.1015625,0.18055555555555555,0.47291239754098363,0.12423114890077927,0.0004532749112336632,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6752674021891185,0.9430338541666666,0.06417112299465241,0.6765084266662598,0.9826576743496628,0.8666666666666667,0.1015625,0.18181818181818182,0.4652838929232454,0.12148299236055496,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001470446586609,3394160,0.9825835618468836,0.8387096774193549,0.1015625,0.18118466898954705,0.4652838929232454,0.12148299236055496,0.00037772909269471935,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
