round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6887233815022877,0.7692057291666666,0.12360939431396786,0.6916581988334656,0.983398799377455,0.8636363636363636,0.1484375,0.25333333333333335,0.439412253531767,0.1706077885257345,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501551628112793,3394160,0.833395093752316,0.027962085308056873,0.23046875,0.049873203719357564,0.439412253531767,0.1706077885257345,0.15494447382337387,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.687296866944858,0.8844401041666666,0.1686182669789227,0.6903841495513916,0.9831764618691173,0.7843137254901961,0.15625,0.26058631921824105,0.44619721235929594,0.17267140548162055,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010638236999512,3394160,0.9304824723930927,0.05829015544041451,0.17578125,0.08754863813229571,0.44619721235929594,0.17267140548162055,0.054921810077812196,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6856557875871658,0.9231770833333334,0.1510791366906475,0.6888652443885803,0.9834729118802342,0.8837209302325582,0.1484375,0.25418060200668896,0.4635588808831307,0.16701033377222507,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5009753704071045,3394160,0.9673904987771437,0.15671641791044777,0.1640625,0.16030534351145037,0.4635588808831307,0.16701033377222507,0.017073354989801316,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6840888964278358,0.9375,0.1111111111111111,0.6872212290763855,0.9832505743718966,0.8571428571428571,0.140625,0.24161073825503357,0.47923050681801005,0.16442516500096016,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500812292098999,3394160,0.9777662491662343,0.31666666666666665,0.1484375,0.20212765957446807,0.47923050681801005,0.16442516500096016,0.006194757120193397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6826031578438623,0.9459635416666666,0.11702127659574468,0.6855084896087646,0.9832505743718966,0.8571428571428571,0.140625,0.24161073825503357,0.4846107855820806,0.1628935867820578,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5007027983665466,3394160,0.9800637367523901,0.42528735632183906,0.14453125,0.21574344023323616,0.4846107855820806,0.1628935867820578,0.0037772909269471935,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6810870617628098,0.9485677083333334,0.11235955056179775,0.6837647557258606,0.9829541243607797,0.782608695652174,0.140625,0.23841059602649006,0.48375499310644404,0.16266423334178776,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004199743270874,3394160,0.9818424368190913,0.5873015873015873,0.14453125,0.23197492163009403,0.48375499310644404,0.16266423334178776,0.0019641912820125406,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6796501121350698,0.9498697916666666,0.11494252873563218,0.6819943189620972,0.9828800118580004,0.7659574468085106,0.140625,0.2376237623762376,0.47996501284278914,0.1630724446498079,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000739097595215,3394160,0.9825094493441043,0.6923076923076923,0.140625,0.23376623376623376,0.47996501284278914,0.1630724446498079,0.001208733096623102,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6780510740620749,0.9505208333333334,0.11627906976744186,0.6801820397377014,0.9830282368635589,0.813953488372093,0.13671875,0.23411371237458195,0.4740575364036413,0.16185769329021268,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000731945037842,3394160,0.9830282368635589,0.813953488372093,0.13671875,0.23411371237458195,0.4740575364036413,0.16185769329021268,0.000604366548311551,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6764274226767676,0.9498697916666666,0.09411764705882353,0.6783430576324463,0.9831764618691173,0.8536585365853658,0.13671875,0.2356902356902357,0.46867430663103427,0.16173948717324593,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999735355377197,3394160,0.9830282368635589,0.8461538461538461,0.12890625,0.22372881355932203,0.46867430663103427,0.16173948717324593,0.0004532749112336632,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6750833238874163,0.9505208333333334,0.08433734939759036,0.6764667630195618,0.9831764618691173,0.8536585365853658,0.13671875,0.2356902356902357,0.46291792182896424,0.16045184584160482,0.0004532749112336632,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49956175684928894,3394160,0.9830282368635589,0.8461538461538461,0.12890625,0.22372881355932203,0.46291792182896424,0.16045184584160482,0.0004532749112336632,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
