round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6893894653767347,0.6530898876404494,0.2537764350453172,0.6921499371528625,0.9675411293908404,0.09821428571428571,0.08527131782945736,0.0912863070539419,0.46082624086060797,0.05571747309611655,0.015261408280447265,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011640191078186,3394160,0.7434415295686972,0.019784172661870502,0.2558139534883721,0.03672787979966611,0.46082624086060797,0.05571747309611655,0.2470534904805077,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6887358278036118,0.75,0.23714285714285716,0.6912083625793457,0.9751000444642063,0.14545454545454545,0.06201550387596899,0.08695652173913043,0.47219996673390163,0.056806334124601426,0.007101843457237836,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010602474212646,3394160,0.8672002371424337,0.024783147459727387,0.15503875968992248,0.042735042735042736,0.47219996673390163,0.056806334124601426,0.11891810214566334,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6879046093672514,0.7893258426966292,0.16974169741697417,0.690009593963623,0.9713946939380466,0.11904761904761904,0.07751937984496124,0.09389671361502347,0.49898620393992427,0.05631377455263682,0.01118162586884255,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5007361173629761,3394160,0.925300133392619,0.032418952618453865,0.10077519379844961,0.04905660377358491,0.49898620393992427,0.05631377455263682,0.05862798428528256,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6872978061437607,0.8075842696629213,0.13107822410147993,0.6886786222457886,0.9743589743589743,0.15625,0.07751937984496124,0.10362694300518134,0.5179484656597815,0.05830627489865858,0.008159564823209429,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5006515383720398,3394160,0.9574625759596858,0.06111111111111111,0.08527131782945736,0.07119741100323625,0.5179484656597815,0.05830627489865858,0.02553641583559988,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.686117185279727,0.8146067415730337,0.08755760368663594,0.6873079538345337,0.9756929005483919,0.18181818181818182,0.07751937984496124,0.10869565217391304,0.5281672488233875,0.05911249162458422,0.006799637352674524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500443160533905,3394160,0.9679857714539796,0.09345794392523364,0.07751937984496124,0.0847457627118644,0.5281672488233875,0.05911249162458422,0.01465699607132064,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6852538120001554,0.8220973782771536,0.06862745098039216,0.6859586834907532,0.9764339706536238,0.2,0.07751937984496124,0.11173184357541899,0.5323079409925011,0.05878415033892237,0.0060441220912662436,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004451870918274,3394160,0.973469690232696,0.14285714285714285,0.07751937984496124,0.10050251256281408,0.5323079409925011,0.05878415033892237,0.009066183136899365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.684616707265377,0.825374531835206,0.06982543640897755,0.6845842003822327,0.9755446865273455,0.17857142857142858,0.07751937984496124,0.10810810810810811,0.5310686616954934,0.060650326786504574,0.00695074040495618,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49998605251312256,3394160,0.9753964725062991,0.16363636363636364,0.06976744186046512,0.09782608695652174,0.5310686616954934,0.060650326786504574,0.00695074040495618,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6837035547941923,0.825374531835206,0.05569620253164557,0.6831822991371155,0.9756929005483919,0.18181818181818182,0.07751937984496124,0.10869565217391304,0.5300144543539934,0.06141999264821676,0.006799637352674524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49995243549346924,3394160,0.9755446865273455,0.16666666666666666,0.06976744186046512,0.09836065573770492,0.5300144543539934,0.06141999264821676,0.006799637352674524,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6828259341418743,0.827247191011236,0.056265984654731455,0.6817765235900879,0.9773232547799022,0.21428571428571427,0.06976744186046512,0.10526315789473684,0.5223310398466948,0.06367522358935465,0.004986400725294651,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001678466796875,3394160,0.9762857566325774,0.1836734693877551,0.06976744186046512,0.10112359550561797,0.5223310398466948,0.06367522358935465,0.0060441220912662436,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6821015477180481,0.8286516853932584,0.05670103092783505,0.6803078651428223,0.9710982658959537,0.13333333333333333,0.09302325581395349,0.1095890410958904,0.5134505143360484,0.05915304968741161,0.011786038077969175,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49866223335266113,3394160,0.9770268267378094,0.175,0.05426356589147287,0.08284023668639054,0.5134505143360484,0.05915304968741161,0.004986400725294651,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
