round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6890310179442167,0.7102864583333334,0.21516754850088182,0.6919322609901428,0.9820661034533867,0.7222222222222222,0.10077519379844961,0.17687074829931973,0.45206929187721534,0.11696438104180878,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017035603523254,3394160,0.7870164517563362,0.019823788546255508,0.20930232558139536,0.03621730382293763,0.45206929187721534,0.11696438104180878,0.20172257479601088,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6879374422132969,0.8160807291666666,0.20534458509142053,0.690815269947052,0.9819178894323403,0.7058823529411765,0.09302325581395349,0.1643835616438356,0.46261839334115795,0.1102062308703975,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015810132026672,3394160,0.9026233881725211,0.03356890459363958,0.14728682170542637,0.05467625899280575,0.46261839334115795,0.1102062308703975,0.08265336959806588,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6868000775575638,0.8616536458333334,0.15169660678642716,0.6894505023956299,0.9813250333481547,0.5714285714285714,0.09302325581395349,0.16,0.48734248385305756,0.10351730675091889,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011880397796631,3394160,0.9493108048021343,0.0653061224489796,0.12403100775193798,0.0855614973262032,0.48734248385305756,0.10351730675091889,0.034602598972499246,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6855997759848833,0.8756510416666666,0.09905660377358491,0.687963604927063,0.9771750407588558,0.2641509433962264,0.10852713178294573,0.15384615384615385,0.5048710235884749,0.10190664830377685,0.0058930190389845875,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5004239678382874,3394160,0.9705054098117681,0.14285714285714285,0.10852713178294573,0.12334801762114538,0.5048710235884749,0.10190664830377685,0.012692656391659111,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6844170577824116,0.8824869791666666,0.06718346253229975,0.686423122882843,0.9767303986957167,0.25,0.10852713178294573,0.15135135135135136,0.514077767704241,0.09699561916101518,0.006346328195829556,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000380277633667,3394160,0.9765821846746702,0.24561403508771928,0.10852713178294573,0.15053763440860216,0.514077767704241,0.09699561916101518,0.006497431248111212,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6831982582807541,0.8860677083333334,0.05913978494623656,0.6848649978637695,0.9819178894323403,0.7333333333333333,0.08527131782945736,0.1527777777777778,0.5155161750546431,0.09817083022511755,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011469721794128,3394160,0.9774714688009486,0.2653061224489796,0.10077519379844961,0.14606741573033707,0.5155161750546431,0.09817083022511755,0.005439709882139619,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.682216789573431,0.8880208333333334,0.054945054945054944,0.6832902431488037,0.9819178894323403,0.7333333333333333,0.08527131782945736,0.1527777777777778,0.510436067010104,0.0963425919427151,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010746717453003,3394160,0.9783607529272269,0.2926829268292683,0.09302325581395349,0.1411764705882353,0.510436067010104,0.0963425919427151,0.004381988516168027,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6808507926762104,0.8893229166666666,0.05555555555555555,0.6816832423210144,0.9793982510745517,0.3611111111111111,0.10077519379844961,0.15757575757575756,0.5026771009766646,0.09597373591360588,0.00347537020247809,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999023377895355,3394160,0.9792500370535052,0.3333333333333333,0.08527131782945736,0.13580246913580246,0.5026771009766646,0.09597373591360588,0.003324267150196434,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6796536203473806,0.8909505208333334,0.056338028169014086,0.6800388097763062,0.9799911071587372,0.40625,0.10077519379844961,0.16149068322981366,0.49447712487203094,0.09507280081715314,0.0028709579933514657,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49977004528045654,3394160,0.9804357492218764,0.44,0.08527131782945736,0.14285714285714285,0.49447712487203094,0.09507280081715314,0.0021154427319431852,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6785555630922318,0.890625,0.056179775280898875,0.6783609390258789,0.9808803912850156,0.5,0.09302325581395349,0.1568627450980392,0.48630350395093486,0.09438977876614428,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4997096657752991,3394160,0.9808803912850156,0.5,0.07751937984496124,0.1342281879194631,0.48630350395093486,0.09438977876614428,0.0015110305228165609,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
