round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.68892434053123,0.7314453125,0.19196865817825662,0.6918375492095947,0.9826589595375722,0.875,0.10852713178294573,0.19310344827586207,0.4475467423821806,0.13158865434314654,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017045140266418,3394160,0.8036164221135319,0.022364217252396165,0.21705426356589147,0.04055032585083273,0.4475467423821806,0.13158865434314654,0.18495013599274707,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6876587364822626,0.8470052083333334,0.21140939597315436,0.6906667947769165,0.9807321772639692,0.4838709677419355,0.11627906976744186,0.1875,0.4567113182042867,0.13008728925444119,0.0024176488365064974,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501132071018219,3394160,0.9113680154142582,0.03747534516765286,0.14728682170542637,0.059748427672955975,0.4567113182042867,0.13008728925444119,0.07373828951344817,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6864095516502857,0.8876953125,0.15647921760391198,0.6892424821853638,0.981028605306062,0.5172413793103449,0.11627906976744186,0.189873417721519,0.47966199769948537,0.1266642488794868,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5009145140647888,3394160,0.9576107899807321,0.08900523560209424,0.13178294573643412,0.10625,0.47966199769948537,0.1266642488794868,0.02629193109700816,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6850032061338425,0.8987630208333334,0.09329446064139942,0.6876901984214783,0.9816214613902475,0.6086956521739131,0.10852713178294573,0.18421052631578946,0.497018350235791,0.12334105683780291,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5009152889251709,3394160,0.9731732621906032,0.19047619047619047,0.12403100775193798,0.15023474178403756,0.497018350235791,0.12334105683780291,0.010275007555152614,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6835971791297197,0.9055989583333334,0.08227848101265822,0.6860652565956116,0.9807321772639692,0.4827586206896552,0.10852713178294573,0.17721518987341772,0.5087112666652611,0.12357488401183914,0.0022665457842248413,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5006431341171265,3394160,0.976878612716763,0.2631578947368421,0.11627906976744186,0.16129032258064516,0.5087112666652611,0.12357488401183914,0.006346328195829556,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6823070533573627,0.9085286458333334,0.0664451827242525,0.6844245791435242,0.9814732473692012,0.5833333333333334,0.10852713178294573,0.1830065359477124,0.5110955322692867,0.12096710583724939,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5005060434341431,3394160,0.9779161108640877,0.2916666666666667,0.10852713178294573,0.15819209039548024,0.5110955322692867,0.12096710583724939,0.005137503777576307,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6812344416975975,0.912109375,0.06896551724137931,0.682766318321228,0.9822143174744331,0.7647058823529411,0.10077519379844961,0.1780821917808219,0.5078883992681458,0.12005446113816517,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5006638765335083,3394160,0.9793982510745517,0.3684210526315789,0.10852713178294573,0.16766467065868262,0.5078883992681458,0.12005446113816517,0.003626473254759746,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6798521038144827,0.9127604166666666,0.06293706293706294,0.6810781359672546,0.9816214613902475,0.6086956521739131,0.10852713178294573,0.18421052631578946,0.5016141085739855,0.11939412819976167,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5000779032707214,3394160,0.9813250333481547,0.56,0.10852713178294573,0.18181818181818182,0.5016141085739855,0.11939412819976167,0.001662133575098217,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6783172115683556,0.9134114583333334,0.06338028169014084,0.6793596744537354,0.9782125389061805,0.32,0.12403100775193798,0.1787709497206704,0.49344165899437986,0.11482320519497104,0.005137503777576307,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49875664710998535,3394160,0.9816214613902475,0.631578947368421,0.09302325581395349,0.16216216216216217,0.49344165899437986,0.11482320519497104,0.0010577213659715926,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6773327402770519,0.9130859375,0.06315789473684211,0.6776112914085388,0.9792500370535052,0.36585365853658536,0.11627906976744186,0.17647058823529413,0.48541562710109376,0.11299147321725635,0.003928679359323058,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4988190531730652,3394160,0.9814732473692012,0.625,0.07751937984496124,0.13793103448275862,0.48541562710109376,0.11299147321725635,0.0009066183136899365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
