round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6889409720897675,0.759765625,0.15753424657534246,0.6917122602462769,0.9817696754112939,0.59375,0.14728682170542637,0.2360248447204969,0.4432473334410968,0.1590671976244152,0.001964339679661529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5013793110847473,3394160,0.8276270935230473,0.026556776556776556,0.2248062015503876,0.0475020475020475,0.4432473334410968,0.1590671976244152,0.16062254457540043,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6873997617512941,0.8815104166666666,0.19111111111111112,0.6904551386833191,0.9825107455165258,0.7391304347826086,0.13178294573643412,0.2236842105263158,0.45272231475819996,0.15597421174521048,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010985732078552,3394160,0.9273751296872684,0.052109181141439205,0.16279069767441862,0.07894736842105263,0.45272231475819996,0.15597421174521048,0.05772136597159263,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6859756447374821,0.9208984375,0.15916955017301038,0.6889607310295105,0.982955387579665,0.8888888888888888,0.12403100775193798,0.21768707482993196,0.4739786487873101,0.15008103547887086,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5011240839958191,3394160,0.9656143471172373,0.13986013986013987,0.15503875968992248,0.14705882352941177,0.4739786487873101,0.15008103547887086,0.0185856754306437,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6842112485319376,0.9303385416666666,0.144,0.6873383522033691,0.9813250333481547,0.5483870967741935,0.13178294573643412,0.2125,0.4899124070833363,0.14645196183152848,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5005760788917542,3394160,0.976878612716763,0.2786885245901639,0.13178294573643412,0.17894736842105263,0.4899124070833363,0.14645196183152848,0.006648534300392868,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6830389089882374,0.9352213541666666,0.11555555555555555,0.6856483221054077,0.9814732473692012,0.5666666666666667,0.13178294573643412,0.2138364779874214,0.4985358231368056,0.1439284217589526,0.001964339679661529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5003271102905273,3394160,0.9798428931376908,0.4146341463414634,0.13178294573643412,0.2,0.4985358231368056,0.1439284217589526,0.003626473254759746,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6814068127423525,0.9365234375,0.08450704225352113,0.6839205026626587,0.9819178894323403,0.6296296296296297,0.13178294573643412,0.21794871794871795,0.4995589899288059,0.14437766488650103,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5001886487007141,3394160,0.981028605306062,0.5151515151515151,0.13178294573643412,0.20987654320987653,0.4995589899288059,0.14437766488650103,0.0024176488365064974,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6799975130707026,0.9391276041666666,0.08780487804878048,0.6821739673614502,0.9822143174744331,0.68,0.13178294573643412,0.22077922077922077,0.49540482733255087,0.1434938884378163,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4999793767929077,3394160,0.9820661034533867,0.6666666666666666,0.12403100775193798,0.20915032679738563,0.49540482733255087,0.1434938884378163,0.0012088244182532487,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6783980578184128,0.9391276041666666,0.08780487804878048,0.6803995966911316,0.9822143174744331,0.68,0.13178294573643412,0.22077922077922077,0.4897419768964605,0.14456388602710352,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4997161328792572,3394160,0.9822143174744331,0.7142857142857143,0.11627906976744186,0.2,0.4897419768964605,0.14456388602710352,0.0009066183136899365,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6770702414214611,0.9397786458333334,0.08866995073891626,0.6785971522331238,0.9817696754112939,0.6071428571428571,0.13178294573643412,0.21656050955414013,0.4822776032478957,0.14349084017781538,0.001662133575098217,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49910038709640503,3394160,0.9823625314954795,0.7777777777777778,0.10852713178294573,0.19047619047619047,0.4822776032478957,0.14349084017781538,0.0006044122091266244,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6756915263831615,0.9404296875,0.08955223880597014,0.6767560839653015,0.9808803912850156,0.5,0.13178294573643412,0.2085889570552147,0.47521090003537453,0.1403279453086898,0.0025687518887881535,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49836239218711853,3394160,0.9823625314954795,0.7777777777777778,0.10852713178294573,0.19047619047619047,0.47521090003537453,0.1403279453086898,0.0006044122091266244,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
