round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.6888075798749924,0.767578125,0.10972568578553615,0.6916311979293823,0.9835482436638506,0.9090909090909091,0.15503875968992248,0.26490066225165565,0.4401450355033606,0.17066229856423745,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015998482704163,3394160,0.8359270787016452,0.030710172744721688,0.24806201550387597,0.05465414175918019,0.4401450355033606,0.17066229856423745,0.15261408280447264,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.6870859312159674,0.8880208333333334,0.14427860696517414,0.690308690071106,0.9832518156217578,0.8076923076923077,0.16279069767441862,0.2709677419354839,0.4500545845134598,0.17529704588182488,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010256171226501,3394160,0.9331554765080776,0.0625,0.17829457364341086,0.0925553319919517,0.4500545845134598,0.17529704588182488,0.05213055303717135,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.685479365502085,0.9280598958333334,0.11952191235059761,0.6887211203575134,0.9834000296428043,0.9047619047619048,0.14728682170542637,0.25333333333333335,0.4742275588540532,0.17001968472963144,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010208487510681,3394160,0.9670964873277011,0.16058394160583941,0.17054263565891473,0.16541353383458646,0.4742275588540532,0.17001968472963144,0.017376851012390452,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6839580867971693,0.9404296875,0.09852216748768473,0.6870041489601135,0.9834000296428043,0.9473684210526315,0.13953488372093023,0.24324324324324326,0.4940583702891574,0.1682224757673011,0.0001511030522816561,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5010751485824585,3394160,0.977619682821995,0.3225806451612903,0.15503875968992248,0.2094240837696335,0.4940583702891574,0.1682224757673011,0.006346328195829556,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6822497363601412,0.9449869791666666,0.06629834254143646,0.6852235198020935,0.9832518156217578,0.9,0.13953488372093023,0.24161073825503357,0.5014852610100243,0.16717702852863858,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500969409942627,3394160,0.9799911071587372,0.4318181818181818,0.14728682170542637,0.21965317919075145,0.5014852610100243,0.16717702852863858,0.0037775763070414022,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6807156737361635,0.9495442708333334,0.06060606060606061,0.6834143996238708,0.9832518156217578,0.9,0.13953488372093023,0.24161073825503357,0.50222496316131,0.1685795164206461,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.500750720500946,3394160,0.9814732473692012,0.5588235294117647,0.14728682170542637,0.2331288343558282,0.50222496316131,0.1685795164206461,0.0022665457842248413,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6792853214911052,0.9498697916666666,0.04938271604938271,0.6815736293792725,0.9823625314954795,0.6785714285714286,0.14728682170542637,0.24203821656050956,0.49924799876306336,0.169880732406975,0.0013599274705349048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49995505809783936,3394160,0.9822143174744331,0.6666666666666666,0.13953488372093023,0.23076923076923078,0.49924799876306336,0.169880732406975,0.0013599274705349048,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6777767820017679,0.9501953125,0.049689440993788817,0.6797006130218506,0.9825107455165258,0.7037037037037037,0.14728682170542637,0.24358974358974358,0.4923868659821347,0.16932229745832555,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49991798400878906,3394160,0.9825107455165258,0.72,0.13953488372093023,0.23376623376623376,0.4923868659821347,0.16932229745832555,0.0010577213659715926,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6760107772690909,0.9514973958333334,0.06289308176100629,0.6777922511100769,0.9826589595375722,0.7307692307692307,0.14728682170542637,0.24516129032258063,0.4839414938352298,0.16815867459445122,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.49955615401268005,3394160,0.9823625314954795,0.75,0.11627906976744186,0.20134228187919462,0.4839414938352298,0.16815867459445122,0.0007555152614082804,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6743952380759375,0.9514973958333334,0.050955414012738856,0.6758447885513306,0.9807321772639692,0.4883720930232558,0.16279069767441862,0.2441860465116279,0.47478746008653866,0.16598097976548584,0.003324267150196434,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.4980422854423523,3394160,0.9826589595375722,0.8333333333333334,0.11627906976744186,0.20408163265306123,0.47478746008653866,0.16598097976548584,0.00045330915684496827,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
