round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7010816056281328,0.484375,0.33277169334456613,0.6936165690422058,0.9884418759724383,0.7786885245901639,0.42410714285714285,0.5491329479768786,0.8093074286144804,0.46561205275016004,0.002034204776614179,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043600797653198,3143280,0.4692894717344595,0.026218762802130275,0.8571428571428571,0.05088114482575858,0.8093074286144804,0.46561205275016004,0.5372560837791004,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.700127363204956,0.7532552083333334,0.3817292006525285,0.6916783452033997,0.989034600281544,0.8333333333333334,0.42410714285714285,0.5621301775147929,0.8021424737114011,0.4826917016831708,0.001431477435395163,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037412047386169,3143280,0.81810772764318,0.060653800708940525,0.6875,0.11147303655446977,0.8021424737114011,0.4826917016831708,0.17968808860091917,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6990754026919603,0.8138020833333334,0.35585585585585583,0.6902425289154053,0.9897755056679262,0.9056603773584906,0.42857142857142855,0.5818181818181818,0.7941094165384077,0.49180150692593316,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031788945198059,3143280,0.9147217900274135,0.115990057995029,0.625,0.19566736547868624,0.7941094165384077,0.49180150692593316,0.08038875913508627,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6974129509180784,0.8297526041666666,0.318122555410691,0.6890437602996826,0.9897755056679262,0.9134615384615384,0.42410714285714285,0.5792682926829268,0.7921999951566553,0.4943340323935885,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031170845031738,3143280,0.9482848040305253,0.1771117166212534,0.5803571428571429,0.27139874739039666,0.7921999951566553,0.4943340323935885,0.045505914262035714,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6968240290880203,0.8343098958333334,0.3017832647462277,0.6879408359527588,0.9895532340520116,0.8952380952380953,0.41964285714285715,0.5714285714285714,0.7909968948778939,0.49356438080552567,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030483603477478,3143280,0.9614729199081278,0.22893772893772893,0.5580357142857143,0.3246753246753247,0.7909968948778939,0.49356438080552567,0.03171852633165072,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6954283192753792,0.8401692708333334,0.3015647226173542,0.6868513226509094,0.9894791435133733,0.9019607843137255,0.4107142857142857,0.5644171779141104,0.790578147366835,0.49053090557143836,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032361745834351,3143280,0.9654738089945913,0.24791666666666667,0.53125,0.3380681818181818,0.790578147366835,0.49053090557143836,0.0271980712725081,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6943952292203903,0.8411458333333334,0.2947976878612717,0.685766339302063,0.9892568718974587,0.8761904761904762,0.4107142857142857,0.5592705167173252,0.789511097986245,0.4854190082763878,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034657120704651,3143280,0.9668815292287175,0.2591792656587473,0.5357142857142857,0.34934497816593885,0.789511097986245,0.4854190082763878,0.025841934754765313,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930783223360777,0.8421223958333334,0.2940320232896652,0.684698224067688,0.989034600281544,0.8584905660377359,0.40625,0.5515151515151515,0.7886086886913283,0.480185892906551,0.001130113764785655,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037320852279663,3143280,0.965696080610506,0.2525879917184265,0.5446428571428571,0.3451202263083451,0.7886086886913283,0.480185892906551,0.0271980712725081,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.692230686545372,0.8411458333333334,0.2968299711815562,0.6836404800415039,0.9885159665110765,0.8,0.4107142857142857,0.5427728613569321,0.7880525449085685,0.47310182223204433,0.0017328411060046711,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503883957862854,3143280,0.9633992739127214,0.23735408560311283,0.5446428571428571,0.33062330623306235,0.7880525449085685,0.47310182223204433,0.029533639719731785,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6908020358532667,0.8404947916666666,0.301994301994302,0.6825783252716064,0.9887382381269911,0.8461538461538461,0.39285714285714285,0.5365853658536586,0.7870953116423243,0.465226436589623,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049554705619812,3143280,0.9607320145217456,0.22382671480144403,0.5535714285714286,0.31876606683804626,0.7870953116423243,0.465226436589623,0.03239659459052211,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
