round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7045801151543856,0.494140625,0.2557471264367816,0.6933525800704956,0.9892568718974587,0.8211382113821138,0.45089285714285715,0.5821325648414986,0.8244877826629786,0.49938931628911476,0.0016575001883522942,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045962333679199,3143280,0.5321182484996666,0.029507183686080643,0.8526785714285714,0.05704046588024488,0.8244877826629786,0.49938931628911476,0.47329164469223234,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7029293905943632,0.7975260416666666,0.33261802575107297,0.6912522912025452,0.9899977772838409,0.908256880733945,0.4419642857142857,0.5945945945945946,0.8180158632992864,0.511416221351046,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039716958999634,3143280,0.8538193672668001,0.0748663101604278,0.6875,0.13502849627356422,0.8180158632992864,0.511416221351046,0.14337376629247345,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7015176862478256,0.8541666666666666,0.3128834355828221,0.6896496415138245,0.9901459583611173,0.8956521739130435,0.45982142857142855,0.6076696165191741,0.80617556720948,0.5170828782994303,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030010342597961,3143280,0.933096243609691,0.14450261780104712,0.6160714285714286,0.2340966921119593,0.80617556720948,0.5170828782994303,0.06155352972199201,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.69922617636621,0.8701171875,0.2912966252220249,0.6882869005203247,0.9902200488997555,0.9107142857142857,0.45535714285714285,0.6071428571428571,0.8016689022290149,0.5179493943699237,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029401183128357,3143280,0.9624360969104245,0.24225865209471767,0.59375,0.34411384217335056,0.8016689022290149,0.5179493943699237,0.031341821743388835,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.698006022721529,0.8805338541666666,0.28180039138943247,0.6869942545890808,0.9901459583611173,0.9026548672566371,0.45535714285714285,0.6053412462908012,0.7988782611854356,0.5150429870941632,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027098655700684,3143280,0.9703637845447136,0.28846153846153844,0.5357142857142857,0.375,0.7988782611854356,0.5150429870941632,0.022300911625103594,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6968244444578886,0.8850911458333334,0.2751540041067762,0.68569415807724,0.990071867822479,0.9017857142857143,0.45089285714285715,0.6011904761904762,0.7974023864235666,0.5102089985453656,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026606917381287,3143280,0.9742905830925391,0.3286908077994429,0.5267857142857143,0.40480274442538594,0.7974023864235666,0.5102089985453656,0.018157161154222858,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6945880278944969,0.8863932291666666,0.2774327122153209,0.6844223737716675,0.9897755056679262,0.8839285714285714,0.4419642857142857,0.5892857142857143,0.7966950562904285,0.5044510904934328,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028709769248962,3143280,0.9748833074016449,0.335243553008596,0.5223214285714286,0.4083769633507853,0.7966950562904285,0.5044510904934328,0.017479092895351465,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6934959962964058,0.8860677083333334,0.27385892116182575,0.68313068151474,0.9889605097429058,0.7952755905511811,0.45089285714285715,0.5754985754985755,0.7960827431628118,0.49695876701684055,0.0019588638589618022,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026417374610901,3143280,0.9738460398607098,0.32132963988919666,0.5178571428571429,0.39658119658119656,0.7960827431628118,0.49695876701684055,0.018458524824832366,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6916647180914879,0.88671875,0.2809917355371901,0.6818450093269348,0.9895532340520116,0.9191919191919192,0.40625,0.5634674922600619,0.7952403711616494,0.4884297918074569,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041986107826233,3143280,0.9722160480106691,0.30183727034120733,0.5133928571428571,0.38016528925619836,0.7952403711616494,0.4884297918074569,0.020040684095532283,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6904217880219221,0.8854166666666666,0.2816326530612245,0.6805704236030579,0.9896273245906497,0.9468085106382979,0.39732142857142855,0.559748427672956,0.7944669495538741,0.47816719713483363,0.000376704588261885,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053036212921143,3143280,0.9706601466992665,0.28921568627450983,0.5267857142857143,0.37341772151898733,0.7944669495538741,0.47816719713483363,0.02184886611918933,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
