round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7049757689237595,0.5081380208333334,0.23182511438739198,0.6932670474052429,0.9894791435133733,0.8253968253968254,0.4642857142857143,0.5942857142857143,0.8316365930837037,0.5162331347505723,0.0016575001883522942,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045445561408997,3143280,0.5490108913091798,0.0304340861765177,0.8482142857142857,0.058759857739291786,0.8316365930837037,0.5162331347505723,0.45603857454983804,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7033667210489511,0.8098958333333334,0.3209302325581395,0.6911011338233948,0.9898495962065644,0.8536585365853658,0.46875,0.6051873198847262,0.8247615661762331,0.5257467579215152,0.0013561365177427861,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503583550453186,3143280,0.8635252278284063,0.07995846313603323,0.6875,0.14325581395348838,0.8247615661762331,0.5257467579215152,0.13350410608001206,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7011892385780811,0.8662109375,0.31385642737896496,0.6894561648368835,0.9904423205156702,0.8991596638655462,0.47767857142857145,0.6239067055393586,0.813374997309253,0.5331699000517233,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502906084060669,3143280,0.9377639475438987,0.15548098434004473,0.6205357142857143,0.24865831842576028,0.813374997309253,0.5331699000517233,0.05688239282754464,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6999195795506239,0.88671875,0.30677290836653387,0.6880378723144531,0.9904423205156702,0.905982905982906,0.4732142857142857,0.6217008797653959,0.8080101521886537,0.5343538003459841,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026668310165405,3143280,0.9661406238423353,0.26746506986027946,0.5982142857142857,0.3696551724137931,0.8080101521886537,0.5343538003459841,0.02765011677842236,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6980906073004007,0.8987630208333334,0.31346578366445915,0.6866708397865295,0.9905164110543083,0.9137931034482759,0.4732142857142857,0.6235294117647059,0.8044101007953848,0.5317273778403336,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025715231895447,3143280,0.9751055790175595,0.3435754189944134,0.5491071428571429,0.422680412371134,0.8044101007953848,0.5317273778403336,0.017705115648308595,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6965321693569422,0.9020182291666666,0.3112128146453089,0.685318648815155,0.9903682299770319,0.9051724137931034,0.46875,0.6176470588235294,0.8031419180721335,0.5277836684085642,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026528239250183,3143280,0.9786619248721938,0.39473684210526316,0.5357142857142857,0.45454545454545453,0.8031419180721335,0.5277836684085642,0.013862728848037369,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6953068319708109,0.9029947916666666,0.3101851851851852,0.6839560866355896,0.9902200488997555,0.8898305084745762,0.46875,0.6140350877192983,0.8030872622724974,0.5233853847487903,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502760112285614,3143280,0.9796991924131289,0.4125874125874126,0.5267857142857143,0.4627450980392157,0.8030872622724974,0.5233853847487903,0.012657274165599338,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930355858057737,0.9029947916666666,0.3037383177570093,0.6826030611991882,0.989701415129288,0.84,0.46875,0.6017191977077364,0.803294113452659,0.5180923406006029,0.00150681835304754,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502748429775238,3143280,0.9790323775653849,0.4006734006734007,0.53125,0.45681381957773515,0.803294113452659,0.5180923406006029,0.013410683342123107,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6914607621729374,0.9033203125,0.3044496487119438,0.6812409162521362,0.9896273245906497,0.875,0.4375,0.5833333333333334,0.8023212402191344,0.5091027076957974,0.001054772847133278,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5036011934280396,3143280,0.9779951100244498,0.3818770226537217,0.5267857142857143,0.4427767354596623,0.8023212402191344,0.5091027076957974,0.014390115271604009,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6897456161677837,0.9026692708333334,0.30303030303030304,0.6798895001411438,0.9897755056679262,0.93,0.41517857142857145,0.5740740740740741,0.8008974986815339,0.49941586152667183,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.504956066608429,3143280,0.9760687560198562,0.35311572700296734,0.53125,0.42424242424242425,0.8008974986815339,0.49941586152667183,0.016424320048218186,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
