round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7071547731757164,0.5107421875,0.1691542288557214,0.693108320236206,0.9899236867452026,0.8333333333333334,0.49107142857142855,0.6179775280898876,0.8428805523565563,0.5420843818138659,0.0016575001883522942,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045524835586548,3143280,0.5793139216122101,0.033047945205479455,0.8616071428571429,0.06365435356200527,0.8428805523565563,0.5420843818138659,0.425450161982973,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7052302099764347,0.8395182291666666,0.27606461086637296,0.69083571434021,0.9901459583611173,0.8321167883211679,0.5089285714285714,0.631578947368421,0.8345187195272896,0.5509622596761927,0.0017328411060046711,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033286213874817,3143280,0.8784174260946878,0.09069901790872328,0.7008928571428571,0.16061381074168798,0.8345187195272896,0.5509622596761927,0.11858660438484141,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7028815392404795,0.8981119791666666,0.29345372460496616,0.6890727877616882,0.9908127732088612,0.8968253968253969,0.5044642857142857,0.6457142857142857,0.8245267984953343,0.5569993909658287,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502837061882019,3143280,0.9461361784100171,0.17879948914431673,0.625,0.27805362462760674,0.8245267984953343,0.5569993909658287,0.048444210050478415,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7008040957152843,0.9166666666666666,0.2967032967032967,0.6875325441360474,0.9908127732088612,0.8968253968253969,0.5044642857142857,0.6457142857142857,0.8191727163629711,0.5585047150575498,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022974014282227,3143280,0.97051196562199,0.30405405405405406,0.6026785714285714,0.4041916167664671,0.8191727163629711,0.5585047150575498,0.023280343554584495,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6988673228770494,0.9274088541666666,0.31384615384615383,0.6860464215278625,0.9908127732088612,0.9032258064516129,0.5,0.6436781609195402,0.8154026433899108,0.5569464371364437,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022646188735962,3143280,0.9782173816403645,0.3932926829268293,0.5758928571428571,0.4673913043478261,0.8154026433899108,0.5569464371364437,0.014992842612823024,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6971146464347839,0.9319661458333334,0.32362459546925565,0.6845507025718689,0.9908127732088612,0.9032258064516129,0.5,0.6436781609195402,0.8137695280967808,0.5523005818158926,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022954344749451,3143280,0.9811810031858932,0.44642857142857145,0.5580357142857143,0.49603174603174605,0.8137695280967808,0.5523005818158926,0.011677842236118436,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6951403021812439,0.9342447916666666,0.33112582781456956,0.6830426454544067,0.9905164110543083,0.875,0.5,0.6363636363636364,0.8133095785213806,0.5477831660374,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022213459014893,3143280,0.9815514558790842,0.45353159851301117,0.5446428571428571,0.4949290060851927,0.8133095785213806,0.5477831660374,0.01107511489489942,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930493079125881,0.9348958333333334,0.3333333333333333,0.6815316677093506,0.9904423205156702,0.905982905982906,0.4732142857142857,0.6217008797653959,0.8122447153727761,0.541123845265543,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503063976764679,3143280,0.9810328221086168,0.4420289855072464,0.5446428571428571,0.488,0.8122447153727761,0.541123845265543,0.011602501318466059,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6909059379249811,0.9345703125,0.33222591362126247,0.6800280809402466,0.9902941394383937,0.9043478260869565,0.4642857142857143,0.6135693215339233,0.8113529008944044,0.5321271846399999,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034328699111938,3143280,0.9802178261835963,0.4250871080139373,0.5446428571428571,0.4774951076320939,0.8113529008944044,0.5321271846399999,0.012431251412642206,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6890539769083261,0.9352213541666666,0.32996632996632996,0.6785169839859009,0.9899236867452026,0.9,0.4419642857142857,0.592814371257485,0.80963284083693,0.5203701014433721,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039823055267334,3143280,0.9794769207972142,0.40955631399317405,0.5357142857142857,0.46421663442940037,0.80963284083693,0.5203701014433721,0.013033978753861222,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
