round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7083827778697014,0.521484375,0.12395709177592372,0.6929720044136047,0.9902941394383937,0.8604651162790697,0.4955357142857143,0.6288951841359773,0.8489370876430132,0.5600910237850301,0.0013561365177427861,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046477913856506,3143280,0.6008001778172928,0.03460706560922855,0.8571428571428571,0.06652806652806653,0.8489370876430132,0.5600910237850301,0.40352595494613125,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7068111281841993,0.8580729166666666,0.21863799283154123,0.6906107068061829,0.9906645921315848,0.8769230769230769,0.5089285714285714,0.6440677966101694,0.8420687876031903,0.5653254218439974,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035083293914795,3143280,0.8912350892790991,0.10077021822849808,0.7008928571428571,0.17620650953984288,0.8420687876031903,0.5653254218439974,0.10555262563098018,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7042994797229767,0.9130859375,0.24362606232294617,0.6887893676757812,0.9910350448247759,0.912,0.5089285714285714,0.6532951289398281,0.830648416226281,0.56868014633637,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029722452163696,3143280,0.9527302363488183,0.2042857142857143,0.6383928571428571,0.30952380952380953,0.830648416226281,0.56868014633637,0.04196489113237399,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7018451597541571,0.9300130208333334,0.24028268551236748,0.6871777176856995,0.991109135363414,0.9193548387096774,0.5089285714285714,0.6551724137931034,0.8247333133321135,0.5667157961870843,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026777386665344,3143280,0.9752537600948359,0.35526315789473684,0.6026785714285714,0.4470198675496689,0.8247333133321135,0.5667157961870843,0.018458524824832366,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6995321772992611,0.9401041666666666,0.264,0.6856092214584351,0.990738682670223,0.8613138686131386,0.5267857142857143,0.6537396121883656,0.8207089647619765,0.5632330078604934,0.001431477435395163,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016372799873352,3143280,0.9816996369563606,0.4584837545126354,0.5669642857142857,0.5069860279441117,0.8207089647619765,0.5632330078604934,0.01130113764785655,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6970267575234175,0.9449869791666666,0.27467811158798283,0.6840406060218811,0.9908868637474995,0.904,0.5044642857142857,0.6475644699140402,0.8172814575238669,0.5605557481446318,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024850368499756,3143280,0.9841446247314218,0.5208333333333334,0.5580357142857143,0.5387931034482759,0.8172814575238669,0.5605557481446318,0.008664205530023356,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6951954588294029,0.9479166666666666,0.2857142857142857,0.6824560761451721,0.9908868637474995,0.9173553719008265,0.4955357142857143,0.6434782608695652,0.8133193324794696,0.5576968062727811,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029813051223755,3143280,0.9843668963473364,0.5276595744680851,0.5535714285714286,0.5403050108932462,0.8133193324794696,0.5576968062727811,0.008362841859413848,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6928076911717653,0.94921875,0.2909090909090909,0.6808628439903259,0.9906645921315848,0.8951612903225806,0.4955357142857143,0.6379310344827587,0.8095773441788379,0.5516421572693317,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030315518379211,3143280,0.9841446247314218,0.5211864406779662,0.5491071428571429,0.5347826086956522,0.8095773441788379,0.5516421572693317,0.008513523694718602,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6903399750590324,0.9482421875,0.28699551569506726,0.6792663931846619,0.9905905015929466,0.9217391304347826,0.4732142857142857,0.6253687315634219,0.8062391361087491,0.543006937482561,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503995954990387,3143280,0.9826628139586575,0.4798387096774194,0.53125,0.5042372881355932,0.8062391361087491,0.543006937482561,0.009718978377156634,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6885201279073954,0.9469401041666666,0.28193832599118945,0.677665114402771,0.9899977772838409,0.8677685950413223,0.46875,0.6086956521739131,0.8034992829159087,0.5315784213162698,0.0012054546824380322,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039279460906982,3143280,0.981477365340446,0.45038167938931295,0.5267857142857143,0.48559670781893005,0.8034992829159087,0.5315784213162698,0.010849092141942289,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
