round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7016015183180571,0.4723307291666667,0.33209723939019364,0.6936112642288208,0.9875490995330912,0.8235294117647058,0.4375,0.5714285714285714,0.8116942271190601,0.5114528897734263,0.0018130996449346529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5041800141334534,3143280,0.47105906766471506,0.030050539543778173,0.859375,0.058070476441863535,0.8116942271190601,0.5114528897734263,0.5364508574450404,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7000872679054737,0.7552083333333334,0.3866231647634584,0.691697359085083,0.9876973245386497,0.8040540540540541,0.46484375,0.5891089108910891,0.8137625890024175,0.5259603417326453,0.002190828737629372,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030194520950317,3143280,0.8149410805602906,0.06586594343277799,0.6640625,0.11984490659146986,0.8137625890024175,0.5259603417326453,0.18214096849739367,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6995890364050865,0.8040364583333334,0.32962138084632514,0.6902622580528259,0.9879937745497666,0.8357142857142857,0.45703125,0.5909090909090909,0.8055685235986251,0.535458569327937,0.001737553826395709,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024238228797913,3143280,0.9165493218705996,0.13445378151260504,0.625,0.22130013831258644,0.8055685235986251,0.535458569327937,0.07781219309511218,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.698033269494772,0.81640625,0.30198019801980197,0.6891016960144043,0.9883643370636627,0.8561151079136691,0.46484375,0.6025316455696202,0.8043950550540153,0.5395520539449254,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020490884780884,3143280,0.9485659230712221,0.2056451612903226,0.59765625,0.306,0.8043950550540153,0.5395520539449254,0.04464757875651583,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6970256268978119,0.8255208333333334,0.2928759894459103,0.6879976391792297,0.9876232120358704,0.7834394904458599,0.48046875,0.5956416464891041,0.8052903910440432,0.5403330782749791,0.0025685578303240916,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5016530156135559,3143280,0.9648706736826502,0.28793774319066145,0.578125,0.38441558441558443,0.8052903910440432,0.5403330782749791,0.027649769585253458,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6958563644438982,0.8271484375,0.27755102040816326,0.6869261860847473,0.9872526495219743,0.7592592592592593,0.48046875,0.5885167464114832,0.806042012918335,0.5364978347215641,0.002946286923018811,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5015731453895569,3143280,0.9687245238271697,0.3163716814159292,0.55859375,0.403954802259887,0.806042012918335,0.5364978347215641,0.023343657928533657,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6947315372526646,0.8291015625,0.27586206896551724,0.6858360767364502,0.9886607870747796,0.963963963963964,0.41796875,0.5831062670299727,0.8065121085782276,0.5303044931256334,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030179619789124,3143280,0.9697620988660787,0.3248847926267281,0.55078125,0.40869565217391307,0.8065121085782276,0.5303044931256334,0.022134924831910555,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.693487485870719,0.8307291666666666,0.27977839335180055,0.6847743391990662,0.9882161120581042,0.8943089430894309,0.4296875,0.5804749340369393,0.8068119310455542,0.52271345028648,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5028834939002991,3143280,0.9680575113021567,0.3085339168490153,0.55078125,0.3955119214586255,0.8068119310455542,0.52271345028648,0.023872478658306263,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.692539893090725,0.8317057291666666,0.27692307692307694,0.6836990118026733,0.9882902245608834,0.9375,0.41015625,0.5706521739130435,0.8061753985041928,0.5145074322486712,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5037235617637634,3143280,0.9662788112354554,0.2914046121593291,0.54296875,0.3792633015006821,0.8061753985041928,0.5145074322486712,0.02553448666616303,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6915773898363113,0.8333333333333334,0.28690807799442897,0.6826300621032715,0.9878455495442081,0.896551724137931,0.40625,0.5591397849462365,0.8048626423566518,0.5068137507374488,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5038555264472961,3143280,0.9647224486770918,0.28174603174603174,0.5546875,0.3736842105263158,0.8048626423566518,0.5068137507374488,0.027347586311097682,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
