round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7037512511014938,0.4873046875,0.25742574257425743,0.6933791041374207,0.9886607870747796,0.8759124087591241,0.46875,0.6106870229007634,0.8264870427117171,0.5446677876317392,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043089985847473,3143280,0.5296079448602979,0.03354265584316128,0.85546875,0.06455416359616802,0.8264870427117171,0.5446677876317392,0.47669411498073583,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7023909948766232,0.7985026041666666,0.344973544973545,0.691313624382019,0.9889572370858964,0.8905109489051095,0.4765625,0.6208651399491094,0.8316035013126086,0.556169476992858,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033249258995056,3143280,0.8479211442970429,0.07958801498127341,0.6640625,0.14214046822742474,0.8316035013126086,0.556169476992858,0.14852307924756364,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7013226635754108,0.84765625,0.3157894736842105,0.6897314190864563,0.9892536870970132,0.9051094890510949,0.484375,0.6310432569974554,0.8185038268678704,0.5630861973077043,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502461314201355,3143280,0.9292966723486252,0.15581854043392504,0.6171875,0.24881889763779527,0.8185038268678704,0.5630861973077043,0.06466722066933596,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6995428837835789,0.8642578125,0.27979274611398963,0.6883783340454102,0.9891054620914548,0.8707482993197279,0.5,0.6352357320099256,0.8106663908457354,0.5636915157626126,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018413662910461,3143280,0.9630178611131698,0.2786885245901639,0.59765625,0.3801242236024845,0.8106663908457354,0.5636915157626126,0.029916144141421772,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6981465611606836,0.8743489583333334,0.27715355805243447,0.6870933771133423,0.9891054620914548,0.8865248226950354,0.48828125,0.6297229219143576,0.8082031840201708,0.5615668694099172,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017421245574951,3143280,0.9728007114800267,0.3609022556390977,0.5625,0.4396946564885496,0.8082031840201708,0.5615668694099172,0.019264183727430686,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.696401335299015,0.8785807291666666,0.26719056974459726,0.6858357787132263,0.9890313495886756,0.8913043478260869,0.48046875,0.6243654822335025,0.8073488670488026,0.5571504975098727,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018459558486938,3143280,0.9768027866301044,0.41543026706231456,0.546875,0.47217537942664417,0.8073488670488026,0.5571504975098727,0.014882526252171943,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6950762458145618,0.8821614583333334,0.27309236947791166,0.6845496892929077,0.9889572370858964,0.9083969465648855,0.46484375,0.6149870801033591,0.8071400831948327,0.550271058258891,0.0009065498224673264,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020952820777893,3143280,0.9785073741940266,0.4444444444444444,0.53125,0.48398576512455516,0.8071400831948327,0.550271058258891,0.012842789151620458,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6934095490723848,0.8841145833333334,0.27346938775510204,0.6832905411720276,0.9883643370636627,0.8666666666666667,0.45703125,0.59846547314578,0.8072143010595301,0.5418752642998282,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021451711654663,3143280,0.9779144741717928,0.4326923076923077,0.52734375,0.4753521126760563,0.8072143010595301,0.5418752642998282,0.013371609881393066,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6920402701944113,0.8850911458333334,0.2721649484536082,0.682020902633667,0.9882161120581042,0.875968992248062,0.44140625,0.587012987012987,0.8067148428646974,0.5318801891131938,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027351379394531,3143280,0.9766545616245461,0.4108761329305136,0.53125,0.46337308347529815,0.8067148428646974,0.5318801891131938,0.014731434615094055,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.690608436241746,0.884765625,0.2716049382716049,0.6807560324668884,0.9879937745497666,0.8615384615384616,0.4375,0.5803108808290155,0.8054917973766714,0.5224536453540229,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030832886695862,3143280,0.9754687615800786,0.391304347826087,0.52734375,0.4492512479201331,0.8054917973766714,0.5224536453540229,0.015864621893178214,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
