round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7048298482384001,0.4908854166666667,0.22033898305084745,0.6932942271232605,0.9885866745720003,0.8355263157894737,0.49609375,0.6225490196078431,0.8324985422017829,0.5577567285351924,0.0018886454634735967,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040876865386963,3143280,0.5474690580300897,0.03527168732125834,0.8671875,0.06778625954198474,0.8324985422017829,0.5577567285351924,0.4587142101684672,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7029054522514343,0.8235677083333334,0.3422330097087379,0.6911643743515015,0.9891054620914548,0.8657718120805369,0.50390625,0.6370370370370371,0.8376163287565158,0.5667084247380573,0.0015109163707788774,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030941367149353,3143280,0.8572593196472245,0.08540218470705065,0.671875,0.1515418502202643,0.8376163287565158,0.5667084247380573,0.13915539774873462,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.70129719546863,0.8743489583333334,0.33217993079584773,0.6895105838775635,0.9895501371081301,0.9197080291970803,0.4921875,0.6412213740458015,0.8258227706901111,0.5696216051467512,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025866627693176,3143280,0.9329281849848069,0.16580844490216273,0.62890625,0.2624286878565607,0.8258227706901111,0.5696216051467512,0.061192113016544536,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6992458369050707,0.888671875,0.3132530120481928,0.6881087422370911,0.9896242496109093,0.9461538461538461,0.48046875,0.6373056994818653,0.8180177957618796,0.5692660473412012,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024012327194214,3143280,0.9629437486103906,0.2765567765567766,0.58984375,0.3765586034912718,0.8180177957618796,0.5692660473412012,0.029840598322882828,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6975973035608019,0.892578125,0.2948717948717949,0.6867724657058716,0.9894760246053509,0.9253731343283582,0.484375,0.6358974358974359,0.8138546604687618,0.5650464031079446,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501961350440979,3143280,0.9733194989994812,0.3686868686868687,0.5703125,0.44785276073619634,0.8138546604687618,0.5650464031079446,0.01888645463473597,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.696151515841484,0.8974609375,0.2953020134228188,0.6854543685913086,0.9895501371081301,0.9323308270676691,0.484375,0.6375321336760925,0.8120749072202915,0.5611957929667638,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019464492797852,3143280,0.977321574149559,0.42424242424242425,0.546875,0.4778156996587031,0.8120749072202915,0.5611957929667638,0.014353705522399335,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6944041171244213,0.8997395833333334,0.2968036529680365,0.6841377019882202,0.989179574594234,0.8985507246376812,0.484375,0.6294416243654822,0.8110233153282466,0.5554986053782506,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.50199955701828,3143280,0.978655599199585,0.44805194805194803,0.5390625,0.48936170212765956,0.8110233153282466,0.5554986053782506,0.012842789151620458,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930352538824082,0.9020182291666666,0.29836829836829837,0.6827985644340515,0.9890313495886756,0.921875,0.4609375,0.6145833333333334,0.8104618859541437,0.5487452502115988,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025590658187866,3143280,0.9787297117023642,0.4491803278688525,0.53515625,0.48841354723707664,0.8104618859541437,0.5487452502115988,0.01269169751454257,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6910167570625032,0.9026692708333334,0.2964705882352941,0.6814669966697693,0.9890313495886756,0.9576271186440678,0.44140625,0.6042780748663101,0.8091480969536149,0.5415623002823777,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5035298466682434,3143280,0.9776180241606759,0.4276729559748428,0.53125,0.4738675958188153,0.8091480969536149,0.5415623002823777,0.013749338974087784,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6896944054535457,0.9036458333333334,0.3018867924528302,0.6801489591598511,0.9883643370636627,0.8721804511278195,0.453125,0.596401028277635,0.8073184716608749,0.5333906015867437,0.0012842789151620458,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030720233917236,3143280,0.9764322241162084,0.40606060606060607,0.5234375,0.45733788395904434,0.8073184716608749,0.5333906015867437,0.014806980433632998,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
