round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7076698835406985,0.5068359375,0.15030846887268648,0.6930383443832397,0.9894760246053509,0.875,0.51953125,0.6519607843137255,0.8428400565177154,0.5853915887300248,0.0014353705522399335,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042163133621216,3143280,0.5897872971170236,0.03798354629791703,0.84765625,0.07270899648182275,0.8428400565177154,0.5853915887300248,0.4151998186900355,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7051583800997052,0.8512369791666666,0.2803149606299213,0.6908015012741089,0.9901430371303639,0.9361702127659575,0.515625,0.6649874055415617,0.8466850730905795,0.5866194701575237,0.0006799123668504948,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033546090126038,3143280,0.8751204328170162,0.09791783905458638,0.6796875,0.17117560255779635,0.8466850730905795,0.5866194701575237,0.12109994711792703,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7033615499734879,0.8984375,0.2641509433962264,0.689007580280304,0.9903653746387016,0.9701492537313433,0.5078125,0.6666666666666666,0.834396483342147,0.5835552208949375,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026876330375671,3143280,0.9460460979767287,0.20050761421319796,0.6171875,0.30268199233716475,0.834396483342147,0.5835552208949375,0.047593865679534636,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.701383368883814,0.9153645833333334,0.24855491329479767,0.6874538064002991,0.9902912621359223,0.9699248120300752,0.50390625,0.6632390745501285,0.8267485020680667,0.5773403000343703,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023456811904907,3143280,0.9727265989772474,0.3620689655172414,0.57421875,0.44410876132930516,0.8267485020680667,0.5773403000343703,0.01956636700158646,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6990647452218192,0.9241536458333334,0.22591362126245848,0.6859511733055115,0.9901430371303639,0.9624060150375939,0.5,0.6580976863753213,0.8222277045403037,0.5704098257474868,0.00037772909269471935,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020371079444885,3143280,0.9804342992662862,0.4859154929577465,0.5390625,0.5111111111111111,0.8222277045403037,0.5704098257474868,0.011029689506685805,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6965503824608668,0.9300130208333334,0.23487544483985764,0.6844425201416016,0.9901430371303639,0.9694656488549618,0.49609375,0.6563307493540051,0.8195540908060739,0.5650165507244173,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018981099128723,3143280,0.9837693618913511,0.5780590717299579,0.53515625,0.5557809330628803,0.8195540908060739,0.5650165507244173,0.007554581853894387,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6945651267256056,0.9322916666666666,0.24087591240875914,0.68293696641922,0.9897724746164678,0.9402985074626866,0.4921875,0.6461538461538462,0.8162237301220066,0.5583276019320537,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018140077590942,3143280,0.984065811902468,0.5919282511210763,0.515625,0.5511482254697286,0.8162237301220066,0.5583276019320537,0.006874669487043892,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6928422961916243,0.93359375,0.23880597014925373,0.6814051270484924,0.9893277995997924,0.9057971014492754,0.48828125,0.6345177664974619,0.8121418951140742,0.5513304742161831,0.0009820956410062703,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018323063850403,3143280,0.9841399244052471,0.5954545454545455,0.51171875,0.5504201680672269,0.8121418951140742,0.5513304742161831,0.006723577849966004,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6911020619528634,0.9342447916666666,0.24060150375939848,0.6798633933067322,0.9891054620914548,0.8978102189781022,0.48046875,0.6259541984732825,0.8067945200951878,0.5418487767080933,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021294355392456,3143280,0.9835470243830134,0.5758928571428571,0.50390625,0.5375,0.8067945200951878,0.5418487767080933,0.007176852761199668,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6884203714983804,0.9345703125,0.24719101123595505,0.6783119440078735,0.9885866745720003,0.8695652173913043,0.46875,0.6091370558375635,0.8011560280841581,0.5318037789887797,0.0013598247337009896,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023168921470642,3143280,0.982731786852442,0.5502183406113537,0.4921875,0.5195876288659794,0.8011560280841581,0.5318037789887797,0.0077812193095112185,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
