round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7075174463646753,0.4892578125,0.1412151067323481,0.6930556893348694,0.9902171496331431,0.8974358974358975,0.546875,0.6796116504854369,0.8492683859635868,0.5979774694215161,0.001208733096623102,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5043544173240662,3143280,0.5817090343140888,0.03806584362139918,0.8671875,0.07293035479632064,0.8492683859635868,0.5979774694215161,0.4238120420034751,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.705025441305978,0.8466796875,0.26749611197511663,0.6908026933670044,0.9907359371525977,0.9337748344370861,0.55078125,0.6928746928746928,0.8530517264580343,0.5970959104040376,0.0007554581853894387,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5032872557640076,3143280,0.8738605202697695,0.09788654060066741,0.6875,0.17137293086660174,0.8530517264580343,0.5970959104040376,0.12253531767016695,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7029814000640597,0.8958333333333334,0.2626728110599078,0.6890120506286621,0.9906618246498184,0.9452054794520548,0.5390625,0.6865671641791045,0.8400277453822618,0.5947094143082297,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024291276931763,3143280,0.9435262728822352,0.19518072289156627,0.6328125,0.2983425414364641,0.8400277453822618,0.5947094143082297,0.05046460678401451,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7002781718969345,0.9163411458333334,0.25507246376811593,0.6874704957008362,0.9903653746387016,0.9256756756756757,0.53515625,0.6782178217821783,0.8323757802466571,0.590489002759206,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017460584640503,3143280,0.9720595864522344,0.35697399527186763,0.58984375,0.44477172312223856,0.8323757802466571,0.590489002759206,0.020548462642592732,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6984977330480303,0.9313151041666666,0.2596491228070175,0.6859728693962097,0.9902912621359223,0.9496402877697842,0.515625,0.6683544303797468,0.8258773643480396,0.5838596121943526,0.0005288207297726071,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017064809799194,3143280,0.9805084117690654,0.4882154882154882,0.56640625,0.5244122965641953,0.8258773643480396,0.5838596121943526,0.011482964417919468,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.696579577241625,0.9381510416666666,0.2692307692307692,0.6844786405563354,0.9896242496109093,0.8972602739726028,0.51171875,0.6517412935323383,0.8215948607596133,0.575243887903717,0.001133187278084158,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.501124918460846,3143280,0.9837693618913511,0.5761316872427984,0.546875,0.561122244488978,0.8215948607596133,0.575243887903717,0.0077812193095112185,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.694282715661185,0.9417317708333334,0.27530364372469635,0.6829827427864075,0.9899948121248054,0.9689922480620154,0.48828125,0.6493506493506493,0.8178532770359599,0.5658770736532628,0.0003021832741557755,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021107792854309,3143280,0.9845845994219224,0.6100917431192661,0.51953125,0.5611814345991561,0.8178532770359599,0.5658770736532628,0.006421394575810229,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6928341903856823,0.9417317708333334,0.2693877551020408,0.6814641952514648,0.9897724746164678,0.9402985074626866,0.4921875,0.6461538461538462,0.8133475296517337,0.5569706899108721,0.000604366548311551,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5018731355667114,3143280,0.9845845994219224,0.6132075471698113,0.5078125,0.5555555555555556,0.8133475296517337,0.5569706899108721,0.006194757120193397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6910592943429947,0.943359375,0.28688524590163933,0.6799363493919373,0.9895501371081301,0.9197080291970803,0.4921875,0.6412213740458015,0.8092569891686183,0.5494524047417906,0.0008310040039283826,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022938847541809,3143280,0.9838434743941303,0.5871559633027523,0.5,0.540084388185654,0.8092569891686183,0.5494524047417906,0.006799123668504948,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6885746427944728,0.9443359375,0.29045643153526973,0.6784114241600037,0.989179574594234,0.8985507246376812,0.484375,0.6294416243654822,0.8048911195890308,0.5419385230010842,0.0010576414595452142,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024150013923645,3143280,0.9832505743718966,0.5669642857142857,0.49609375,0.5291666666666667,0.8048911195890308,0.5419385230010842,0.007327944398277555,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
