round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7027991935610771,0.49250936329588013,0.3469879518072289,0.6935374736785889,0.9872535941900104,0.7945205479452054,0.4496124031007752,0.5742574257425742,0.8089313617313364,0.5059006402607326,0.0022665457842248413,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5040420293807983,3143280,0.49562768637913146,0.031214203894616266,0.8449612403100775,0.06020436343551505,0.8089313617313364,0.5059006402607326,0.5111816258688425,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7011917363852262,0.7617041198501873,0.3947681331747919,0.691649854183197,0.9876982362531496,0.8108108108108109,0.46511627906976744,0.5911330049261084,0.8079685190260998,0.516923621722614,0.0021154427319431852,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5030518174171448,3143280,0.8230324588706092,0.06742485783915515,0.6434108527131783,0.12205882352941176,0.8079685190260998,0.516923621722614,0.17346630401934118,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.6995772998780012,0.8033707865168539,0.31596091205211724,0.6902340650558472,0.9875500222321032,0.8260869565217391,0.4418604651162791,0.5757575757575758,0.8008321209948905,0.5248801086304323,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502549946308136,3143280,0.9171483622350675,0.13926174496644295,0.6434108527131783,0.2289655172413793,0.8008321209948905,0.5248801086304323,0.07751586582048957,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6991144102066755,0.8164794007490637,0.2898550724637681,0.6890362501144409,0.9879946642952423,0.8870967741935484,0.4263565891472868,0.5759162303664922,0.799728131640042,0.5278386464451861,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024070739746094,3143280,0.9504965169705054,0.21606648199445982,0.6046511627906976,0.3183673469387755,0.799728131640042,0.5278386464451861,0.04276216379570867,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6976934392005205,0.8239700374531835,0.2796934865900383,0.6879348158836365,0.9875500222321032,0.8260869565217391,0.4418604651162791,0.5757575757575758,0.8004578773886581,0.5252917387633669,0.001813236627379873,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5019829869270325,3143280,0.9662072032014228,0.29959514170040485,0.5736434108527132,0.39361702127659576,0.8004578773886581,0.5252917387633669,0.026140828044726505,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6965808011591434,0.8267790262172284,0.27450980392156865,0.686884880065918,0.9875500222321032,0.8169014084507042,0.4496124031007752,0.58,0.8009562831928895,0.5224317639938255,0.001964339679661529,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020735859870911,3143280,0.9684304135171187,0.3157894736842105,0.5581395348837209,0.40336134453781514,0.8009562831928895,0.5224317639938255,0.02357207615593835,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.695318054407835,0.8305243445692884,0.2788844621513944,0.6858550310134888,0.9876982362531496,0.8709677419354839,0.4186046511627907,0.5654450261780105,0.8017691941873349,0.5155176957013454,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5027003884315491,3143280,0.9682821994960723,0.3111111111111111,0.5426356589147286,0.3954802259887006,0.8017691941873349,0.5155176957013454,0.023420973103656696,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6945002637803555,0.8305243445692884,0.2788844621513944,0.6847923994064331,0.986364310063732,0.7402597402597403,0.4418604651162791,0.5533980582524272,0.8035338201428568,0.5073166092867274,0.0030220610456331218,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026077032089233,3143280,0.9675411293908404,0.30603448275862066,0.5503875968992248,0.39335180055401664,0.8035338201428568,0.5073166092867274,0.024327591417346632,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6929066590964794,0.8319288389513109,0.2891089108910891,0.683784544467926,0.9878464502741959,0.9607843137254902,0.3798449612403101,0.5444444444444444,0.8033452341628773,0.49616787428274667,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047729015350342,3143280,0.9651697050540982,0.288,0.5581395348837209,0.37994722955145116,0.8033452341628773,0.49616787428274667,0.026896343306134784,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6923179719597101,0.8295880149812734,0.2890625,0.6827310919761658,0.9874018082110567,0.9074074074074074,0.3798449612403101,0.5355191256830601,0.8026436006100346,0.4883230363871545,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5052840709686279,3143280,0.9610197124647992,0.2589928057553957,0.5581395348837209,0.3538083538083538,0.8026436006100346,0.4883230363871545,0.031127228770021154,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
