round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7046051472425461,0.4788411458333333,0.2501170960187354,0.6933552026748657,0.9884393063583815,0.8591549295774648,0.4728682170542636,0.61,0.8242402093421511,0.5401943624317976,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042877793312073,3143280,0.5331258337038683,0.033940141931502625,0.8527131782945736,0.06528189910979229,0.8242402093421511,0.5401943624317976,0.4731036566938652,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7033847123384476,0.7985026041666666,0.3264417845484222,0.6912739276885986,0.9887357344004742,0.863013698630137,0.4883720930232558,0.6237623762376238,0.826120798105238,0.5524986993845814,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5031499266624451,3143280,0.8528234771009338,0.08139534883720931,0.6511627906976745,0.14470284237726097,0.826120798105238,0.5524986993845814,0.14324569356300998,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7017741501331329,0.8505859375,0.29275808936825887,0.6896945238113403,0.9890321624425671,0.8985507246376812,0.4806201550387597,0.6262626262626263,0.8130533124366011,0.5608473653142743,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5025285482406616,3143280,0.9298947680450571,0.15873015873015872,0.6201550387596899,0.2527646129541864,0.8130533124366011,0.5608473653142743,0.06406769416742218,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.6999110840260983,0.8675130208333334,0.27708703374777977,0.6883506178855896,0.9881428783162888,0.8024691358024691,0.5038759689922481,0.6190476190476191,0.8049886262741267,0.5618427217533518,0.0024176488365064974,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017039179801941,3143280,0.9619089965910775,0.2730496453900709,0.5968992248062015,0.3746958637469586,0.8049886262741267,0.5618427217533518,0.0309761257177395,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6982693765312433,0.875,0.26153846153846155,0.6870795488357544,0.9874018082110567,0.7391304347826086,0.5271317829457365,0.6153846153846154,0.8033124366011418,0.559002659244652,0.003626473254759746,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5012842416763306,3143280,0.9721357640432785,0.35609756097560974,0.5658914728682171,0.437125748502994,0.8033124366011418,0.559002659244652,0.019945602901178604,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6965941395610571,0.8785807291666666,0.24646464646464647,0.6858364343643188,0.9888839484215207,0.9354838709677419,0.4496124031007752,0.6073298429319371,0.8029938317157108,0.5468054933310758,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502221941947937,3143280,0.9753964725062991,0.3954802259887006,0.5426356589147286,0.45751633986928103,0.8029938317157108,0.5468054933310758,0.016168026594137203,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6946662627160549,0.8821614583333334,0.24896265560165975,0.6846007108688354,0.9888839484215207,0.95,0.4418604651162791,0.6031746031746031,0.8038875652730046,0.5384163150446394,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024910569190979,3143280,0.9755446865273455,0.3953488372093023,0.5271317829457365,0.45182724252491696,0.8038875652730046,0.5384163150446394,0.015714717437292233,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6936773546040058,0.8837890625,0.25157232704402516,0.6833507418632507,0.9882910923373351,0.8787878787878788,0.4496124031007752,0.5948717948717949,0.8050436793241827,0.5287509594975086,0.0012088244182532487,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5024365782737732,3143280,0.9743589743589743,0.375,0.5116279069767442,0.43278688524590164,0.8050436793241827,0.5287509594975086,0.01662133575098217,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6922739055007696,0.8844401041666666,0.2588726513569937,0.6820927858352661,0.9884393063583815,0.9636363636363636,0.4108527131782946,0.5760869565217391,0.8054091378692361,0.5183295553277713,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5042997002601624,3143280,0.9728768341485104,0.3532608695652174,0.5038759689922481,0.41533546325878595,0.8054091378692361,0.5183295553277713,0.017981263221517076,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6905375029891729,0.884765625,0.26556016597510373,0.6808344721794128,0.9882910923373351,0.9629629629629629,0.40310077519379844,0.5683060109289617,0.8047145323653367,0.5060609984488394,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5046110153198242,3143280,0.9715429079590929,0.33678756476683935,0.5038759689922481,0.40372670807453415,0.8047145323653367,0.5060609984488394,0.01934119069205198,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
