round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7057488448917866,0.4755859375,0.20522940305870746,0.6932663917541504,0.9888839484215207,0.8970588235294118,0.4728682170542636,0.6192893401015228,0.8309607811442131,0.5565530491066856,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5045211315155029,3143280,0.5528382985030383,0.035392535392535396,0.8527131782945736,0.06796416434970652,0.8309607811442131,0.5565530491066856,0.453006950740405,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.704075749963522,0.8203125,0.31851851851851853,0.6911406517028809,0.9894768045057062,0.9264705882352942,0.4883720930232558,0.6395939086294417,0.8339529729818372,0.5680245976714247,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5034573078155518,3143280,0.8606788202163925,0.08748728382502544,0.6666666666666666,0.15467625899280577,0.8339529729818372,0.5680245976714247,0.13553943789664552,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7019944209605455,0.873046875,0.296028880866426,0.6894868612289429,0.9894768045057062,0.8717948717948718,0.5271317829457365,0.6570048309178744,0.8209745092664824,0.5745221976810096,0.0015110305228165609,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023124814033508,3143280,0.9331554765080776,0.16458333333333333,0.6124031007751938,0.2594417077175698,0.8209745092664824,0.5745221976810096,0.06059232396494409,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.700166979804635,0.8863932291666666,0.2774327122153209,0.6880702972412109,0.9899214465688454,0.9420289855072463,0.5038759689922481,0.6565656565656566,0.8136676810483975,0.5729934704391456,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021873116493225,3143280,0.9650214910330517,0.2918287937743191,0.5813953488372093,0.38860103626943004,0.8136676810483975,0.5729934704391456,0.027500755515261408,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6988296993076801,0.89453125,0.24651162790697675,0.6867020726203918,0.9896250185267527,0.9154929577464789,0.5038759689922481,0.65,0.8107381559805182,0.5685931569633462,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017916560173035,3143280,0.9761375426115311,0.4090909090909091,0.5581395348837209,0.4721311475409836,0.8107381559805182,0.5685931569633462,0.015714717437292233,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.6967224236577749,0.9013671875,0.25552825552825553,0.6853639483451843,0.9893285904846598,0.9130434782608695,0.4883720930232558,0.6363636363636364,0.8098619925455828,0.5602031848568843,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5017258524894714,3143280,0.9789536090114125,0.45751633986928103,0.5426356589147286,0.49645390070921985,0.8098619925455828,0.5602031848568843,0.012541553339377455,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6948180552572012,0.9049479166666666,0.25888324873096447,0.6840245723724365,0.9890321624425671,0.9104477611940298,0.4728682170542636,0.6224489795918368,0.80975071510398,0.5507805560221344,0.0009066183136899365,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5020046830177307,3143280,0.9798428931376908,0.47586206896551725,0.5348837209302325,0.5036496350364964,0.80975071510398,0.5507805560221344,0.011483831973405863,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6931611355394125,0.9069010416666666,0.26288659793814434,0.6826879382133484,0.9887357344004742,0.9491525423728814,0.43410852713178294,0.5957446808510638,0.8091814431395701,0.5377851557065169,0.00045330915684496827,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5029605627059937,3143280,0.9786571809693198,0.4489795918367347,0.5116279069767442,0.4782608695652174,0.8091814431395701,0.5377851557065169,0.012239347234814143,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6918461695313454,0.9091796875,0.2753246753246753,0.6813350319862366,0.9884393063583815,0.9322033898305084,0.4263565891472868,0.5851063829787234,0.8075796336512354,0.5258184622686939,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503113865852356,3143280,0.9785089669482733,0.4444444444444444,0.49612403100775193,0.46886446886446886,0.8075796336512354,0.5258184622686939,0.012088244182532487,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6898915246129036,0.9085286458333334,0.2739018087855297,0.6799953579902649,0.9881428783162888,0.9152542372881356,0.4186046511627907,0.574468085106383,0.8059309705032787,0.5140087941304248,0.0007555152614082804,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039572715759277,3143280,0.9767303986957167,0.41025641025641024,0.49612403100775193,0.44912280701754387,0.8059309705032787,0.5140087941304248,0.01390148080991236,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
