round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7075549848377705,0.4908854166666667,0.16631130063965885,0.6930879950523376,0.9888839484215207,0.813953488372093,0.5426356589147286,0.6511627906976745,0.8393663276804393,0.5848703549453598,0.0024176488365064974,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5039345622062683,3143280,0.5790721802282496,0.037529853292391675,0.8527131782945736,0.0718954248366013,0.8393663276804393,0.5848703549453598,0.4262617104865518,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7051170095801353,0.8385416666666666,0.28530259365994237,0.690868079662323,0.9900696605898918,0.9078947368421053,0.5348837209302325,0.6731707317073171,0.841016747840632,0.5864944428631627,0.0010577213659715926,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503146767616272,3143280,0.8778716466577738,0.1010332950631458,0.6821705426356589,0.176,0.841016747840632,0.5864944428631627,0.11831368993653672,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7030383944511414,0.8929036458333334,0.28633405639913234,0.6891411542892456,0.9906625166740773,0.9714285714285714,0.5271317829457365,0.6834170854271356,0.8296061247103859,0.5859353882227503,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5026527047157288,3143280,0.941603675707722,0.1867612293144208,0.6124031007751938,0.286231884057971,0.8296061247103859,0.5859353882227503,0.051979449984889695,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7011161241680384,0.9137369791666666,0.2779291553133515,0.6876446008682251,0.9903660886319846,0.9705882352941176,0.5116279069767442,0.6700507614213198,0.8227713471129947,0.582230567504229,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021399855613708,3143280,0.9705054098117681,0.3409090909090909,0.5813953488372093,0.4297994269340974,0.8227713471129947,0.582230567504229,0.021909942580840135,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.6988558508455753,0.9225260416666666,0.2608695652173913,0.6861915588378906,0.9900696605898918,0.9696969696969697,0.49612403100775193,0.6564102564102564,0.8181164360295272,0.5747947475319664,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5022596716880798,3143280,0.977619682821995,0.43209876543209874,0.5426356589147286,0.48109965635738833,0.8181164360295272,0.5747947475319664,0.01390148080991236,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.697184843942523,0.9293619791666666,0.27424749163879597,0.6847354173660278,0.9899214465688454,0.9692307692307692,0.4883720930232558,0.6494845360824743,0.8148126673554155,0.565168446883985,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.502320408821106,3143280,0.9817696754112939,0.5230769230769231,0.5271317829457365,0.525096525096525,0.8148126673554155,0.565168446883985,0.009368389241462678,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.6945777777582407,0.9326171875,0.2837370242214533,0.6832835674285889,0.9896250185267527,0.9682539682539683,0.4728682170542636,0.6354166666666666,0.8121174105856472,0.5530861678002061,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5023055076599121,3143280,0.9831036016007114,0.5641025641025641,0.5116279069767442,0.5365853658536586,0.8121174105856472,0.5530861678002061,0.0077062556663644605,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.6930976863950491,0.9339192708333334,0.28771929824561404,0.6818279027938843,0.9891803764636135,0.9375,0.46511627906976744,0.6217616580310881,0.8072504866923893,0.5415585270688569,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5021541118621826,3143280,0.9828071735586187,0.5565217391304348,0.49612403100775193,0.5245901639344263,0.8072504866923893,0.5415585270688569,0.0077062556663644605,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.6911898273974657,0.93359375,0.2867132867132867,0.6803545951843262,0.9893285904846598,0.9672131147540983,0.4573643410852713,0.6210526315789474,0.8015044710104694,0.5318023143127083,0.0003022061045633122,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.503332793712616,3143280,0.9822143174744331,0.5378151260504201,0.49612403100775193,0.5161290322580645,0.8015044710104694,0.5318023143127083,0.008310667875491085,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6889499220997095,0.93359375,0.2916666666666667,0.6788708567619324,0.9888839484215207,0.9354838709677419,0.4496124031007752,0.6073298429319371,0.7951511147656964,0.5234477477679708,0.0006044122091266244,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5033729672431946,3143280,0.981028605306062,0.504,0.4883720930232558,0.49606299212598426,0.7951511147656964,0.5234477477679708,0.009368389241462678,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
