round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7114726100116968,0.3414713541666667,0.27827327863003926,0.695361852645874,0.9870341557383122,0.9454545454545454,0.23214285714285715,0.3727598566308244,0.6558361294679855,0.26986552499063216,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062572360038757,3035760,0.19270949099799956,0.018150623081090844,0.8973214285714286,0.03558151885289432,0.6558361294679855,0.26986552499063216,0.8191817976342952,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7099409010261297,0.3336588541666667,0.27230714539637396,0.6948124170303345,0.9873305178928651,0.9344262295081968,0.2544642857142857,0.4,0.6489619434189708,0.2869704553884991,0.00030136367060950805,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053982138633728,3035760,0.24331332888790103,0.01785886668597355,0.8258928571428571,0.034961731078144195,0.6489619434189708,0.2869704553884991,0.7665184961952837,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7087791282683611,0.3284505208333333,0.2686990428925913,0.6948811411857605,0.9874786989701415,0.9824561403508771,0.25,0.398576512455516,0.6447410021418346,0.2881041958482532,7.534091765237701e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5058741569519043,3035760,0.23501518856042083,0.017483519633132702,0.8169642857142857,0.03423440276868394,0.6447410021418346,0.2881041958482532,0.7748059971370451,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7074462361633778,0.326171875,0.26282051282051283,0.6951097846031189,0.9865896125064829,0.8208955223880597,0.24553571428571427,0.37800687285223367,0.6385593471171336,0.27685747245740533,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5065006017684937,3035760,0.22923612654664,0.017079419299743808,0.8035714285714286,0.033447923441419676,0.6385593471171336,0.27685747245740533,0.7804565659609735,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7062360811978579,0.3411458333333333,0.2656023222060958,0.6953229308128357,0.9855523449655479,0.6790123456790124,0.24553571428571427,0.36065573770491804,0.6354693604632391,0.27016873040458517,0.0019588638589618022,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5072396397590637,3035760,0.23916425872416092,0.01711373906355158,0.7946428571428571,0.03350588235294118,0.6354693604632391,0.27016873040458517,0.7702102011602502,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7050009854137897,0.3626302083333333,0.2639097744360902,0.695464015007019,0.9867377935837593,0.9411764705882353,0.21428571428571427,0.3490909090909091,0.6353894789099246,0.2680813404426852,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5097240805625916,3035760,0.2624286878565607,0.017455122483387882,0.7857142857142857,0.03415154749199573,0.6353894789099246,0.2680813404426852,0.746402471182099,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7039004974067211,0.3873697916666667,0.2642689601250977,0.6955177187919617,0.98629325035193,0.8421052631578947,0.21428571428571427,0.3416370106761566,0.6371411552453423,0.2676977002562673,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5106439590454102,3035760,0.29376898570052606,0.01752021563342318,0.7544642857142857,0.034245187436676795,0.6371411552453423,0.2676977002562673,0.7140058765915769,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7027312815189362,0.4208984375,0.26759983532317827,0.6954599022865295,0.9855523449655479,0.6986301369863014,0.22767857142857142,0.3434343434343434,0.6392670135936542,0.26884456648662136,0.0016575001883522942,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5110294818878174,3035760,0.3345187819515448,0.018261826182618263,0.7410714285714286,0.035645265192183806,0.6392670135936542,0.26884456648662136,0.6723423491298124,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7017526626586914,0.4567057291666667,0.2721325774095072,0.6953260898590088,0.9856264355041862,0.7027027027027027,0.23214285714285715,0.348993288590604,0.6409751334610541,0.2710179260758854,0.0016575001883522942,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5123148560523987,3035760,0.37534266874120176,0.019327632657842334,0.7366071428571429,0.03766693299851615,0.6409751334610541,0.2710179260758854,0.6307541625857003,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7004912383854389,0.4928385416666667,0.27736549165120594,0.6950966119766235,0.9853300733496333,0.6585365853658537,0.24107142857142858,0.35294117647058826,0.641139269031654,0.2737298526895446,0.002109545694266556,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5130455493927002,3035760,0.4175001852263466,0.020346646571213264,0.7232142857142857,0.0395797703396042,0.641139269031654,0.2737298526895446,0.5876591576885406,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
