round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7148583717644215,0.35546875,0.20926517571884984,0.6951784491539001,0.9872564273542269,0.9193548387096774,0.2544642857142857,0.3986013986013986,0.6840778742560085,0.28886550370170583,0.000376704588261885,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5060935616493225,3035760,0.2367192709490998,0.018995799923634975,0.8883928571428571,0.03719626168224299,0.6840778742560085,0.28886550370170583,0.7742786107134785,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7132383342832327,0.3746744791666667,0.2005826050769871,0.6944724917411804,0.9877009705860562,0.967741935483871,0.26785714285714285,0.4195804195804196,0.6737770218273401,0.30959228635120534,0.00015068183530475403,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053637623786926,3035760,0.32184929984440985,0.01948121838338177,0.8080357142857143,0.038045191802417236,0.6737770218273401,0.30959228635120534,0.6863557598131546,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7115809544920921,0.3714192708333333,0.19575177009579342,0.694416344165802,0.9872564273542269,0.8714285714285714,0.27232142857142855,0.41496598639455784,0.6562846433683849,0.30877571022517075,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050680041313171,3035760,0.32585018893087353,0.019074455402622738,0.7857142857142857,0.03724473600677177,0.6562846433683849,0.30877571022517075,0.6819106456716643,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7097602039575577,0.384765625,0.19299743808710504,0.6944848895072937,0.9873305178928651,0.9649122807017544,0.24553571428571427,0.3914590747330961,0.646593076976892,0.293928938663775,0.00015068183530475403,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.506733775138855,3035760,0.3302215307105283,0.018356643356643356,0.75,0.03583617747440273,0.646593076976892,0.293928938663775,0.6768628041889551,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7080856654793024,0.4072265625,0.19602649006622516,0.6945186853408813,0.9868118841223976,0.8709677419354839,0.24107142857142858,0.3776223776223776,0.6377790304700197,0.28330419299192483,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5075071454048157,3035760,0.35385641253611916,0.01803743618831537,0.7098214285714286,0.035180882841022235,0.6377790304700197,0.28330419299192483,0.6521509831989754,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7067446503788233,0.4348958333333333,0.19703977798334876,0.6944939494132996,0.9867377935837593,0.8947368421052632,0.22767857142857142,0.36298932384341637,0.6302409025841934,0.2765475058285165,0.000452045505914262,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5088365077972412,3035760,0.3797881010594947,0.018328012297505025,0.6919642857142857,0.03571017163921207,0.6302409025841934,0.2765475058285165,0.6254802983500339,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7048208955675364,0.4742838541666667,0.19691695673794132,0.6943184733390808,0.9865896125064829,0.8771929824561403,0.22321428571428573,0.35587188612099646,0.6248814389577122,0.272926700719736,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5100308656692505,3035760,0.41875972438319625,0.018693949728432486,0.6607142857142857,0.036359169635179954,0.6248814389577122,0.272926700719736,0.585323589241317,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7033162247389555,0.5149739583333334,0.1989247311827957,0.6940295100212097,0.9862191598132919,0.8166666666666667,0.21875,0.34507042253521125,0.6181111830138519,0.2688441064120135,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.51112961769104,3035760,0.46439949618433723,0.019481410344354508,0.6339285714285714,0.03780114468255025,0.6181111830138519,0.2688441064120135,0.5384615384615384,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7015821635723114,0.5520833333333334,0.2037037037037037,0.6936565041542053,0.9866637030451212,0.94,0.20982142857142858,0.34306569343065696,0.6128939926381161,0.2681230354589837,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5126941800117493,3035760,0.5060383788990146,0.02039601012356707,0.6116071428571429,0.03947557988762426,0.6128939926381161,0.2681230354589837,0.4957432381526407,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.7000729888677597,0.5817057291666666,0.2003733665214686,0.6931463479995728,0.9863673408905683,0.8571428571428571,0.21428571428571427,0.34285714285714286,0.6068149223450399,0.26786115570014074,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.513416051864624,3035760,0.5468622656886716,0.021286967825804356,0.5848214285714286,0.04107870805895265,0.6068149223450399,0.26786115570014074,0.4537783470202667,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
