round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7158283963799477,0.3567708333333333,0.17940199335548174,0.6951214075088501,0.9875527895087798,0.9827586206896551,0.2544642857142857,0.40425531914893614,0.6960843239767089,0.30000324238272486,7.534091765237701e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.506550133228302,3035760,0.24798103282210862,0.01927547462223944,0.8883928571428571,0.037732271520667424,0.6960843239767089,0.30000324238272486,0.7628267912303172,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7138409353792667,0.3896484375,0.17509898812142544,0.69440758228302,0.9874786989701415,0.8571428571428571,0.29464285714285715,0.43853820598006643,0.6870585493106306,0.3279782970084681,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5050103068351746,3035760,0.33251833740831294,0.01999781444650858,0.8169642857142857,0.03904,0.6870585493106306,0.3279782970084681,0.675657349506517,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7120431736111641,0.3899739583333333,0.16785079928952043,0.6943102478981018,0.9877750611246944,0.9402985074626866,0.28125,0.4329896907216495,0.6678555284089074,0.3268330557461157,0.00030136367060950805,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5053424835205078,3035760,0.34370600874268353,0.019799777530589546,0.7946428571428571,0.03863685695680486,0.6678555284089074,0.3268330557461157,0.6639041663527462,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7103405762463808,0.3984375,0.16531165311653118,0.6943474411964417,0.9872564273542269,0.8939393939393939,0.26339285714285715,0.4068965517241379,0.6558541238389426,0.3079913198572035,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062898397445679,3035760,0.3513373342224198,0.018946656140746587,0.75,0.036959630403695966,0.6558541238389426,0.3079913198572035,0.6553906426580276,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7084830049425364,0.4186197916666667,0.16385767790262173,0.6943739056587219,0.9873305178928651,0.9649122807017544,0.24553571428571427,0.3914590747330961,0.6475481240111505,0.2958634138110548,0.00015068183530475403,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5078226923942566,3035760,0.3695636067274209,0.01870570465899849,0.71875,0.036462461782357604,0.6475481240111505,0.2958634138110548,0.6363293904919762,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7066185642033815,0.4557291666666667,0.16733067729083664,0.6942881345748901,0.9866637030451212,0.8333333333333334,0.24553571428571427,0.3793103448275862,0.6398959757186985,0.2886724019314926,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5085262060165405,3035760,0.39823664518041046,0.01876675603217158,0.6875,0.0365361803084223,0.6398959757186985,0.2886724019314926,0.6066450689369397,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7050382010638714,0.4895833333333333,0.17037037037037037,0.6941109895706177,0.9861450692746536,0.7605633802816901,0.24107142857142858,0.36610169491525424,0.6318240708850406,0.28340741237359685,0.0012807956000904092,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5094191431999207,3035760,0.43587463880862415,0.019380853277835588,0.6651785714285714,0.03766430738119313,0.6318240708850406,0.28340741237359685,0.5679951781812702,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7034262102097273,0.5325520833333334,0.1728110599078341,0.6938015818595886,0.9853300733496333,0.6547619047619048,0.24553571428571427,0.35714285714285715,0.6247706138132192,0.2790005787546641,0.002184886611918933,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5099842548370361,3035760,0.47751352152330145,0.019831223628691982,0.6294642857142857,0.038451049904554134,0.6247706138132192,0.2790005787546641,0.5250508551194154,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7016615513712168,0.5686848958333334,0.17650714729645742,0.6933748126029968,0.9867377935837593,0.9411764705882353,0.21428571428571427,0.3490909090909091,0.615994069593482,0.2765157746821358,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5121707320213318,3035760,0.5232273838630807,0.0208301188088258,0.6026785714285714,0.040268456375838924,0.615994069593482,0.2765157746821358,0.47811346342198446,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6996285188943148,0.603515625,0.1825503355704698,0.6928160190582275,0.9862191598132919,0.8166666666666667,0.21875,0.34507042253521125,0.6099605738287177,0.2751016056475135,0.0008287500941761471,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5126684308052063,3035760,0.5630140031118026,0.02174645987862441,0.5758928571428571,0.04191033138401559,0.6099605738287177,0.2751016056475135,0.43720334513674375,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
