round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7176651302725077,0.3938802083333333,0.1427255985267035,0.6950008273124695,0.987997332740609,0.9558823529411765,0.29017857142857145,0.4452054794520548,0.717376709969756,0.3367057853268975,0.000226022752957131,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5062422752380371,3035760,0.2710231903385938,0.0199700449326011,0.8928571428571429,0.03906631506983104,0.717376709969756,0.3367057853268975,0.7394711067580804,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7157029658555984,0.4326171875,0.14600685938265556,0.6941596269607544,0.9880714232792472,0.92,0.3080357142857143,0.46153846153846156,0.7082944296154384,0.36461393737181924,0.000452045505914262,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049204230308533,3035760,0.37956582944358,0.021151586368977675,0.8035714285714286,0.0412182276162125,0.7082944296154384,0.36461393737181924,0.6275898440443004,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7134540490806103,0.4361979166666667,0.13313313313313313,0.6939605474472046,0.987997332740609,0.9078947368421053,0.3080357142857143,0.46,0.6868411033139241,0.3565045615230252,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5047436952590942,3035760,0.399792546491813,0.020455375624010716,0.75,0.03982458219746356,0.6868411033139241,0.3565045615230252,0.6061176825133731,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7114343140274286,0.447265625,0.13012295081967212,0.6938976645469666,0.9877009705860562,0.9142857142857143,0.2857142857142857,0.43537414965986393,0.6688521138508896,0.3322358572086033,0.000452045505914262,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5059281587600708,3035760,0.4099429502852486,0.01997023071198214,0.71875,0.03886072894038137,0.6688521138508896,0.3322358572086033,0.5952685903714308,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7091222070157528,0.4752604166666667,0.13333333333333333,0.6938101649284363,0.9871823368155886,0.8805970149253731,0.26339285714285715,0.4054982817869416,0.6556582038187082,0.30978810828651343,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5069108009338379,3035760,0.43076239164258723,0.01920845687765889,0.6651785714285714,0.03733867936348829,0.6556582038187082,0.30978810828651343,0.5731937014992843,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.707347609102726,0.5048828125,0.13530415008527572,0.6936182379722595,0.9868859746610358,0.873015873015873,0.24553571428571427,0.3832752613240418,0.6426109395012432,0.29431952852315646,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.508222222328186,3035760,0.4652144921093576,0.019906644700713894,0.6473214285714286,0.03862546616941929,0.6426109395012432,0.29431952852315646,0.5378588111203194,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7050072439014912,0.5432942708333334,0.13341568869672638,0.6932957172393799,0.9864414314292065,0.8153846153846154,0.23660714285714285,0.36678200692041524,0.6288819071477004,0.2837816054757635,0.000904091011828524,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5090019702911377,3035760,0.5081870045195228,0.020914251568568867,0.625,0.04047412546978896,0.6288819071477004,0.2837816054757635,0.4937843742936789,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7032142486423254,0.5865885416666666,0.13132694938440492,0.6928391456604004,0.9865896125064829,0.8909090909090909,0.21875,0.35125448028673834,0.6138438263499477,0.2766165336711564,0.000452045505914262,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5106427073478699,3035760,0.552493146625176,0.0220249835634451,0.5982142857142857,0.0424857324032974,0.6138438263499477,0.2766165336711564,0.4482784600316432,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7011231444776058,0.6243489583333334,0.13880597014925372,0.6922478675842285,0.9854782544269097,0.6842105263157895,0.23214285714285715,0.3466666666666667,0.6004874624640786,0.2732626001176364,0.001808182023657048,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.510362446308136,3035760,0.5989479143513373,0.023157507811064144,0.5625,0.044483671668137686,0.6004874624640786,0.2732626001176364,0.4004369773223838,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6992951687425375,0.6647135416666666,0.14735099337748345,0.6915284991264343,0.985922797658739,0.75,0.22767857142857142,0.3493150684931507,0.5880282945506992,0.2716014367327411,0.0012807956000904092,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5115556120872498,3035760,0.6407349781432911,0.024274840567784405,0.5267857142857143,0.046411012782694196,0.5880282945506992,0.2716014367327411,0.35734197242522414,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
