round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold
1,0.7190998587757349,0.3977864583333333,0.10019455252918288,0.6949450373649597,0.987997332740609,0.9078947368421053,0.3080357142857143,0.46,0.7281809002701509,0.36452045275857736,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5060696005821228,3035760,0.2899162776913388,0.020491803278688523,0.8928571428571429,0.04006410256410257,0.7281809002701509,0.36452045275857736,0.7202591727567241,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
2,0.7171207703649998,0.462890625,0.10423452768729642,0.6940381526947021,0.9882936948951618,0.8586956521739131,0.35267857142857145,0.5,0.7187320056290429,0.3931551589310201,0.0009794319294809011,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5048882365226746,3035760,0.40764614358746387,0.021784615384615385,0.7901785714285714,0.042400287459576,0.7187320056290429,0.3931551589310201,0.5988096135010924,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
3,0.7144277486950159,0.4733072916666667,0.09910913140311804,0.693790078163147,0.9884418759724383,0.9358974358974359,0.32589285714285715,0.48344370860927155,0.6926132602705815,0.3833788573782051,0.000376704588261885,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5049958825111389,3035760,0.42942876194709934,0.02076656838866812,0.7232142857142857,0.04037383177570093,0.6926132602705815,0.3833788573782051,0.575529269946508,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
4,0.7120917681604624,0.4892578125,0.097757331799885,0.6936619877815247,0.9877750611246944,0.9041095890410958,0.29464285714285715,0.4444444444444444,0.6712028177503202,0.34861130914628113,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5059086084365845,3035760,0.4455804993702304,0.020224719101123594,0.6830357142857143,0.03928617280780588,0.6712028177503202,0.34861130914628113,0.5584268816394183,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
5,0.7098672073334455,0.52734375,0.10148514851485149,0.6935096979141235,0.986960065199674,0.8529411764705882,0.25892857142857145,0.3972602739726027,0.6533396207122946,0.3172771275301817,0.00075340917652377,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.506966769695282,3035760,0.47217900274134994,0.02043369474562135,0.65625,0.03963332434618495,0.6533396207122946,0.3172771275301817,0.5309274466963008,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
6,0.7074302583932877,0.5647786458333334,0.09844908968307485,0.6932241320610046,0.9868118841223976,0.896551724137931,0.23214285714285715,0.36879432624113473,0.6370156991637158,0.29263666642000535,0.000452045505914262,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5084819197654724,3035760,0.5091501815218197,0.021527881596651217,0.6428571428571429,0.04166063937509041,0.6370156991637158,0.29263666642000535,0.4931063060348075,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
7,0.7052599228918552,0.599609375,0.09824046920821114,0.6928340792655945,0.9865155219678448,0.85,0.22767857142857142,0.3591549295774648,0.612774422565681,0.27661528244700395,0.0006780682588713931,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5093592405319214,3035760,0.5467140846113951,0.021124471888202795,0.5803571428571429,0.040765130134838505,0.612774422565681,0.27661528244700395,0.4538536879379191,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
8,0.7029630374163389,0.6357421875,0.10264635124298316,0.6922924518585205,0.986960065199674,0.98,0.21875,0.35766423357664234,0.5868864087675302,0.2690254740119273,7.534091765237701e-05,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5121287703514099,3035760,0.5944283914944062,0.022032046613255644,0.5401785714285714,0.042337298810356895,0.5868864087675302,0.2690254740119273,0.4046560687109169,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
9,0.7007227316498756,0.6656901041666666,0.10928013876843018,0.6916332840919495,0.9865155219678448,0.8620689655172413,0.22321428571428573,0.3546099290780142,0.5653853217057183,0.265372997783184,0.0006027273412190161,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5114657878875732,3035760,0.6401422538341853,0.02423495584308893,0.5267857142857143,0.046338111132927545,0.5653853217057183,0.265372997783184,0.35794469976644316,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
10,0.6982327457517385,0.701171875,0.1138996138996139,0.6908183097839355,0.9865155219678448,0.875,0.21875,0.35,0.548644838878066,0.26249540623215245,0.000527386423566639,,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,0.5126314163208008,3035760,0.6797806920056308,0.025913928736695974,0.5,0.04927408710954685,0.548644838878066,0.26249540623215245,0.3171852633165072,,,,,metric_unavailable_single_class,metric_unavailable_single_class,
